wage earners employed in each 48
walk before attempting to run 145
walk passes unbroken in our 61
want casual strangers to see 47
want marble churches at all 95
ways belonging specially to art 40
wealth eagerly lavished on all 50
week before admission he had 65
week without reduction in pay 97
well enough disposed to hear 55
well enough educated to read 46
well enough equipped to deal 104
well enough inclined to let 41
well enough informed so that 161
well enough informed to say 57
well refuse promotion in his 44
went almost straight up and 56
went slowly upstairs to her 148
went slowly upstairs to his 102
were almost deserted at this 48
were almost entirely of this 46
were almost parallel to each 60
were almost straight up and 54
were almost strangers to each 266
were almost strangers to her 80
were almost strangers to him 127
were almost strangers to one 66
were almost trampled to death 51
were already alongside of her 44
were already apparent at this 44
were already apparent in his 131
were already attached to him 51
were already conveyed to him 57
were already glistening in his 50
were already implicit in his 75
were already involved in this 82
were already involved in war 96
were already occupied by his 46
were already occupied by men 62
were already occupied by two 66
were already prepared to act 44
were already stiffening in death 50
were always agreeable to him 40
were always attached to each 49
were always attached to his 46
were always conscious of being 86
were always conscious of her 44
were always conscious of his 67
were always conscious of that 90
were always conscious of them 52
were always conscious of this 77
were always contrary to them 45
were always directed to that 48
were always followed by long 68
were always foremost in his 96
were always friendly to him 68
were always grateful to him 82
were always listened to with 1393
were always parallel to each 64
were always prepared to pay 60
were always promoted to that 287
were always received by him 50
were always regarded as being 138
were always regarded as one 43
were always regarded by him 61
were always rejoiced to see 82
were always required to sit 49
were always tempered by his 50
were become criminal by law 90
were become obnoxious to him 79
were becoming conscious of this 44
were before desirous to see 78
were before shackled by too 121
were better equipped in this 58
were better equipped to deal 451
were better informed by our 47
were better informed on this 50
were better prepared to deal 184
were busily absorbed in its 40
were busily employed in this 57
were called children of god 105
were called prelates or not 97
were calmly informed by that 44
were carpet slippers on his 48
were caught unawares by this 44
were changed slightly so that 58
were chosen annually by lot 117
were clearly designed to bring 44
were clearly inspired by his 43
were common elements in all 54
were common property to them 148
were common questions of law 53
were created directly by god 193
were deeply affected at his 49
were deeply affected at this 121
were deeply affected by her 108
were deeply affected by his 337
were deeply affected by its 68
were deeply affected by them 111
were deeply affected by this 545
were deeply affected by two 47
were deeply attached to each 575
were deeply attached to her 105
were deeply attached to him 428
were deeply attached to one 279
were deeply attached to our 63
were deeply attached to them 43
were deeply conscious of being 44
were deeply conscious of our 46
were deeply conscious of this 59
were deeply embedded in her 61
were deeply embedded in his 115
were deeply engrossed in this 155
were deeply grateful to him 86
were deeply imbedded in her 45
were deeply imbedded in his 53
were deeply incensed at this 77
were deeply indebted to him 221
were deeply indebted to his 72
were deeply indebted to them 58
were deeply involved in all 333
were deeply involved in and 60
were deeply involved in both 129
were deeply involved in his 87
were deeply involved in its 99
were deeply involved in our 53
were deeply involved in that 156
were deeply involved in this 535
were deeply offended at this 55
were deeply offended by his 75
were deeply offended by this 164
were deeply saddened by his 59
were deeply saddened to hear 47
were deeply troubled by his 49
were deeply troubled by this 128
were denied entrance to our 79
were duties enjoined by our 69
were eagerly devoured by all 67
were eagerly employed in this 84
were eagerly listened to and 106
were eleven children in all 81
were entire strangers to any 42
were entire strangers to each 278
were entire strangers to her 60
were entire strangers to him 173
were entire strangers to them 59
were fairly embarked on our 41
were fairly incident to them 46
were fairly launched on our 40
were fairly overcome by him 85
were fickle currents of air 53
were firmly attached to each 51
were firmly attached to him 85
were firmly attached to his 42
were firmly embedded in his 41
were firmly resolved to bring 84
were fondly attached to each 87
were fondly attached to him 60
were formed concerning the new 56
were former students of his 77
were freely admitted to all 57
were freely admitted to see 66
were freely resorted to for 61
were further enhanced by his 104
were further evidence of his 63
were further evidence of this 52
were further increased by his 118
were further purified by gel 151
