wagons moved along the road 82
waited about half an hour 2171
waited above half an hour 71
waited eight years to have 43
waited fully half an hour 60
waited nearly half an hour 453
waited seven years to have 46
waited until half an hour 73
waited until late in life 51
waited until noon the next 55
walked about four or five 61
walked about half an hour 250
walked about hand in hand 112
walked about three or four 111
walked again into the shop 72
walked alone along the beach 47
walked alone down the road 40
walked alone into the room 41
walked apart from the rest 74
walked fully into the room 44
walked right into it like 40
walked right into my room 52
walked right into my trap 48
walked right into the arms 400
walked right into the dining 51
walked right into the heart 51
walked right into the living 171
walked right into the room 492
walked right into the thick 222
walked right into the town 46
walked right into the trap 1168
walked right into the wall 91
walked right past me into 52
wander about more or less 158
wander about till we lose 47
wanted about half an hour 70
wanted anything else in life 60
wanted would have to wait 45
warmer water from the north 40
warmer water from the south 129
warnings never seem to have 56
washed until free of acid 111
washes bucks here at home 67
watching every move he made 728
watching every move the girl 55
watching every move we made 312
watching every move we make 383
watching every step he took 64
watching every word he said 123
watching others play the game 51
waters flowing into the great 307
waters flowing into the gulf 341
waters flowing into the lake 63
waters leaped over the rock 77
waters running into the great 77
waters running into the lake 40
waters rushing from the rain 125
waters swept down in such 82
waters which fall on these 57
waters which used to flow 51
watery fluid from the nose 177
watery fluid into the mouth 52
watery mucus from the nose 89
watery vapor from the lungs 59
watery world like so many 162
weapons could also be used 92
weapons could ever be used 50
weapons could only be used 105
weapons could well be done 91
weapons falling into the wrong 80
weapons which slew the soul 86
weapons which were in their 43
weapons which will be used 84
weapons would ever be used 78
weapons would only be used 123
weekly earnings when at work 50
weekly wages when in full 96
weighing about four or five 41
weighing about half as much 287
weighing about three or four 75
weighing every word he said 41
weighs about half as much 693
weight alone told the tale 55
weight passing along the same 72
weight rests upon the towing 128
weight would have to fall 41
whales spend most of their 47
whales taken during the open 70
wheels churn along the bank 145
wheels jarring from the apex 44
whence shall come my help 108
whence ships were to sail 71
whereas about half of those 41
whereas notes tend to seem 46
whereas others from the same 59
whereas others have as many 63
whereas others seem to have 249
whereas others will be more 241
whereas women tend to have 67
whether anything else be true 52
whether anything like the same 43
whether anything more is meant 62
whether anything will be done 194
whether anything will be left 75
whether arising from the sale 46
whether arising from the want 45
whether china will be able 235
whether either more or less 121
whether every step we make 70
whether fewer have the heart 85
whether flowing fast or slow 56
whether given early or late 41
whether grain from the soil 145
whether irons have or have 46
whether japan will be able 146
whether moors from the north 44
whether others have the same 65
whether people have or have 75
whether people have the same 43
whether people will be able 157
whether people will or will 51
whether rates rise or fall 55
whether russia will be able 91
whether under oars or sail 359
whether users will be able 67
whether women have the same 50
whether women were in fact 60
whether women were or were 63
whether women will be able 99
whiffs would make me feel 93
whilst others learn it late 54
whilst others seem to have 350
whilst others will be more 105
whirling river bore it down 129
whites lived side by side 140
whites working side by side 58
whites would have to move 40
whites would have to stay 56
whites would have to take 44
whoever calls upon the name 277
whoever comes from the west 115
whoever marks upon the other 43
whoever might dare to come 57
whoever might give the word 94
whoever shall have the task 71
whoever shall think it worth 90
whoever shall wish to have 68
wholly apart from the fact 170
wholly apart from the jury 52
wholly apart from the main 41
wholly apart from the other 132
wholly apart from the rest 107
wholly apart from the truth 43
wholly aside from the fact 55
wholly beaten from my mind 62
wholly drawn from the same 43
wholly dwelt upon the face 68
wholly false upon the face 112
wholly freed from the body 54
wholly given over to evil 238
wholly given over to their 87
wholly given unto me from 61
wholly taken from the other 65
wicked genii there is also 47
wicked people into the land 52
wicked queen sits no more 40
wicked river drag me down 127
wicked ruler over the poor 584
wicked shall fall by their 79
wicked witch into the oven 91
widely spread among the jews 104
widely spread over the body 105
widely spread over the face 170
widely spread over the land 58
widely spread over the south 43
wigwam smoke into the pure 57
wigwam would keep it from 87
wildly about over the snow 42
wildly fixed upon the pile 41
willed exile from the loving 269
willow trees along the bank 151
wilted sails when the ship 57
winced every time he heard 58
winded apart from the lake 59
window built into the wall 60
window close down to keep 184
window looking down the road 83
window looking into the back 99
window looking into the very 54
window looking into the yard 128
window opening into the hall 62
window opening upon the lawn 41
window shade into the flat 58
window stood four or five 53
window which made the wall 78
winter berry from the keen 43
winter crops such as wheat 172
winter faded away at last 43
winter light over the town 47
winter months came the great 68
winter months when the days 80
winter months when the snow 95
winter months when the soil 56
winter months when the wind 41
winter night upon the cold 118
winter night when the snow 69
winter night when the wind 132
winter people took up arms 68
winter swept over the city 48
winter wayne kept at work 42
winter weather when the snow 73
winter which bears no such 54
winter which came at last 64
winter winds from the north 315
winter would soon be coming 54
winter would soon be here 114
winter would soon be over 126
winter would soon be upon 304
wintry blast will be very 87
wintry fagot from the thorn 114
wisdom about what it means 58
wisdom comes from the lord 188
