wage level of male workers 72
wage rates in great britain 79
wage rates of other workers 52
wage rates of their members 133
wage rates of these workers 44
wait until the dust settled 234
wait until the dust settles 622
wait until the last chapter 265
wait until the last instant 56
wait until the last quarter 103
wait until the next century 359
wait until the next chapter 1660
wait until the next congress 58
wait until the next election 852
wait until the next general 119
wait until the next harvest 67
wait until the next regular 277
wait until the next weekend 48
wait until the pain becomes 83
wait until the rain stopped 303
wait until the time arrived 43
wait until the time arrives 73
wait until the user presses 184
wait until we were married 560
wait until we were together 57
walk about in great comfort 41
walk about in some comfort 124
walk round the park together 95
walk which we took together 105
walk worthy of their vocation 522
walk worthy of your vocation 225
wall above the nave arcades 54
wall truly of some majesty 55
wall until it made contact 57
want anything to come between 678
want others to have freedom 57
want people to know everything 42
want people to know exactly 50
want people to work together 81
warm blood of their victims 50
warm parts of north america 109
warm parts of south america 168
warm water of your mawkish 82
warm water or salt solution 62
warm water to come halfway 49
wars abate of their cruelty 108
wars waged by duke charles 68
wars waged by great britain 67
wave front at some instant 61
ways which we will discuss 45
wealth which we have gathered 48
wealth would be more equally 41
wearing leeks in their monmouth 238
wearing stars on their collars 54
week after the great verdict 101
week after we were married 210
week later the same journal 67
week later we were friends 67
week later we were married 46
week would be more painful 43
well above the city average 145
well above the soil surface 103
well aware of their ability 51
well aware of their country 64
well aware of their inferior 43
well aware of their limited 78
well aware of their parents 80
well aware of their position 188
well aware of their present 46
well aware of their purpose 40
well aware of their strengths 45
well aware of their superior 44
well aware of their weakness 138
well aware of these aspects 41
well aware of these defects 44
well aware of these effects 78
well aware of these factors 133
well aware of these matters 53
well aware of these tensions 42
well aware of what awaited 110
well aware of what happens 134
well below the city average 181
well below the skin surface 113
well below the soil surface 220
well could be used against 91
well glory in their illicit 97
well judge of their present 106
well knowing he rode express 41
well known by most persons 40
well known by those familiar 58
well known in club circles 473
well known in great britain 564
well known in high circles 52
well known in high society 43
well known in many circles 94
well known in many european 49
well known in many species 63
well known in mining circles 82
well known in north america 758
well known in other sections 49
well known in other systems 41
well known in part because 43
well known in racing circles 109
well known in some circles 339
well known in some sections 41
well known in south african 76
well known in south america 193
well known in their country 58
well known in these circles 55
well known in those circles 72
well known in very ancient 41
well known in west germany 47
well known in what relation 62
well known in your country 62
well known of these studies 47
well known to great britain 54
well known to have belonged 51
well known to have carried 51
well known to have devoted 40
well known to have enjoyed 110
well known to have existed 325
well known to have written 122
well known to many friends 45
well known to many members 369
well known to many persons 661
well known to many present 45
well known to many teachers 43
well known to most farmers 66
well known to most medical 41
well known to most members 92
well known to most persons 255
well known to most teachers 50
well known to need citation 305
well known to need comment 4456
well known to need detailing 103
well known to need enlarging 66
well known to need insisting 53
well known to need mentioning 144
well known to need recalling 179
well known to need recital 243
well known to need recording 43
well known to need rehearsing 154
well known to need retelling 952
well known to need stressing 79
well known to other members 75
well known to some members 45
well known to their friends 146
well known to their teachers 49
well known to their victims 50
well known to those familiar 642
well known to those outside 48
well known to those persons 58
well known to those present 234
well known to those skilled 245
well known to what unhappy 41
well known to your majesty 889
well liked by other members 48
well liked by their friends 42
well liked by their teachers 88
well might the poor african 54
well repay the most careful 86
well serve the same function 45
well serve the same purpose 190
well short of their targets 55
well tired of such greetings 40
well under the most adverse 68
well within the last century 59
well within the last quarter 58
well within the range typical 45
well within the time allowed 85
well worthy of more general 70
well worthy of their closest 223
well worthy of their deepest 68
well worthy of your majesty 313
well worthy of your perusal 55
well worthy the most careful 53
well worthy to have founded 67
went about the town informing 41
went about to make himself 61
went round the city himself 43
went round the most distant 44
went round the ship together 63
were about in great numbers 54
were about the only friends 47
were about the only notable 51
were about the only persons 136
were about the only sources 72
were about the same between 55
were about the same diameter 45
were about the same maximum 58
were about to come forward 64
were about to come together 188
were about to fall forward 45
were about to fall victims 55
were about to gain control 67
were about to have company 70
were about to hurl himself 47
were about to leave atlanta 73
were about to leave forever 52
were about to lose control 160
were about to lose everything 127
were about to make against 70
were about to make contact 127
were about to make history 196
were about to move against 88
were about to move forward 180
were about to part company 344
were about to part forever 57
were about to rise against 136
were about to rush forward 79
were about to sail against 47
were about to spring forward 40
were about to step forward 65
were about to step outside 57
were about to take against 64
were about to take control 125
were about to take measures 41
were about to take passage 60
were about to take vengeance 52
were about to throw herself 89
were about to throw himself 48
were about to turn against 109
were about to wage against 75
were about to work together 54
were added to their numbers 154
were added to these figures 184
were added to these measures 41
were after the same pattern 53
were again at their previous 43
were again in arms against 98
were again in full control 54
were again in their saddles 135
were again on their journey 147
were aided by their friends 57
were aided in their attempt 42
were aided in their efforts 628
were aided in these efforts 52
were aimed at great britain 41
were alike in having similar 51
were alike in their ability 44
were alike in their devotion 114
were alike in their general 60
were alone in their bedroom 656
were alone in their chamber 87
were armed by their masters 41
were asked an open question 62
were asked by their parents 69
were asked by their teachers 92
were asked if their parents 93
were asked the same question 2636
were asked to come dressed 67
were asked to come forward 1075
were asked to come together 56
were asked to give answers 59
were asked to give details 224
were asked to give opinions 77
were asked to give priority 94
were asked to give written 92
were asked to help develop 50
were asked to help prepare 60
were asked to keep records 240
were asked to leave because 503
were asked to make certain 93
were asked to make choices 163
were asked to make reports 45
were asked to make several 63
were asked to make similar 48
were asked to name objects 55
were asked to name persons 86
were asked to rank according 41
were asked to rank certain 52
were asked to rank several 85
were asked to rate certain 70
were asked to rate several 142
were asked to send letters 42
were asked to sign consent 176
were asked to sign pledges 52
were asked to step forward 215
were asked to step outside 58
were asked to tell stories 279
were asked to wait outside 279
were asked to work together 335
were aware of their ability 48
were aware of their arrival 89
were aware of their country 67
were aware of their history 41
were aware of their impending 109
were aware of their limited 64
were aware of their mistake 75
were aware of their parents 125
were aware of their position 121
were aware of their problem 87
were aware of their purpose 53
were aware of their weakness 102
were aware of these factors 50
were aware of what awaited 45
were based in north america 57
were based on case studies 150
were based on data derived 135
were based on data gathered 199
were based on many factors 52
were based on much smaller 40
were based on nothing tangible 50
were based on other grounds 69
were based on past history 58
were based on such criteria 42
were based on such factors 121
were based on test results 75
were based on their ability 99
