wad cut short his thread 69
wag his tongue with great 48
wan they stand and sere 216
war and civil war were 56
war and could not find 49
war and could not have 93
war and crime with such 54
war and fewer men lost 49
war and helen her name 51
war and hunting are over 74
war and hunting are their 41
war and killing each other 47
war and longed for peace 107
war and since that time 85
war and which for peace 53
war and which had been 168
war and which has been 93
war and would get home 88
war and would not have 130
war and yearning for peace 41
war are still being felt 41
war for about two years 46
war for nearly six years 46
war for nearly ten years 68
war for nearly two years 190
war for which they have 92
war for which they were 854
war had ended and peace 78
war had ended and there 73
war had ended too soon 86
war had ended two years 51
war had raged for four 44
war had raged for years 41
war had saved them from 60
war had still not been 74
war had taken him away 44
war had taken its toll 785
war had thrown him into 77
war has never yet been 73
war has shown that even 43
war has shown that there 110
war has taken its toll 175
war his father had been 48
war may enter and stay 41
war she would not have 90
war than about any other 40
war that broke out among 107
war that broke out during 42
war that broke out over 51
war that broke out soon 57
war that broke out when 74
war that could end only 51
war that could not have 116
war that ended all wars 77
war that would end only 61
war that would not have 62
war that would not only 43
war they could not have 80
war they could not hope 62
war they would not have 175
war this nation has ever 49
war this world has ever 42
war was about and what 136
war was ended and peace 81
war was never far away 194
war was never far from 190
war was still far away 267
war was still far from 378
war was still going well 53
war was still not over 373
war was waged not only 55
war was waged with great 71
war with chile and peru 77
war with china had been 151
war with china has been 56
war with china ten years 85
war with china was over 123
war with egypt and syria 195
war with every one else 43
war with japan had been 293
war with japan had come 43
war with japan had made 60
war with japan has been 78
war with japan was coming 49
war with japan was only 43
war with japan was over 1171
war with persia had been 80
war with russia all over 43
war with russia for some 48
war with russia had been 182
war with russia they will 118
war with russia was over 108
war with spain and other 75
war with spain are some 97
war with spain for cuba 53
war with spain had been 774
war with spain had come 70
war with spain had left 41
war with spain had made 63
war with spain has been 147
war with spain not only 48
war with spain was also 44
war with spain was just 59
war with spain was over 591
war with spain was seen 41
war with spain was soon 43
war with spain was very 49
war with which they have 43
war with which they were 247
war you would not have 40
was all about and just 52
was all about and made 42
was all about and were 91
was all about and what 1943
was all about and when 64
was all about being able 41
was all about her face 68
was all about his wife 81
was all about how much 147
was all alive and full 48
was all alone and there 66
was all alone and very 59
was all alone out here 81
was all alone out there 281
was all alone with nothing 43
was all black and blue 1105
was all black and pale 63
was all broad and open 50
was all claws and teeth 42
was all getting too much 418
was all gloom and doom 49
was all green and gold 104
was all rather too much 113
was all right all along 48
was all right and even 168
was all right and fair 103
was all right and gave 60
was all right and good 60
was all right and just 93
