wage cut after wage cut 41
wage for equal work and 41
wait and shall want all 51
wait for hours till they 55
wait thou still upon god 127
wait with bated breath and 41
wait with bated breath for 1078
walk and carry their own 92
walk that would take him 116
wall and looking over too 124
wall and stood there for 95
wall and tower along its 47
wall for anything more than 51
wall was piled high with 42
wall was taken down and 150
wall was taken down for 58
want and about what you 66
want and avoid what they 45
want and wants what you 64
want any money from him 69
want any money from you 246
want but wanting what you 42
want him stand here all 55
want his mummy more than 40
want than where there are 96
want that makes their god 43
want you getting into any 155
want you talking like that 141
warm air meets cold air 86
warm and fresh from this 42
warm and moist from his 45
warm and sunny days they 51
warm and sunny spring day 64
warm bath every other day 43
warn her about what she 52
warn her about what was 42
warn him about what was 79
warn them about what was 53
warn you about what you 70
warn you right away that 88
wars and civil wars and 53
wars and civil wars are 52
wars that might break out 43
wars with black hawk and 66
wash her hands over and 41
wash her hands when she 67
wash his hands over and 65
wash his hands when they 45
wave her magic wand and 124
wave his magic wand and 142
wave that breaks upon his 51
waving her hands back and 50
waving her hands over her 95
waving his hands back and 123
waving his hands over his 243
waving his short arms and 41
waving his sword over his 306
ways and every single one 59
ways for which there are 80
ways for which there was 42
ways she could help him 40
ways that could help them 43
ways that human beings are 105
ways that human beings can 139
ways that might help them 73
ways that might help you 74
ways that might make them 56
ways that others have not 54
ways that people cope with 159
ways that people live and 53
ways that people think and 117
ways that serve their own 195
ways that would give them 79
ways that would have led 50
ways that would help him 63
ways that would help them 276
ways that would keep them 46
ways that would make her 56
ways that would make him 103
ways that would make them 639
ways that would make you 42
ways with peril gone all 133
ways you could find out 59
ways you might make use 40
wealth and again wealth and 43
wealth and glory from this 48
wealth and noble birth and 82
wealth and power among all 42
wealth and power from its 58
wealth and power from one 132
wealth and power have not 59
wealth and power made him 59
wealth and power made them 62
wealth and power make them 44
wealth and power more than 71
wealth and power were being 91
wealth and power were not 192
wealth and power were now 70
wealth and power were put 97
wealth and power will not 77
wealth nor anything else that 163
wealth that would give and 86
wealth they never knew how 59
wealth was taken from him 47
wearing her usual jeans and 49
wearing his black coat and 46
wearing his black suit and 97
wearing his frock coat and 73
wearing his usual jeans and 43
wearing his white coat and 86
wearing his white suit and 55
wearing one badge more than 74
wearing one black sock and 55
wears his black hair long 45
wears his ducal robe and 57
week and every other day 55
week and hoard pens and 116
week and still have not 45
week for every week that 104
week our folks laid him 86
week she would have put 58
week was fixed upon for 49
weep and mourn over her 3150
weep but pride made him 64
weep his pints like you 103
weld and spacing must read 55
well and drank well and 50
well and drink well and 49
well and happy during this 47
well and happy when they 55
well and sleep well and 52
well and slept well and 68
well and truly done for 74
well and truly have you 47
well and truly keep and 371
well and truly keep this 74
well and truly kept and 44
well and truly laid and 184
well and truly laid for 100
well and truly laid that 113
well and truly laid with 50
well and truly obey and 60
well and truly over and 139
well and truly paid and 90
well and truly paid for 41
well and truly ready for 57
well and truly said that 653
well and where there are 51
well and which meant that 41
well and which ones are 99
well and which were not 90
well and which will not 111
well can count upon our 520
well its rough look and 47
well say right here that 311
well see under what new 44
well that human beings are 70
well that never runs dry 477
well that works were not 53
well with either hand and 72
well with george eliot and 48
well with people from all 97
well with small arms and 70
well with total body fat 52
went and knelt down and 42
went and leaned over and 121
went and still there was 107
went and stood among them 43
went and stood over her 130
went and stood over him 168
went but never took him 45
went for seven days and 78
went his hands over his 90
went his mother gave him 40
went off looking very sad 57
went off quite well and 45
went out after dark and 108
went out after dark with 50
went out after work and 45
went out after work with 51
went out again when she 41
went out fifty years ago 127
went out right away and 71
went that extra mile for 45
went with tipsy mirth and 51
were all about love and 107
were all based upon this 60
were all bowed down with 61
were all built during this 56
were all built upon this 62
were all burst open and 90
were all drawn from one 67
were all drawn from this 41
were all fused into one 68
were all getting ready for 317
were all grown over with 63
were all human beings and 63
were all human beings who 44
were all looking away that 50
were all nearly worn out 53
were all noted down with 81
were all quite clear that 71
were all quite ready for 60
were all quite sure that 325
were all quite well and 45
were all quite young and 75
were all rather glad that 53
were all right when they 191
were all right when you 120
were all rolling over and 45
were all seated there with 60
were all sitting down and 100
were all sitting down for 45
were all sitting over this 41
were all sitting there and 64
were all sitting there with 77
were all sorry when she 46
were all still there and 72
were all still young and 43
were all strong young men 50
were all swept away and 135
were all taken away and 134
were all taken down and 157
were all taken from her 84
were all taken from him 218
were all taken from one 229
were all taken from them 119
were all taken from this 77
were all thrown into one 158
were all thrown open and 43
were all thrown open for 46
were all under arms and 110
were all under lock and 86
were all working hard and 50
were and others were not 109
were and which were not 670
were any doubt upon this 92
were being asked what they 59
were being built there and 40
were being built there was 40
were being drawn from her 63
were being drawn from his 60
were being drawn into this 75
were being drawn more and 239
were being fired from all 46
were being fired upon and 47
were being fused into one 101
were being given away for 109
were being given more and 45
were being heaped upon her 48
were being heaped upon him 177
were being moved from one 246
were being spied upon and 57
were being swept along with 71
were being swept away and 97
were being taken away and 214
were being taken away for 158
were being taken down and 201
were being taken from her 189
were being taken from him 193
were being taken from one 69
were being taken from them 500
were being taken over and 90
were being taken over for 59
were being thrown back and 74
were being thrust into his 47
were being thrust upon him 71
were being thrust upon them 75
were big black curs with 40
were both breathing hard and 132
were both eight years old 133
were both getting ready for 44
were both peering over his 135
were both quite sure that 46
were both quite young and 45
were both quite young men 40
were both rather young men 92
were both seven years old 105
were both smiling when they 50
were both still young and 83
were both thirty years old 63
were both tired when they 49
were but eight years old 67
were but newly come out 89
were but newly done and 48
were but thirty years old 59
were cut short when his 48
were cut short when she 92
were cut short when they 51
were doing about what they 46
were doing anything else but 44
were doing anything else than 42
were doing anything more than 248
were doing anything other than 237
were doing quite well and 91
were doing quite well for 63
were doing quite well with 71
were dry under foot and 41
were each about half its 42
were each fifty feet long 321
were each fifty foot long 144
were each given their own 153
were each split into two 142
were far above having any 301
were far apart from each 271
were far apart from one 103
were far below those for 64
were far below those that 40
were far below what had 56
were far below what they 173
were far below what was 111
were fed every other day 102
were few people left who 75
were few which were not 43
