wage income 767 wage income 634
wait friday 53 wait monday 539
wait summer 412 wait sunday 90
wait session 87 wait armies 85
walk without 42 walk without 278
walk fields 53 walk weight 103
want myself 42 wars colony 43
wash orders 95 wavy yellow 90
wealth sector 48 wearing judges 62
weary through 42 week landed 42
week letter 57 week office 51
well annual 102 well figure 67
well height 165 well income 106
well number 66 well market 187
well before 63 well levels 61
well needed 46 well figure 83
well record 49 well annual 88
well figure 47 well height 60
well income 55 well number 49
well market 283 well needed 76
well figure 126 well strength 123
well through 93 well greece 150
well through 47 well europe 96
well before 45 well europe 58
well europe 48 well europe 417
well readers 66 well creeds 46
well further 50 well readers 70
well readers 76 well detail 94
well dwelling 45 well farther 49
well further 3635 well little 46
well mention 1224 well minute 259
well notice 308 well praise 53
well remark 111 well repeating 315
well review 149 well special 336
well further 215 well readers 172
well parade 61 well whether 92
well whether 482 well labors 347
well system 50 well system 86
well circle 44 well limits 202
well limits 71 well limits 62
well whether 42 went clothes 44
went clothed 59 went peddling 70
went preaching 725 went visiting 52
went shouting 61 went myself 46
went colony 76 went bridge 50
were something 42 were before 44
were something 63 were another 50
were something 101 were height 100
were medium 42 were fashion 43
were border 142 were series 50
were whether 52 were whether 70
were whether 81 were whether 53
were various 47 were simple 49
were various 91 were whether 220
were papers 74 were papers 58
were advice 51 were copies 56
were further 42 were reasons 126
were orally 40 were whether 47
were whether 172 were changes 60
were before 117 were values 58
were models 78 were models 184
were models 64 were learned 65
were findings 48 were models 76
were height 46 were except 50
were before 82 were through 153
were before 40 were without 66
were charms 96 were enough 51
were places 61 were points 56
were motors 45 were cities 73
were places 277 were stages 79
were europe 103 were stones 92
were bricks 71 were bricks 76
were access 97 were before 45
were powers 72 were except 71
were pounds 144 were allies 46
were courts 239 were number 46
were places 184 were points 71
were nelson 84 were greece 43
were europe 42 were places 41
were number 63 were tissue 40
were houses 82 were graves 60
were places 452 were graves 117
were africa 49 were france 43
were waters 58 were europe 109
were higher 43 were around 76
were almost 126 were mainly 242
were mostly 44 were almost 67
were copper 179 were enough 54
were errors 100 were higher 256
were highly 91 were labile 41
were levels 43 were little 245
were mainly 60 were minute 45
were mostly 57 were neither 49
were traces 222 were various 75
were higher 41 were greater 221
were higher 240 were better 855
were poorly 72 were greater 219
were better 102 were greater 55
were higher 143 were little 142
were better 114 were special 41
were better 56 were affect 42
were status 72 were authors 53
were houses 52 were notice 72
were answer 53 were advice 76
were options 82 were values 69
were weight 70 were houses 48
were medium 75 were medium 275
were medium 55 were cubits 51
were greece 116 were europe 64
were europe 206 were peoples 41
were deeply 47 were duties 40
were behind 46 were through 71
were enough 45 were ground 48
were forest 54 were feelings 51
were places 79 were origin 41
were residing 46 were layers 50
were tigers 67 were toward 66
were circle 52 were before 877
were powers 40 were around 121
were around 98 were placed 153
were prices 42 were summer 103
were tables 55 were ladies 47
were brutus 52 were before 60
were travel 59 were school 127
were clothes 109 were school 169
were school 47 were around 40
were school 159 were clothes 125
were source 47 were before 48
were points 87 were domain 65
were places 57 were places 44
were public 48 were island 52
were damage 42 were escape 54
were further 492 were future 54
were injury 54 were leakage 68
were murder 41 were voices 42
were voices 79 were thought 46
were courts 45 were courts 57
were charge 85 were charge 46
were through 73 were through 41
were twenty 56 were philip 71
were almost 84 were credit 41
were empire 63 were sphere 43
were circle 51 were limits 109
were limits 169 were plants 62
west africa 299 west africa 87
west africa 977 west norway 238
west island 72 west island 130
west island 173 what person 53
what church 46 what public 134
what number 63 what horses 105
what should 44 what should 99
what enjoys 47 what called 40
what termed 49 what called 138
what termed 148 what called 42
what edward 63 what should 46
what belongs 90 what should 86
what should 40 what should 44
what should 73 what matter 109
what should 42 what should 117
what should 43 what unique 45
what called 186 what termed 291
what called 41 what around 102
what behind 367 what beyond 128
what inside 540 what called 571
what termed 591 what called 81
what should 134 what courts 53
what thought 97 what wanted 72
