whichever hypothesis be clearest and 119
wholesale overturning of settled law 94
widespread throughout the ancient near 105
widespread throughout the central and 44
widespread throughout the country and 243
widespread throughout the country that 91
widespread throughout the tropics and 172
witnessed incidents so ruthless and 63
wonderful collection of bundles and 64
wonderful collection of paintings and 46
wonderful influence on manners and 121
wonderful performer in crayons and 77
workshops throughout the country and 173
workshops throughout the country for 40
