walk brought them within view 47
wall invasion and lymph node 115
wall wrought with tools into 85
warm southern sky bending over 68
warm welcome this worthy pair 40
waving grasses are swept away 67
ways besides that which came 50
ways whereby they enter into 78
wears glasses and looks like 42
wears herself out marking time 82
weary himself with walking over 72
well adapted for every kind 51
well assured she could find 50
well assured that light will 42
well diluted and after meals 71
well diluted with water from 84
well imagine they hated life 68
well secured with strong thread 85
well settled that where there 236
well settled who shall have 78
well stocked with black bass 46
well stocked with every kind 71
well stocked with goods from 45
well stocked with wines from 44
went against them after their 68
went forward and knelt down 157
went forward and stood over 41
went outside and stood there 132
were admired for running away 110
were adopted and acted upon 151
were adorned with every kind 112
were allowed and which were 50
were assured they would have 45
were beheaded and thrown into 45
were brought and taken away 48
were brought and thrown into 46
were carried out every three 42
were carried out under ether 120
were carried out under great 54
were carried out under heavy 44
were carried out under high 185
were carried out under load 91
were carried out under such 116
were carried out under their 55
were carried out under these 86
were carried out under three 142
were carried out under very 160
were carried out which were 167
were certain they would find 57
were certain they would have 104
were certain things which must 40
were certain things which were 137
were certain you would like 52
were chained and thrown into 48
were charged with abusing their 59
were charged with breaking into 142
were charged with keeping their 42
were charged with killing their 83
were charged with price fixing 56
were charged with running away 66
were charged with setting fire 67
were charged with stealing from 51
were classes who would have 42
were clotted with fresh gore 51
were content with drawing from 100
were corners that smelt like 66
were correct and which were 164
were covered with birch bark 93
were covered with black cloth 761
were covered with black dust 60
were covered with black hair 287
were covered with black silk 47
were covered with black soot 94
were covered with black tape 45
were covered with blood from 401
were covered with books from 48
were covered with dense bush 117
were covered with dirty rags 42
were covered with every kind 48
were covered with filthy rags 79
were covered with fresh snow 160
were covered with green cloth 286
were covered with green moss 251
were covered with green silk 58
were covered with green turf 75
were covered with human beings 80
were covered with indian corn 61
were covered with large flat 55
were covered with layer upon 57
were covered with light blue 43
were covered with masking tape 58
were covered with paper bags 49
were covered with rusty arms 48
were covered with scars from 88
were covered with sheet iron 42
were covered with skins like 89
were covered with slimy moss 89
were covered with sores from 88
were covered with sores like 61
were covered with straw mats 70
were covered with trees bearing 94
were covered with water during 51
were covered with water from 52
were covered with water full 67
were covered with white clay 86
were covered with white cloth 156
were covered with white down 58
were covered with white dust 304
were covered with white hair 42
were covered with white sand 123
were covered with white silk 55
were covered with woven mats 52
were crowded and people were 59
were crowded with human beings 106
were crowded with people coming 75
were crowded with people eager 131
were crowded with people from 299
