wad of bubble gum and 66
wad of cotton wet with 60
war by pointing out that 236
war in africa and was 40
war in europe and asia 2617
war in europe and bring 86
war in europe and for 101
war in europe and had 101
war in europe and his 80
war in europe and how 49
war in europe and its 294
war in europe and not 47
war in europe and our 69
war in europe and that 546
war in europe and then 129
war in europe and war 59
war in europe and was 105
war in europe and with 98
war in europe can not 79
war in europe cut off 75
war in europe did not 450
war in europe does not 104
war in europe had its 41
war in europe had not 224
war in europe has not 50
war in europe may not 46
war in europe than any 46
war in europe that had 97
war in europe that may 64
war in europe that was 79
war in europe this year 141
war in europe was all 141
war in europe was being 99
war in europe was far 136
war in europe was going 295
war in europe was not 582
war in europe was now 234
war in europe was one 52
war in europe was that 52
war in europe was too 40
war in europe was won 204
war in france and was 44
war in france was going 60
war in france was not 46
war in itself did not 42
war in itself does not 72
war in itself was not 47
war in return for his 54
war is already won and 51
war is fought and won 121
war it turned out that 153
war of europe may not 134
war of greater east asia 211
war of nerves that was 45
war of nerves was being 52
war of opinion not yet 50
war on disease can not 43
war on nature and now 66
war on terror and its 158
war on terror and that 121
war on terror can not 112
war on terror did not 46
war on terror does not 91
war on terror has had 40
war on terror has led 53
war on terror has not 61
war on terror that has 46
war on terror was not 114
war on through all her 71
war on turkey and was 80
war or commit any act 48
war to africa and asia 73
war to defend our own 49
war to further his own 69
was an absurd idea for 40
was an active and not 80
was an active man and 235
was an active man for 45
was an active man who 117
was an active man with 54
was an active one and 143
was an active one for 247
was an active year for 111
was an actual one and 40
was an addict and had 61
was an addict and that 56
was an affair that did 40
was an affair that had 76
was an affair that was 63
was an agency that had 64
was an agency that was 58
was an alarming one for 40
was an amiable but weak 79
was an amiable man and 320
was an amiable man who 201
was an amiable man with 116
was an amiable old man 94
was an amount that was 43
was an angular man with 46
was an animal and not 58
was an animal and that 128
was an animal that did 67
was an animal that had 215
was an animal that was 189
was an animal who had 90
was an answer that did 43
was an answer that had 41
was an answer that was 116
was an anxious day for 219
was an anxious one for 604
was an anxious year for 51
was an appealing one for 43
was an artist and art 218
was an artist and did 89
was an artist and had 373
was an artist and her 89
was an artist and his 212
was an artist and not 391
was an artist and one 89
was an artist and poet 95
was an artist and she 164
was an artist and that 582
was an artist and was 182
was an artist and who 46
was an artist who did 178
was an artist who had 1037
was an artist who saw 44
was an artist who was 763
was an artist with her 47
was an artist with his 117
was an aspect that had 58
was an aspect that was 92
was an astute man and 161
was an astute man who 70
was an asylum for all 239
was an atheist and did 152
was an atheist and had 133
was an atheist and his 45
was an atheist and that 272
was an atheist and was 49
was an atheist who did 213
was an atheist who had 65
was an atheist who was 46
was an athenian who had 68
was an athlete and had 50
was an athlete who had 105
was an attack that was 50
was an autumn day and 49
was an autumn day with 93
was an earlier meal than 103
