wading shoeless through the deep 47
walk briskly around the room 108
walk eastward toward the park 50
walk together through the park 46
want comfort almost as much 45
ward married without the lord 57
warm himself before the fire 295
wave function inside the well 180
wave traveling toward the left 79
wearing anxiety seemed to make 107
wearing sandals instead of shoes 86
weary planets loiter in their 50
well recover something on their 57
well skilled indeed in most 44
well studied chords of some 208
well subsist without the other 47
went forward eagerly to meet 43
went forward through the snow 112
went forward toward the dark 74
went merrily across the lake 40
went outside through the back 93
went quickly across the hall 59
went quickly across the lawn 41
went quickly across the room 167
went quickly through the door 85
went quickly through the gate 41
went quickly through the room 43
went quickly toward the door 123
went quietly across the room 55
went steadily through the tall 104
went sternly toward the young 54
went strolling through the great 53
went swiftly across the room 131
were adopted almost in their 61
were advancing toward the ebro 56
were advancing toward the south 98
were agitating before we came 52
were allowed access to food 69
were allowed access to their 133
were allowed access to these 63
were allowed instead of three 41
were allowed plenty of time 105
were allowed through the gate 44
were arranged around an open 150
were arranged around the edge 63
were arranged around the fire 56
were arranged around the room 322
were arranged around the wall 97
were arranged without the least 87
were ashamed instead of cato 61
were brought across the ocean 352
were brought around the horn 80
were brought before the city 54
were brought before the door 45
were brought before the eyes 135
were brought before the full 48
were brought before the high 761
were brought before the holy 95
were brought before the jury 216
were brought before the lord 226
were brought before the pope 111
were brought before the same 123
were brought before the star 523
were brought before the town 77
were brought closer to their 60
were brought safely to land 189
were buoyant enough to have 78
were careful enough to make 41
were carried across the alps 67
were carried across the lake 53
were carried across the land 57
were carried across the north 42
were carried across the ocean 134
were carried around the city 68
were carried before the high 74
were carried before the star 58
were carried through the body 77
were carried through the city 199
were carried through the gate 85
were carried through the land 42
were carried through the same 104
were carried through the snow 119
were carried through the surf 92
were carried through the town 166
were carried through to their 61
were cautious enough to keep 50
were certain forces at work 80
were certain ladies of rank 82
were chiefly engaged in making 64
were chiefly intent on taking 66
were closely allied in their 76
were closely allied to those 355
were closely linked in their 79
were closely linked in time 41
were closely linked to other 69
were closely linked to their 329
were closely linked to these 78
were closely linked to those 364
were closely united in their 109
were content merely to hold 57
were crouching amongst the dark 46
were crowded around the door 72
were cruelly treated by their 79
were crushed before he came 54
were current through the city 71
were defined solely by their 58
