wad live quieter in hell 129
war from returning to their 49
war meant murdering the same 47
war were allowed to take 77
war were beginning to show 63
war were beginning to turn 42
war were debated in full 64
war were similar to those 172
was able finally to gain 45
was able finally to make 53
was able finally to take 55
was able himself to make 80
was acting against the best 46
was acting against the will 48
was also accused by some 47
was also accused of aiding 53
was also accused of anti 84
was also accused of giving 99
was also accused of having 2158
was also accused of making 200
was also accused of naming 74
was also accused of paying 41
was also accused of saying 102
was also accused of taking 222
was also accused of trying 215
was also adduced to show 42
was also adopted as part 78
was also adopted by many 201
was also adopted by most 93
was also adopted by other 304
was also adopted by some 300
was also adopted by those 60
was also adopted in india 46
was also adopted in many 40
was also adopted in other 160
was also adopted in some 87
was also advised to give 41
was also advised to have 61
was also advised to keep 79
was also advised to make 51
was also advised to seek 42
was also advised to take 157
was also alleged by some 53
was also alleged to have 1549
was also allowed to come 63
was also allowed to draw 88
was also allowed to fall 44
was also allowed to give 106
was also allowed to have 269
was also allowed to hold 54
was also allowed to join 97
was also allowed to keep 257
was also allowed to leave 76
was also allowed to live 56
was also allowed to make 186
was also allowed to pass 109
was also allowed to play 91
was also allowed to ride 45
was also allowed to sell 126
was also allowed to send 83
was also allowed to speak 52
was also allowed to stay 62
was also allowed to take 403
was also allowed to teach 42
was also allowed to vary 74
was also allowed to work 55
was also amended by adding 59
was also amended to give 44
was also amended to make 106
was also applied in many 41
was also applied in other 141
was also applied in some 72
was also applied to data 50
was also applied to four 93
was also applied to many 203
was also applied to more 97
was also applied to other 749
was also applied to some 301
was also applied to such 63
was also applied to their 105
was also applied to these 162
was also applied to those 317
was also applied to what 49
was also assumed by many 51
was also assumed to have 195
was also awarded the gold 167
was also because he felt 63
was also because of their 132
was also because of these 77
was also because we were 57
was also beginning to break 64
was also beginning to come 123
was also beginning to dawn 42
was also beginning to fail 53
was also beginning to fall 53
was also beginning to feel 1204
was also beginning to find 196
was also beginning to gain 95
was also beginning to give 81
was also beginning to grow 132
was also beginning to have 549
was also beginning to learn 149
was also beginning to look 228
was also beginning to lose 171
was also beginning to make 566
was also beginning to move 147
was also beginning to play 92
was also beginning to rise 41
was also beginning to show 385
was also beginning to stir 54
