waggled his cock with her 45
warfare for more than two 54
warfare was safe for his 43
warrant for saying that any 74
warrant for saying that they 41
warrant for saying that this 46
warrant for what they did 76
warrant she will not say 149
warrant was made out and 56
warrant was made out for 279
warriors and went out with 40
warriors who were with him 126
watched all these things with 52
watched for more than two 55
watched her bite her lip 84
watched her coming and going 80
watched her face and her 59
watched her face and saw 139
watched her face for any 93
watched her face for her 42
watched her from her own 55
watched her kick off her 43
watched her leave and then 188
watched her make her way 792
watched her making her way 66
watched her pick her way 173
watched her play with her 65
watched her pull off her 56
watched her take her seat 70
watched her take off her 326
watched her take out her 44
watched her thread her way 109
watched her till she had 187
watched her till she was 492
watched her tilt her head 55
watched her toss her head 47
watched her turn her head 49
watched her walk off with 41
watched her walk out and 42
watched her weave her way 98
watched her when she did 41
watched her when she was 244
watched her work her way 104
watched him bend his head 44
watched him feel his way 41
watched him from her seat 59
watched him gasp out his 73
watched him leave and then 272
watched him leave with his 44
watched him lift his hat 50
watched him make his way 1212
watched him making his way 131
watched him peel off his 48
watched him pick his way 168
watched him play with his 63
watched him pull off his 80
watched him pull out his 53
watched him push his way 82
watched him reach for his 100
watched him reach out and 46
watched him take his seat 84
watched him take off his 478
watched him take out his 91
watched him thread his way 203
watched him till they saw 69
watched him tilt his head 58
watched him turn and head 40
watched him turn his head 93
watched him walk off and 57
watched him walk off with 58
watched him walk out and 64
watched him weave his way 127
watched him wend his way 66
watched him work his way 170
watched his coming and going 61
watched his eyes and his 52
watched his eyes and saw 47
watched his face and his 57
watched his face and saw 132
watched his face for any 141
watched his wife and her 56
watched his wife and son 83
watched his wife who did 55
watched them coming and going 72
watched them leave and then 147
watched them take off and 51
watched them till they had 305
watched with eager eye and 62
wayfaring man need not err 317
wayside and took off his 88
weakness and mute with awe 53
weakness than from any bad 68
weakness was such that she 75
weakness with those who are 45
weekend per month and two 123
weepers two years for him 80
weighed far more with him 40
weighed her down and she 44
weighed him down with all 52
weighed not less than one 51
weighed not less than two 104
weighed not more than one 91
weights are used for all 99
welcome all those who are 98
welcome and thank you for 170
welcome and those who fear 53
welcome any help they can 44
welcome any help you can 88
welcome any less than this 67
welcome for more than one 44
welcome him back with joy 44
welcome him into her bed 131
welcome new ideas and new 135
welcome was over long ago 171
welcome with what they had 44
welcome you when you are 40
welfare and peace and not 193
welfare and those who are 132
welfare for less than two 55
welfare for more than two 88
welfare for those who are 71
welfare for those who can 127
wenches are very neat and 91
western new york and had 47
western new york and new 317
western new york and ohio 1150
western new york and then 60
western new york and was 76
western new york with his 43
whereby they call men but 42
whereby they think they may 92
whereby they will try all 119
whereby you will see that 235
wherein are more than six 1376
wherein her heart was not 51
wherein our days are sad 124
wherein our life was led 64
wherein they have put any 151
wherein this land then was 175
wherein you will see that 123
whippings per hand per year 166
whisper that none may hear 49
whitens his legs with any 50
widowed and left with two 51
widower for more than two 42
willingly put into his own 120
windows are open all day 46
windows are open and you 51
windows that were not lit 45
winners are those who are 86
winners are those who can 118
winters are cold and dry 257
winters are cold and long 174
winters are cold and wet 314
winters are cold but not 47
winters are cool and dry 58
winters are cool and wet 69
winters are mild and dry 61
winters are mild and wet 117
winters are very long and 233
witches and those who had 48
witches with whom she was 44
withdraw and make way for 48
withdraw our eyes and our 93
withdraw this bill and bring 58
withdrew and made his way 55
withdrew her hand and put 54
withdrew her hand and sat 204
withdrew his hand and his 45
withdrew his hand and let 51
withdrew his hand and put 89
withdrew his hand and sat 146
withdrew his hand and she 65
withered old face had two 41
withheld for more than two 85
withhold them when they are 48
witness and also for its 41
witness his hand and seal 131
witness our hand and seal 43
witness that such was his 849
witness who must then say 88
witness who said she saw 65
witness who says she saw 46
witness who will say that 98
wizards that peep and that 804
womanly than when she had 84
wondering how much she had 210
wondering how much she was 60
wondering how much they had 59
wondering that there was yet 50
wondering why there are not 100
wondering why there are two 237
wondering why there was not 144
wonders her heart does not 45
wonders how many men and 100
wonders than these that are 47
wonders why there are not 220
woodcut you will see that 85
woodman has laid them low 50
workers and less than one 47
workers and more than one 77
workers and tell them that 130
workers and those who are 577
workers and those who can 45
workers and those who did 61
workers and those who had 255
workers and those who use 51
workers and those with low 125
workers and told them that 86
workers are laid off and 292
workers are laid off for 98
workers are paid for each 80
workers are such that they 49
workers are those who are 430
