wait under an atlantic isle 59
wait until he returned from 556
wait until he returned home 126
wait until my children were 55
wait until the children grow 83
wait until the children have 335
wait until the children were 711
wait until the maturity date 154
wait until the searchers came 124
wait until the situation gets 48
wait until the students have 115
wall above the entrance door 56
wall grows the daffodil clear 41
wall plays an essential role 41
wall shall be increased four 55
wall where the scorpions have 76
want alike the promethean fire 86
want anything to distract from 77
want money or property most 95
want people to remember what 67
want people to remember your 95
want skill in conducting their 106
ward where the children were 156
ward where the patients were 76
warm round of applause from 80
warm water is injected into 48
wealth could be obtained from 50
wealth might be obtained from 41
wealth which it extracts from 70
wealth which the colonies have 443
weary walks of ordinary life 168
week after he returned from 137
week after he returned home 43
week after my admission into 45
week after the blossoms fall 44
week after we returned from 133
week later the children were 67
week later the students were 42
week later the subjects were 75
well above the critical range 167
well above the industry norm 93
well above the inflation rate 206
well above the interest rate 56
well above the marginal cost 158
well acted by somebody else 218
well below the critical range 62
well below the critical size 44
well below the expected rate 65
well below the inflation rate 211
well below the marginal cost 42
well below the original cost 61
well below the prevailing rate 52
well first to consider what 76
well found he received more 127
well known in economic theory 112
well known in everyday life 70
well known in ordinary life 44
well known to describe here 54
well known to everyone else 80
well known to everyone from 106
well known to everyone here 46
well known to tourists from 88
well might he confound paul 99
well pause to consider what 219
well within the accepted range 239
well within the allotted time 171
well within the clinical range 69
well within the expected range 658
well within the financial means 46
well within the financial reach 108
well within the observed range 165
well within the possible range 68
well within the reported range 94
well within the tropical zone 115
well worthy of attention from 141
went about the delicate task 41
went after the saracens into 42
were about the ordinary size 57
were about to announce their 124
were about to collapse from 114
were about to collapse into 69
were about to commence their 454
were about to commence when 54
were about to complete their 291
were about to conclude their 77
were about to continue their 249
were about to disappear from 126
were about to disappear into 97
were about to disperse when 111
were about to dissolve into 108
were about to emigrate from 47
were about to exercise their 53
were about to graduate from 343
were about to separate from 138
were about to separate when 78
were about to transfer their 47
were above the ordinary size 55
were added in succeeding years 41
were alone to exercise their 77
were asked to appraise their 77
were asked to classify their 297
were asked to classify these 67
were asked to complete five 41
were asked to complete four 151
were asked to complete self 117
were asked to complete some 43
were asked to complete their 150
were asked to complete these 106
were asked to complete three 369
were asked to consider only 142
were asked to consider some 43
were asked to consider such 46
were asked to consider their 324
were asked to consider these 119
were asked to consider three 152
were asked to consider what 462
were asked to continue their 202
were asked to describe some 95
