wading waist deep through the 43
wage level high enough to 52
wage rates during periods of 42
wage rates have tended to 74
wage rates high enough to 158
wage rates were higher in 143
wage rates were raised by 98
wage rates will result in 187
wage which will enable the 63
wait seven years before he 75
wait until dark before he 48
wait until dark before we 55
wait until high school to 234
wait until just before he 47
wait until just before the 1121
wait until late summer to 44
wait until next summer to 154
wait until next sunday to 93
wait until their return to 47
wait until your number is 59
waking hours were justly to 67
waking hours were passed in 45
waking people were sliced by 42
wall built high enough to 40
wall which gave access to 52
wall which runs across the 107
warm brown eyes seemed to 41
warm sunny lake whereon we 52
warm water sent through the 72
warm water will reduce the 45
warp threads pass through the 87
wars which were fought in 94
wars which were fought to 55
wave after wave across the 46
wave after wave through the 50
wave which pass through the 52
wave whose wave vector is 47
wave would have reached the 64
waving reeds like stalks of 58
wavy brown hair parted in 52
ways human beings relate to 55
ways people have learned to 50
ways people have sought to 51
ways which have guided us 83
ways which have little to 72
ways which went beyond the 42
ways which will enable the 43
ways which will reduce the 40
ways which will result in 98
wealth which lies hidden in 56
wealth which were willed by 54
week after pearl harbor he 44
week after pearl harbor the 55
week after their return to 188
week after week passed by 390
week after week passed in 91
week after week passed on 280
week after week rolled by 52
week after week rolled on 88
week after week through the 236
week would pass before the 57
well above those needed to 62
well after dark before he 68
well after dark before the 94
well after dark before we 75
well below those needed to 152
well carry your banner to 63
well knowing what prince to 56
well known even before the 157
well known even beyond the 92
well known news source on 49
well known side effect of 55
well might have thought so 143
well suits those ladies to 42
well until just before the 44
well within living memory of 57
well within living memory the 45
well within their rights as 112
well within their rights if 40
well within their rights in 380
well within their rights to 604
well within your rights to 549
went about from church to 54
went about from county to 58
went about from divine to 107
went about from school to 41
went about from street to 78
went about from window to 177
went about their chores as 122
went about their chores in 56
went about their duties as 393
went about their duties in 316
went about their duties of 52
went about their duties on 42
went first from england to 72
went fully into effect in 41
went right back through the 67
went right down through the 129
went rolling away across the 53
went rolling into battle in 66
went running back across the 41
went running back toward the 47
went sailing from island to 49
went where duty seemed to 67
were about five inches in 125
were about four inches in 225
were about four inches of 49
were about half through the 41
were about nine inches in 44
were about three fourths of 68
were about three inches in 288
were about three inches of 59
were about three million of 40
were about three orders of 61
were above were unable to 143
were added just before the 85
were added many belonging to 64
were added other causes of 55
were again less likely to 49
were again more likely to 172
were again sent across the 43
were arguing over whether or 73
were arguing over whether the 68
were arguing over whether to 55
were asked their opinion as 132
were asked their opinion of 639
were asked their opinion on 470
were asked what effect the 49
were asked what should be 199
were backing their appeals to 60
were based only partly on 46
were based upon changes in 61
were based upon notions of 52
were beaten back across the 43
were beaten back behind the 73
were begun even before the 105
were bending over something on 41
were borne along before it 103
were built even before the 41
were built from blocks of 51
were built high enough to 96
were built just before the 86
were built well before the 53
were built wide enough to 63
were burnt down before the 46
were calling from across the 59
were causing great damage to 78
were cutting away pieces of 108
were dimly seen through the 144
were drawing ever closer to 107
were drawn even closer to 45
were drawn ever closer to 42
were drawn from abroad by 63
were drawn from across the 209
were drawn from amongst the 115
were drawn from around the 53
were drawn from before the 78
were drawn from nature by 118
were driving back through the 76
were driving back toward the 89
were driving home through the 147
were driving their cattle to 76
were driving their donkey to 50
were driving their flocks to 57
were easily seen through the 41
were either born abroad or 149
were either fast asleep or 52
were either from england or 40
were either high school or 55
were either kept secret or 44
were either left behind in 40
were either left behind or 80
were either left intact or 50
were either more scanty or 43
were either much higher or 40
were either very lively or 68
were either very stupid or 62
were falling back across the 79
were falling back before the 238
were falling back toward the 110
were falling into disuse in 43
were feeding their flocks in 40
were feeling well enough to 67
were fifty years behind the 145
were finding their places in 85
were fired from across the 48
were fired from behind the 100
were fired from inside the 110
were first laid across the 43
were first laid before the 188
were first made famous by 44
were first made public at 55
were first made public by 415
were first made public in 560
were first used instead of 41
were first used widely in 48
were fixed high enough to 68
were flowing from england in 46
were flown from london to 56
were forcing their sister to 52
were forty days before it 44
were found among groups of 76
were found base enough to 155
were found best suited to 49
were found bold enough to 460
were found daring enough to 66
were found half buried in 62
were found just inside the 90
were found less likely to 152
were found like wolves in 57
were found many copies of 41
were found many pieces of 73
were found more likely to 585
were found most likely to 94
were found most useful in 150
were found only rarely in 75
were found some pieces of 107
were found some traces of 64
were found three pieces of 45
were found very useful in 221
were freed from prison by 51
were freed from prison in 57
were fresh tire tracks in 40
were fully laid before the 47
were geared more toward the 49
were getting ever closer to 77
were getting much talked of 49
were getting warm without an 41
were given four ounces of 41
were given free access to 1547
were given free choice in 42
were given free choice of 80
were given free passes to 71
were given full access to 225
were given full charge of 72
were given full powers of 86
were given full powers to 353
were given full rights as 59
were given full rights in 53
were given full rights of 162
were given full rights to 64
were given great weight by 65
were given great weight in 74
were given high levels of 62
were given high office in 41
were given high places in 55
were given huge tracts of 67
were given just before the 102
were given just enough to 45
were given land grants by 82
were given land grants in 213
were given less weight in 56
were given more access to 55
were given more leeway in 71
were given more leeway to 47
were given more weight by 42
were given more weight in 121
were given much training in 41
were given only scraps of 48
were given open access to 57
were given other duties of 42
were given over mainly to 90
were given over wholly to 52
were given ready access to 69
were given some choice in 54
were given some degree of 209
were given some leeway in 46
were given some measure of 180
were given some training in 213
were given such titles as 128
were given their chance to 164
were given their choice of 1003
were given their orders by 54
were given their orders to 61
were given time enough in 80
were given time enough to 40
were given vast tracts of 55
were given very little to 85
were given voting rights in 56
were given what seemed to 67
were given wide powers in 47
were given wide powers of 176
were given wide powers to 303
were given your choice of 66
were gliding along through the 41
were grazing among groups of 43
were grazing their cattle in 59
were grazing their cattle on 44
were growing fast enough to 56
were headed back across the 41
were headed back toward the 272
were headed south toward the 53
were holding their ground in 46
were holding their horses by 69
were holding their meetings at 44
were holding their meetings in 87
were holding their revels in 75
were holding their sabbath on 42
were hopping from branch to 51
were keeping their flocks by 49
were known even before the 173
were known only through the 201
were known well before the 107
were known well enough to 122
were large land owners in 47
were later made public by 45
were later more likely to 150
were licking their wounds in 63
were lifting their voices in 48
were looking back across the 42
were looking back toward the 62
were looking down through the 84
were looking down toward the 77
were lured into assent to 91
were lurking just around the 55
were massing their forces in 40
were melting away before the 50
were moved from boston to 52
were moved from london to 87
were moved from prison to 54
were moved from station to 56
were nearly gone before an 46
were nearly lost through the 112
were never able wholly to 82
were never even dreamed of 72
were never even thought of 112
were never good enough to 187
were never great enough to 224
were never heard before in 63
were never high enough to 298
were never laid before the 104
were never loud enough to 45
were never made before or 52
were never made public by 67
were never made public in 70
were never made public it 40
were never more likely to 46
were never more needed in 67
were never more united in 52
were never once thought of 55
were never rich enough to 65
were never seen before in 166
were never seen before or 88
were never seen except by 58
were never seen except in 51
were never sure whether he 102
were never sure whether it 77
were never sure whether or 72
were never sure whether the 164
were never sure whether to 50
were never sure whether we 55
were never told whether he 59
were never used amongst the 45
were never used except in 52
were never very active in 53
were never very common in 58
were often best served by 42
were often bold enough to 42
were often glad enough to 44
were often left behind in 119
were often left behind to 69
were often less likely to 51
were often made before the 81
were often made merely to 52
were often made through the 57
were often made without the 94
were often more anxious to 58
were often more likely to 184
were often paid partly in 43
were often seen around the 59
were often sent through the 52
were often used instead of 367
were often used simply to 45
were often very active in 57
were often well versed in 57
were often worn around the 55
were often worn instead of 48
were passing away before the 95
were passing from orleans to 54
were passing from shrine to 50
were peeping from behind the 44
were peering down through the 45
were piled high around the 98
were plunging home through the 48
were pulling their weight in 48
were putting into effect the 76
were putting their bodies on 67
were putting their houses in 43
were quite good enough to 240
were quite loud enough to 105
were quite well versed in 47
were racking their brains to 225
were raising their voices in 198
were raising their voices to 62
were rated more highly by 140
were rated more highly in 69
were rated more highly on 52
were rated much higher in 56
were rated very highly by 95
were rather less likely to 237
were rather more afraid of 44
were rather more common in 48
were rather more likely to 522
were reaching their climax in 41
were really great enough to 45
were really less pressing to 48
were really much closer to 45
were relying more heavily on 99
were resting their standing to 57
were right there beside me 63
were rolling along through the 41
were rolling down timber to 60
were rolling like masses of 70
were rowed back across the 43
were running along beside the 43
were running back toward the 98
were running down through the 42
were running down toward the 53
were running from something or 40
were running home across the 46
were running wild through the 76
were saved from drowning by 110
were saved from drowning in 45
were saved from famine by 76
were saved only through the 112
were sending forth clouds of 58
were setting their sights on 165
were shops half opened in 81
were shown line drawings of 54
were signs even before the 42
were sipping their coffee at 41
were sitting down around the 45
were sitting here beside me 80
were sitting here instead of 43
were sitting just inside the 110
were sitting over coffee in 76
were sitting there watching the 108
were smoking their cigars in 55
were split into groups of 236
were split over whether the 51
were split over whether to 107
were spread from person to 56
were spread over almost the 47
were spread wide across the 56
were staking their claims to 48
were still bold enough to 113
were still clear enough to 68
were still cold enough to 49
were still coming across the 83
were still coming through the 165
were still cool enough to 51
were still deep enough to 42
were still fast asleep in 78
were still firing across the 103
were still flying around the 40
were still flying through the 79
were still good enough to 267
were still good places to 52
were still great enough to 64
were still great tracts of 44
were still hanging around in 61
were still hanging around the 259
were still high enough to 449
were still left around the 41
were still left before the 50
were still left behind in 50
were still left without the 90
were still less likely to 862
were still many dangers to 65
were still many indians in 60
were still many issues to 49
were still many points of 79
were still many slaves in 41
were still many traces of 81
were still more active in 70
were still more afraid of 169
were still more afraid to 59
were still more alarming to 51
were still more anxious to 324
were still more averse to 108
were still more common in 58
were still more intent on 103
were still more jealous of 142
were still more likely to 1513
were still more marked in 99
were still more pleased to 42
were still more unwise in 69
were still most likely to 122
were still moving across the 43
were still moving around the 41
were still moving through the 129
were still moving toward the 123
were still much closer to 93
were still paying homage to 51
were still rare enough in 43
were still rare enough to 120
were still rich enough to 61
were still seen towering in 91
were still some doubts as 44
were still some houses at 91
were still some lingerings of 81
were still some pieces of 97
were still some traces of 186
were still thick enough to 54
were still three cubits to 143
were still tied behind my 64
were still vast tracts of 72
were still very active in 290
were still very anxious to 40
were still very common in 124
were still very jealous of 63
were still warm enough to 78
were still well behind the 82
were still well enough to 57
were still wise enough to 50
were still young enough to 2048
were swept away before it 69
were swept away before the 283
were swept down before me 53
were swept from office by 66
were swept from office in 91
were swept into office by 165
were swept into office in 204
were swept into office on 94
were sworn into office as 63
were sworn into office by 149
were sworn into office in 104
were sworn into office on 233
were taken away before the 87
were taken back across the 95
were taken back through the 56
were taken down before the 44
were taken down mostly on 51
were taken during periods of 66
were taken even before the 84
were taken from africa to 231
were taken from amongst the 98
were taken from around the 79
were taken from behind the 49
were taken from copies of 55
were taken from england to 52
were taken from europe to 42
were taken from fields of 105
were taken from inside the 80
were taken from issues of 48
were taken from london to 60
were taken from prison to 65
were taken from school to 51
were taken from tables in 44
were taken from tables of 58
were taken just before the 204
were taken over bodily by 175
were taken over intact by 48
were taken well before the 46
were talking very keenly of 42
were tending their flocks in 76
were tending their flocks on 46
were throwing from wagons on 48
were thrown back across the 177
were thrown back behind the 58
were thrown back beyond the 42
were thrown down before the 63
were thrown into battle in 61
were thrown into dismay by 147
were thrown into houses by 48
were thrown into prison as 370
were thrown into prison at 332
were thrown into prison by 540
were thrown into prison in 290
were thrown into prison on 472
were thrown into prison or 420
were thrown into prison to 170
were thrown into relief by 367
were thrown into rivers or 42
were times when neither of 60
were turning back toward the 67
were twice more likely to 43
were under duke leopold in 48
were under heavy attack by 149
were under heavy attack in 41
were under some degree of 148
were under some measure of 40
were uniting their voices in 89
were urged along partly by 49
were voted into office by 66
were voted into office in 70
were voted most likely to 59
were waiting just around the 75
were waiting just beyond the 90
were waiting just inside the 116
were waiting their chance to 78
were walking along beside the 62
were walking along through the 67
were walking back across the 150
were walking back through the 255
were walking back toward the 515
were walking down through the 40
were walking down toward the 94
were walking home across the 59
were walking home through the 269
were walking their horses up 42
were washing their clothes in 289
were wasting their energy in 43
