waited patiently in front of 134
walked backwards in front of 296
walled courtyard in front of 163
walled enclosure in which the 155
wander aimlessly in search of 98
wander elsewhere in search of 65
wanted everybody on board to 46
wanted everybody to share in 79
warily inscribed the names of 179
warmed ourselves in front of 53
warmed themselves in front of 126
warmly advocated the cause of 276
warmly championed the cause of 57
warmly supported the cause of 224
warmly supported the views of 47
washed thoroughly in order to 42
washed thoroughly in water to 84
watching television in order to 72
watching television or engaging in 116
watching television or playing on 50
watching television or sitting in 68
watching television or surfing the 124
watching television or talking on 165
watching television or talking to 63
watching television or working on 53
watery particles of which it 58
weekly intervals in order to 107
weekly newspaper in which he 54
weighs decidedly in favor of 43
weight expressed in grams is 81
weight expressed in terms of 140
weight throughout the period of 82
wheels continued to catch the 51
whence proceeded the sound of 54
whence proceeded the voice of 51
whereas sophistic is really the 44
whereof judgments be given in 72
whereof resembles in whole or 48
whereof undertake or engage in 69
whether committed in times of 57
whether committed to writing or 83
whether conceived in terms of 382
whether confronting the enemy or 69
whether construed in terms of 44
whether described in terms of 186
whether dispersed in parts or 130
whether evaluated in terms of 47
whether evidenced by writing or 85
whether expressed by words or 81
whether expressed in money or 53
whether expressed in poetry or 49
whether expressed in prose or 62
whether expressed in terms of 1246
whether expressed in words or 365
whether expressed in writing or 171
whether locomotion or motion of 54
whether originating in panic or 59
whether parliament is sitting or 48
whether performed by others or 120
whether political or social or 62
whether presented in terms of 62
whether propelled by sails or 50
whether specified in terms of 175
whether supported by facts or 41
whilst recognizing the value of 40
whoever attempted to change the 42
whoever considers the state of 46
whoever possesses the power of 40
wholly abandoned in favor of 68
wholly competent to steer the 55
wholly conceived in terms of 45
wholly defective in point of 48
wholly definable in terms of 71
wholly described in terms of 104
wholly destroyed the power of 43
wholly destroyed the trade of 43
wholly destroyed the value of 64
wholly exercised in sapping the 70
wholly explained in terms of 612
wholly expressed in terms of 52
wholly incapable of meeting the 45
wholly incapable of serving as 178
wholly neglected the study of 49
wholly unfounded is shown by 57
widely available in order to 86
widely available to people in 80
widely available to people of 44
widely available to women in 45
widely conceived in terms of 54
widely different in point of 55
widely different in terms of 94
widely discussed in terms of 206
widely dispersed in order to 59
widely dispersed in terms of 51
widely divergent in terms of 44
widely practiced as though it 72
widely practiced in parts of 48
widely practiced in spite of 43
widely reprinted in whole or 64
widely separated in order to 59
widely separated in point of 303
widely separated in space as 47
widely separated in space or 138
widely separated in terms of 185
widely throughout the nation the 69
widely throughout the whole of 69
widely throughout the world as 267
widely throughout the world by 47
widely throughout the world in 171
widely throughout the world to 51
widest amplitude of power to 73
window overlooking the front of 109
window overlooking the scene of 58
winter continues to gripe us 63
wisdom preserves the lives of 45
wisely permitted to belong to 63
wisest definition of poetry the 64
wished ourselves on board the 43
without accusation of crime or 40
without adherence to rules of 65
without allegation of crime in 53
without allegation or proof of 242
without alteration by either of 115
without alteration or change of 44
without appliances by which the 55
without appreciating the power of 46
without appreciating the value of 51
without assurance is liable to 50
without bloodshed to yield up 99
without calculating the value of 53
without complaint in order to 62
without compulsion to write to 50
without confronting the issue of 164
without considering it under the 167
without considering the action of 73
without considering the cause of 70
without considering the cause or 53
without considering the change in 55
without considering the change of 45
without considering the costs of 169
without considering the costs to 42
without considering the danger of 77
without considering the danger to 140
without considering the facts of 41
without considering the goals of 44
without considering the growth of 44
without considering the issue of 265
without considering the kinds of 48
without considering the level of 123
without considering the lives of 41
without considering the needs of 696
without considering the order of 50
without considering the place of 77
without considering the point of 47
without considering the power of 87
without considering the reason of 138
without considering the shape of 40
without considering the spell of 46
without considering the state of 230
without considering the types of 52
without considering the value of 414
without considering the views of 192
without considering the whole of 60
without contracting the guilt of 74
without depreciating the merit of 43
without depreciating the value of 150
without determining the cause of 87
without determining the issue of 110
without determining the value of 72
without detriment or danger to 70
without detriment to either the 56
without diminishing the force of 196
without diminishing the power of 484
without diminishing the sense of 96
without diminishing the share of 96
without diminishing the speed of 52
without diminishing the stock of 52
without diminishing the value of 705
without diminution by reason of 841
without diplomacy or breaking up 102
