wagged his head with an 50
wagons did not get in 59
wagons set out for the 42
wagons that they use to 46
waited all day for an 92
waited all day for the 680
waited all year for the 81
waited each day for the 126
waited far too long to 424
waited for her all the 75
waited for her car to 85
waited for her cry of 84
waited for her cue to 47
waited for her dad to 92
waited for her death to 49
waited for her for so 40
waited for her head to 157
waited for her man to 54
waited for her mom to 89
waited for her near the 154
waited for her nod of 78
waited for her out in 45
waited for her son to 267
waited for her with the 98
waited for him all the 149
waited for him and he 438
waited for him and the 126
waited for him and we 55
waited for him but he 166
waited for him for so 54
waited for him for the 45
waited for him near the 373
waited for him not so 46
waited for him that he 112
waited for him with an 57
waited for him with the 296
waited for his car to 149
waited for his cue to 64
waited for his dad to 139
waited for his death to 112
waited for his head to 346
waited for his man to 63
waited for his meal to 64
waited for his men to 236
waited for his mom to 54
waited for his nod of 63
waited for his son to 502
waited for that day to 103
waited for them all to 269
waited for them both to 93
waited for them near the 77
waited for them with the 165
waited for this day to 195
waited for this for so 107
waited for this man to 46
waited for you all my 222
waited for you all the 88
waited for you for so 150
waited for you with the 56
waited long for her to 48
waited long for him to 57
waited long for you to 136
waited now for him to 72
waited one day for the 61
waited this long for the 62
waited thus long for the 74
waited too long and he 53
waited too long and it 45
waited too long and the 264
waited too long for an 70
waited too long for it 119
waited too long for my 54
waited too long for the 596
waited way too long to 55
waited with fear for the 65
waited with her for the 215
waited with him for the 184
waited with them for the 96
waiter and ask him to 41
waiter who was not the 49
waived and can not be 175
waived and may not be 77
waiver was not one of 49
walked all that way in 42
walked all that way to 50
walked all this way to 138
walked and ran all the 57
walked arm and arm to 65
walked off with all of 46
walked off with all the 393
walked off with him to 103
walked off with one of 164
walked off with them to 245
walked off with two of 40
walked out and got in 229
walked out and let the 59
walked out and met the 46
walked out and sat in 85
walked out and sat on 153
walked out and saw the 186
walked out and set up 101
walked out one day to 83
walked out with all the 87
walked out with her in 51
walked out with her on 43
walked out with her to 134
walked out with him in 54
walked out with him on 65
walked out with him to 433
walked out with one of 92
walked out with them to 103
walked two and two in 79
walked two and two on 57
walked two and two to 78
walked with god all the 72
walked with god and he 242
walked with her all the 126
walked with her and the 58
walked with her arm in 65
walked with her for the 42
walked with her head in 61
walked with her head up 466
walked with her out of 249
walked with her out the 49
walked with her out to 143
walked with her son to 41
walked with him all the 203
walked with him and the 90
walked with him and we 41
