war seemed a long way 222
was aboard i lit out 89
was afraid i did not 535
was afraid i had got 54
was afraid i had not 511
was afraid i had put 43
was afraid i was being 160
was afraid i was doing 55
was afraid i was going 5122
was afraid i was not 1066
was afraid i was too 289
was almost a dead heat 124
was almost a dead man 42
was almost a man and 117
was almost a man now 141
was almost a new idea 53
was almost a new one 92
was almost a new sin 54
was almost a plea for 61
was almost a year ago 2138
was almost a year and 359
was almost a year now 147
was almost a year old 1301
was almost a year that 130
was already a big boy 134
was already a big fan 50
was already a big hit 47
was already a big man 78
was already a bit too 47
was already a dead man 551
was already a dying and 79
was already a dying man 583
was already a far cry 93
was already a hot day 62
was already a long and 73
was already a long one 239
was already a long way 589
was already a man and 84
was already a man who 104
was already a man with 115
was already a new and 49
was already a poet and 58
was already a year and 87
was already a year old 428
was always a bad day 83
was always a bad idea 140
was always a bad man 48
was always a bad one 172
was always a bed for 79
was always a big day 201
was always a big deal 327
was always a big fan 146
was always a big hit 151
was always a big man 69
was always a big one 159
was always a bit odd 86
was always a bit sad 40
was always a bit shy 195
was always a bit too 199
was always a dear and 46
was always a fear that 829
was always a guy who 77
was always a head and 40
was always a hit with 58
was always a hot meal 63
was always a job for 84
was always a joy and 90
was always a joy for 121
was always a liar and 41
was always a long and 109
was always a long day 52
was always a long one 93
was always a long way 144
was always a lot going 125
was always a man and 126
was always a man for 137
was always a man that 196
was always a man who 761
was always a man with 233
was always a new and 68
was always a new one 205
was always a one for 121
was always a real one 56
was always a sad day 54
was always a shy man 59
was always a sly and 81
was always a use for 45
was always a war and 41
was always a war going 63
was always a way for 100
was always a way out 980
was always a weak and 86
was always a weak one 111
was always i who had 102
was always i who was 101
was amazed i did not 59
was amazed i had not 136
was around a lot and 55
was around a year old 103
was around i did not 51
was arranging a deal with 182
was asleep i did not 42
was assuming a new and 80
was barely a day old 46
was barely a dry eye 55
was barely a year ago 110
was barely a year and 96
was barely a year old 1517
was become a new being 43
was become a new man 98
was becoming a big boy 44
was becoming a bit too 237
was becoming a man and 79
was becoming a new and 60
was becoming a new boy 74
was becoming a new man 77
was before i had any 183
was before i had met 120
was before i had read 127
was before i met her 169
was before i met him 236
was before i met you 949
was before i read them 54
was before i saw her 126
was before i saw him 100
was before i saw that 168
was before i saw this 46
was before i saw you 148
was before i was old 67
was better i did not 180
was bleeding a lot and 74
was bloody a long way 53
was building a new and 82
was building a new one 151
was buried a man who 56
was called a fat year 42
was called a liar and 181
was called a liar for 67
was carrying a bag and 108
was carrying a bag that 130
was carrying a bag with 133
was carrying a big bag 164
was carrying a big box 107
was carrying a bow and 128
was carrying a box that 40
was carrying a box with 64
was carrying a dead man 50
was carrying a gun and 344
was carrying a gun for 55
was carrying a gun that 42
was carrying a gym bag 126
was caught a bit off 179
was clearly a bad idea 40
was clearly a bid for 48
was clearly a dead end 52
was clearly a dying man 42
was clearly a far cry 50
was clearly a job for 122
was clearly a long and 42
was clearly a long way 179
was clearly a man for 53
was clearly a man not 212
was clearly a man who 998
was clearly a man with 284
was clearly a new and 86
was coughing a lot and 90
was created a new and 41
was created a year ago 89
was dragging a cat out 52
was drinking a gin and 46
was drinking a lot and 343
was drinking a lot then 52
was enjoying a day off 57
was enjoying a long run 62
was entering a new age 270
was entering a new and 639
was entering a new era 2776
was fighting a man who 40
was fighting a war and 99
was fighting a war for 290
was fighting a war that 190
was fighting a war with 284
was formed a year ago 279
was handed a pen and 44
was hardly a big deal 62
was hardly a bow that 50
was hardly a boy who 46
was hardly a day but 98
was hardly a day for 58
was hardly a day old 41
was hardly a day that 1152
was hardly a dry eye 1589
was hardly a job for 50
was hardly a man for 57
was hardly a man that 91
was hardly a man who 484
was hardly a man with 294
was hardly a new idea 566
was hardly a new one 789
was hardly a year ago 47
was hardly a year and 42
was hardly a year old 393
was hardly a year that 40
was indeed a bad day 52
was indeed a bad one 72
was indeed a big man 59
was indeed a big one 71
was indeed a day for 92
was indeed a far cry 664
