war enclosed are based on 57
war materials with which to 72
war minister and chief of 317
was abducted and raped by 192
was abducted and taken to 202
was abruptly cut short as 68
was abruptly cut short by 579
was abruptly cut short in 72
was abundant and close at 42
was abundant and could be 115
was accepted and acted on 272
was accepted and given the 50
was accepted and loved by 54
was accepted and sworn to 44
was accepted and would be 70
was accepted with thanks by 162
was achieved with doses of 50
was acquired and added to 54
was acquired and hence is 57
was actually being asked to 83
was actually being spent on 121
was actually not looking at 79
was actually not quite so 40
was actually not until the 150
was actually too large to 40
was actually too small to 82
was addressing his words to 98
was admitted and acted on 118
was admitted and could be 46
was admitted and sworn as 46
was admitted and taken to 85
was admitted that under the 65
was admitted with signs of 48
was advocating had grown of 42
was agitated with alarm on 49
was allotted his share in 115
was ambitious and tried to 61
was ambitious and willing to 57
was ambushed and slain by 118
was analyzed and found to 1378
was analyzed and shown to 104
was anointed and sealed by 72
was answered with cries of 52
was answered with threats of 65
was anywhere but where he 67
was appalled and tried to 65
was apparent that after the 78
was apparent that either the 47
was apparent that since the 43
was apparent that under the 60
was apparent that while the 157
was approved for funding by 63
was arrested and about to 42
was arrested and asked to 42
was arrested and beaten by 198
was arrested and beaten in 59
was arrested and beaten to 73
was arrested and beaten up 155
was arrested and ended up 42
was arrested and fined by 58
was arrested and fined in 86
was arrested and flown to 104
was arrested and found to 163
was arrested and given the 80
was arrested and hanged at 62
was arrested and hanged by 54
was arrested and hanged in 113
was arrested and hanged on 121
was arrested and later on 53
was arrested and spent the 350
was arrested and taken by 102
was arrested and taken in 317
was arrested and taken to 9786
was arrested and thrown in 1191
was arrested and tried as 196
was arrested and tried at 335
was arrested and tried by 936
was arrested and tried in 818
was arrested and tried is 135
was arrested and tried on 916
was arrested and while in 47
was arrested for breach of 206
was arrested for breaking the 253
was arrested for defying the 54
was arrested for engaging in 131
was arrested for failing to 471
was arrested for fraud in 46
was arrested for holding up 67
was arrested for killing an 58
was arrested for killing the 68
was arrested for picking the 42
was arrested for robbing the 65
was arrested for selling the 117
was arrested for sitting in 340
was arrested for speaking at 89
was arrested for stealing an 73
was arrested for stealing the 109
was arrested for teaching the 52
