walk disorderly and will not 358
wash immediately with soap and 422
ways compatible with their own 74
ways consistent with their own 294
ways consistent with what they 69
well acquainted not only with 798
well acquainted they were with 55
well acquainted with india and 47
well acquainted with life and 53
well acquainted with many who 43
well acquainted with more than 147
well acquainted with pope and 83
well acquainted with reading and 40
well acquainted with rome and 41
well acquainted with such things 131
well acquainted with their new 49
well acquainted with their own 1973
well acquainted with their use 73
well acquainted with their weak 141
well acquainted with these and 52
well acquainted with these men 74
well acquainted with these seas 53
well acquainted with these things 290
well acquainted with these two 107
well acquainted with those seas 136
well acquainted with those that 42
well acquainted with those things 66
well acquainted with those who 224
well acquainted with what goes 50
well acquainted with what had 181
well acquainted with what has 130
well acquainted with what they 110
well acquainted with what was 426
well acquainted with what you 69
well acquainted with your own 122
well acquainted with your pig 72
well calculated for those who 73
well considered all these things 40
well controlled with diet and 61
well cultivated with corn and 50
well cultivated with wheat and 42
well documented and need not 356
well documented and there are 99
well documented and will not 250
well documented for more than 55
well documented that there are 193
well extirpated and cast out 59
well maintained and ready for 43
well maintained and there are 57
well recognized that there are 346
well recognized that there was 44
well remembered that there was 52
well understand how those who 69
well understand that there are 117
well understand that there may 61
well understand that there was 72
well understand that those who 66
well understood and have not 62
well understood and need not 94
well understood and there are 171
well understood and will not 115
well understood for more than 48
well understood how much they 42
well understood than those for 74
well understood that there are 312
well understood that there can 53
well understood that there was 433
well understood that these are 68
well understood that these two 47
well understood that those who 110
well ventilated and well lit 141
went downstairs and there was 139
went downstairs and told her 129
went downstairs and told him 49
went downstairs and told his 61
went downstairs and took her 56
went immediately and paid his 53
went undetected for more than 40
were acquainted not only with 154
were acquainted with iron and 48
were acquainted with more than 80
were acquainted with only one 196
were acquainted with their own 115
were acquainted with these things 48
were acquainted with what had 145
were acquainted with what they 74
were acquainted with what was 98
were advertised for sale and 51
were advertised for sale for 62
were apparently not more than 70
were apparently not used for 79
were apparently too much for 192
were appreciated for their own 57
were appropriate for dealing with 54
were barricaded with fine old 46
were calculated and these are 51
were calculated and used for 161
were calculated for these two 122
were calculated not only for 55
were calculated using data for 61
were celebrated for their wit 48
were celebrated not only for 85
were celebrated with more than 67
were celebrated with pomp and 103
were comparable with those for 155
were compatible with their own 317
were complaints that there was 62
were compressed with more than 52
were confronted not only with 351
were confronted with from one 54
were confronted with many new 41
were confronted with more than 63
were confronted with only one 51
were confronted with their own 274
were confronted with what they 109
were confronted with what was 67
were considered and dealt with 103
were considered but were not 103
were considered fit only for 242
were considered for dealing with 42
were considered too good for 53
were considered too great for 74
were considered too heavy for 58
were considered too high and 78
were considered too high for 83
were considered too many for 42
were considered too slow and 55
were considered too young for 79
were consistent not only with 97
were consistent with their being 156
were consistent with their own 423
were consistent with there being 48
were consistent with those for 203
were consistent with those that 199
were consistent with what had 56
were consistent with what has 50
were consistent with what one 127
were consistent with what they 130
were consistent with what was 220
were constantly being made and 126
were constantly being made for 76
were constantly being made that 42
were constantly being sent out 211
were constantly being told that 335
were constantly going back and 210
were constantly going from that 52
were contracted and paid for 55
were contrasted with some few 130
were contrasted with those for 78
were contrasted with those who 151
were correlated not only with 43
were correlated with those for 46
were criticized not only for 75
were cultivated for their own 69
were cultivated with care and 57
were determined and used for 51
were determined that none but 40
were determined that their new 59
were determined that their own 115
were determined that their son 78
were determined that there was 72
were determined that those who 40
were determined they were going 54
were determined they were not 49
were determined this time not 58
were disastrous not only for 58
were discharged and paid off 48
were discovered and there was 66
were discovered and used for 52
were discovered ten years ago 45
were discovered that were not 91
were discovered too late for 83
