wail of two old boughs 62
wait so long for dinner 49
wait so long for something 53
wait to add that strength 127
wait to get her clothes 53
wait to get our permit 52
wait to hear her answer 204
wait to hear him reject 55
wait to hear his answer 134
wait to rob and murder 98
wait to see for myself 65
wait to see her reaction 127
wait to see him return 61
wait to see his family 47
wait to see his friend 62
wait to see his reaction 175
wait to see how events 135
wait to see thee vanish 69
wait to tear his clothes 86
wait up for his return 62
wake by his mad kisses 99
wake of his own accord 241
wake of that dingy little 45
wake up and ask myself 71
wake up and say something 202
wake up and you realize 44
wake up with her beside 43
wake up with you beside 61
waking my head was clearer 45
waking up and going abroad 49
waking up with you beside 44
walk in and out without 275
walk in his own garden 61
walk in his own strength 87
walk in our long garden 58
walk in our own tracts 90
walk in this path without 41
walk of his own accord 119
walk the long way around 356
walk to and fro across 273
walk to and fro before 361
walk to and fro through 1240
walk to and fro without 388
walk up and say something 52
wall at top and bottom 130
wall he saw him standing 64
wall in and near dublin 56
wall is not thus banded 44
wall of earth and stones 126
wall of earth and timber 49
wall of his own garden 45
wall of men and horses 45
wall of mud and stones 73
wall of that long cavity 70
wall up with our english 2441
want is that she should 81
want is that they should 582
want is that you should 2377
want it all for myself 90
want it and can afford 104
want it hot and actual 41
want it not for itself 54
want it was that nature 49
want of all that supply 51
want of due and proper 65
want of him was likely 99
want of them can hardly 48
want of zeal and energy 203
want or can not afford 527
want or can not handle 65
want the ease and fashion 54
want the man who killed 115
want the men who killed 50
want to add and choose 73
want to add and delete 95
want to add and remove 101
want to add and select 88
want to add any further 95
want to add any grouping 780
want to add one further 41
want to add this feature 47
want to add yet another 136
want to and can afford 142
want to ask and answer 233
want to ask any favors 97
want to ask any further 50
want to ask each person 41
want to ask for advice 83
want to ask for another 63
want to ask for something 248
want to ask for special 48
want to ask her doctor 65
want to ask her something 244
want to ask him myself 41
want to ask him something 454
want to ask him whether 231
want to ask his advice 116
want to ask his opinion 117
want to ask that person 93
want to ask them something 45
want to ask them whether 166
want to ask this person 86
want to ask you another 832
want to ask you before 575
want to ask you further 46
want to ask you kindly 51
want to ask you something 31044
want to ask you whether 1285
want to beg his pardon 50
want to bring out another 70
want to bring out clearly 47
want to bring that person 48
want to bring this matter 119
want to bring you something 54
want to buy her something 185
want to buy new clothes 68
want to buy real estate 332
want to buy you dinner 61
want to buy you something 282
want to cut our throats 60
want to deal with another 320
want to deal with anyone 217
want to deal with issues 236
want to deal with reality 127
want to deal with someone 585
want to deal with something 242
want to die for something 45
want to dig too deeply 74
want to end his career 68
want to end this letter 71
want to end this section 401
want to end with something 50
want to for that matter 52
want to get all worked 50
want to get any better 94
want to get any bigger 76
want to get any closer 1484
want to get any deeper 165
want to get any further 175
want to get any wetter 93
want to get far enough 96
want to get for readers 70
want to get going before 48
want to get her something 148
want to get him before 56
want to get him killed 74
want to get him something 110
want to get his clothes 71
want to get his friend 51
want to get near enough 122
want to get off before 129
want to get out before 714
want to get out without 53
want to get that person 72
want to get them before 56
want to get them something 40
want to get this behind 46
want to get this burden 45
want to get this cleared 75
want to get this letter 238
want to get this matter 123
want to get this person 42
want to get this sorted 44
want to get too bogged 59
want to get too caught 57
want to get too chummy 54
want to get too deeply 224
want to get too serious 126
want to get top dollar 62
want to get you inside 49
want to get you killed 51
want to get you safely 45
want to get you something 211
want to get you through 55
want to hear and ignore 63
want to hear any advice 51
want to hear any further 217
want to hear any mention 57
want to hear any reasons 70
want to hear for myself 61
want to hear her answer 154
want to hear his answer 251
want to hear his opinion 71
want to hear his speech 46
want to hear his version 137
want to hear that someone 46
want to hear that something 45
want to hear you mention 100
want to hear you recite 42
want to lead you astray 208
want to lead you through 48
want to lean too heavily 78
want to let that happen 212
want to let that person 102
want to let this happen 64
want to let this person 59
want to mix with whites 44
want to own and manage 69
want to own real estate 183
want to pay for another 95
want to pay for dinner 44
want to pay for someone 62
want to pay for something 216
want to pay top dollar 101
want to pay you something 60
want to put any effort 58
want to put any strain 59
want to put any weight 46
want to put her through 431
want to put him through 353
want to put his family 145
want to put our policy 43
want to put that behind 101
want to put that burden 48
want to put them through 531
want to put this behind 298
want to put you through 1103
want to read any further 113
want to read that letter 108
want to read that section 77
want to read them before 62
want to read this entire 74
want to read this letter 133
want to read this section 411
want to read you something 1417
want to rip his clothes 58
want to run any chance 49
want to run for office 1613
want to run for public 171
want to run them through 52
want to run this script 52
want to say all through 48
want to say for myself 79
want to say how deeply 122
want to say how pleased 239
want to say that anyone 79
want to say that before 96
want to say that neither 160
want to say that nobody 65
want to say that someone 643
want to say that something 444
want to say that unless 70
want to say that whether 43
want to say that whoever 47
want to say that without 161
want to say this before 231
want to say this without 49
want to say with regard 81
want to see and ignore 58
want to see and listen 59
want to see any changes 121
want to see any doctor 53
want to see any further 100
want to see any letter 43
want to see for myself 4858
want to see her anyway 159
want to see her become 67
want to see her before 1192
want to see her brother 67
want to see her commit 46
want to see her family 111
want to see her friend 169
want to see her harmed 51
want to see her killed 43
want to see her laughing 83
want to see her little 42
want to see her myself 122
want to see her reaction 90
want to see her safely 91
want to see her sister 241
want to see her suffer 297
want to see her through 41
want to see her without 53
want to see him anyway 457
want to see him around 276
want to see him become 90
want to see him before 1864
want to see him caught 51
want to see him harmed 49
want to see him hurrying 44
want to see him killed 286
want to see him myself 130
want to see him squirm 121
want to see him suffer 743
want to see him through 49
want to see him unless 60
want to see him without 84
want to see his brother 120
want to see his family 164
want to see his friend 244
want to see his little 77
want to see his reaction 131
want to see his sister 151
want to see how changes 113
want to see how little 68
want to see how pretty 139
want to see how something 68
want to see new places 90
want to see one another 170
want to see one person 41
want to see our family 93
want to see our friend 54
want to see our little 61
want to see our papers 72
want to see that before 61
want to see that damned 93
want to see that fellow 169
want to see that garden 86
want to see that happen 3341
want to see that letter 129
want to see that little 459
want to see that person 508
want to see that pretty 40
want to see that someone 44
want to see them anyway 178
want to see them around 116
want to see them become 141
want to see them before 744
want to see them caught 56
want to see them harmed 50
want to see them killed 95
want to see them suffer 207
want to see them through 44
want to see them treated 54
want to see them without 48
want to see things changed 84
want to see things clearly 102
want to see things happen 112
want to see things through 55
want to see this before 42
want to see this famous 97
