we asked what would happen 122
we broke into small groups 164
we could find space enough 43
we could have added another 54
we could have found another 54
we could have found something 69
we could have lived cheaper 43
we could have lived through 56
we could have lived without 105
we could have taken another 45
we could have taken refuge 49
we could have tried harder 47
we could just about afford 53
we could just about manage 106
we could just drive around 40
we could look close enough 45
we could look right through 220
we could look still further 42
we could make miles enough 74
we could move about freely 80
we could soon cover shorty 41
we could stop fooling around 75
we could talk about something 390
we fancy some strong emotion 536
we found some fresh tracks 68
we found some split timber 40
we found there about twelve 70
we guide their whole bodies 86
we might call grand family 56
we might have aptly enough 53
we might have fared better 50
we might have first thought 136
we might have found better 42
we might have found plenty 90
we might have found something 150
we might have hoped better 108
we might have known before 150
we might have known better 122
we might have known something 292
we might have slept secure 53
we might meet father butler 54
we might talk about something 67
we might think twice before 105
we might well doubt whether 230
we might well pause before 44
we never find skins except 100
we never were happy enough 49
we often find noble stamps 53
we ought into every corner 81
we piled some loose stones 78
we please talk about something 415
we really feel about something 40
we search into human nature 121
we shall feel amply repaid 66
we shall find ample matter 96
we shall find quite enough 125
we shall find reason enough 108
we shall find running through 104
we shall find still another 56
we shall find still further 230
we shall find still greater 51
we shall find strong reasons 40
we shall find trade travel 50
we shall have cause enough 136
we shall have every chance 40
we shall have genial hangmen 40
we shall have given notice 52
we shall have jolly stirring 95
we shall have light enough 78
we shall have loyal allies 85
we shall have money enough 447
we shall have noise enough 80
we shall have quite enough 560
we shall have sense enough 47
we shall have shade enough 55
we shall have small chance 42
we shall have still further 114
we shall have still greater 48
we shall have strong reasons 75
we shall have taken another 40
we shall have water enough 82
we shall here quite simply 60
we shall make brief mention 78
we shall make every effort 727
we shall meet again before 1061
we shall meet again beyond 62
we shall meet again sooner 43
we shall more easily obtain 70
we shall only visit places 45
we shall pass under review 108
we shall take lofty ground 88
we shall turn russia upside 83
we spent many happy evenings 55
we split into small groups 46
we still know rather little 102
we today call human rights 45
we would have asked whether 95
we would have fared better 202
we would have found another 82
we would have found something 111
we would have given almost 48
we would have given worlds 53
we would have grave doubts 46
we would have known better 153
we would have known without 44
we would have lived through 59
we would have never gotten 135
we would have never thought 78
we would have thrust virtue 65
we would know anything further 121
we would make every effort 281
we would meet again before 62
we would talk about something 51
we would think twice before 84
woe whose only glory streams 44
