wail long and loudly about 80
wait and see through heaven 42
wait and see whether anything 63
wait for his answer until 68
wait too long before calling 79
wait too long before getting 112
wait too long before seeking 245
waking and his sleeping hours 78
walk all day without meeting 74
walk does not banish sleep 67
wall and big eastern vases 42
wall and with double doors 47
wall that she thought stood 45
want that old rotten house 45
want that you should write 66
warn him that laurie would 63
wars are not always evils 52
wave set her afloat again 45
waving her arm slowly aloft 49
ways and for reasons which 97
ways are far beyond anything 145
ways that they thought would 50
wealth and his nobler blood 52
wealth they had gained while 50
wearing her own clothes again 42
wearing out his tedious eight 42
weary year had passed since 222
weary you with futile minor 42
week had not passed since 127
week had now passed since 163
week that any person shall 58
week that had passed since 222
week that has passed since 108
week with each session lasting 41
weep not that virgil leaves 46
well and get enough sleep 59
well ask why anyone would 57
well did her memory guide 111
well fed and looked after 422
well for you english people 49
well say that scanning verse 84
well see how fulton could 45
well that his brother would 55
well that his master would 42
well that she should marry 46
well that she should never 41
well that they should never 51
well that was another story 46
well that you should begin 44
well that you should never 41
well they are looked after 60
well was this signal known 45
well with one dollar which 78
went her way without knowing 82
went his way without looking 92
went off with another woman 888
went off with violent sweats 41
went out and bought about 42
went out and bought every 126
went out and called harry 211
went out and looked about 103
went out and raised money 105
went out and talked about 64
went out and walked about 533
went out and walked round 213
went out and walked until 68
went out for coffee after 90
went out for dinner after 61
went out for dinner every 41
went out for drinks after 112
went out one summer evening 94
went out one sunday morning 75
went out with another woman 96
went too far before mercy 41
went with that guilty woman 41
were all got safely within 42
were all lying torpid beneath 55
were all she talked about 48
were all that anyone could 54
were all they talked about 51
were all too keenly aware 58
were but few places where 90
were but one entire stone 60
were but two places where 67
were cut off through which 55
were cut off without mercy 59
were cut with copper tools 40
were dead and buried beneath 85
were dead and buried under 46
were dim and senses failing 108
were doing was unlike anything 51
were fed and looked after 306
were fit for travel after 87
were for going ashore again 50
were for long periods under 44
were gay with little light 113
were his own feelings about 87
were hung with little bells 68
were hung with little white 68
were hung with prints which 47
were hung with yellow leather 45
were lean and taller still 97
were lit and church bells 46
were met with honest views 41
were new and little known 42
were not all agreed about 60
were not all created equal 60
were not all treated alike 96
were not being honest about 67
were not being looked after 204
were not being treated right 201
were not doing enough about 53
were not doing something right 134
were not far enough apart 127
were not for learned social 52
were not one united people 43
were not put beyond doubt 60
were not too choosy about 58
were not too pleased about 269
were not too pleased either 40
were not too serious about 48
were not too strict about 52
were not with enticing words 153
were not yet clearly drawn 145
were not yet firmly fixed 46
were not yet wholly fixed 97
were not yet widely known 358
were now being turned loose 45
were raw and bleeding where 59
were read and talked about 96
were red and yellow leaves 69
were red with recent weeping 40
were rung and cannon fired 320
were set far enough apart 90
were set for rustic opera 67
were then and remain today 127
were then but little known 553
were with him watching jesus 336
were you two fighting about 49
what any one person could 91
what any one person might 43
what are his feelings about 46
what are not marked within 48
what are now called orange 97
what are now called short 46
what are now called social 50
what are they fighting about 72
what are you babbling about 203
what are you bitching about 58
what are you brooding about 45
what are you curious about 46
what are you fighting about 164
what are you grinning about 157
what are you groaning about 64
what are you growling about 48
what are you laughing about 332
what are you mumbling about 106
what are you screaming about 68
what are you shouting about 104
what are you worrying about 1036
what can that little green 42
what can that mighty human 271
what can you assume about 74
what can you deduce about 297
what can you expect after 124
what did not before exist 230
what did not happen after 55
