wagons sent 202 warmed keep 175
warrior been 97 whence been 133
whereas there 64 whereas these 49
whereof made 68 whereof bore 72
whereon such 40 wicked face 71
window back 98 winter here 78
without much 56 without wife 60
without ones 60 without from 220
without from 43 without leave 50
without their 80 without what 49
without many 116 without much 257
without other 53 without crow 49
without their 48 without what 48
without even 873 without only 90
without book 202 without work 66
without help 86 without book 627
without work 193 wooden iron 78
wooden cloth 77 wooden felt 71
wooden wire 171 wooden iron 48
wooden eager 81 wooden gold 47
worlds will 57 writer what 55
writer well 289 writes myths 62
writes poems 48 writings their 62
