wage and overtime pay for 63
wait for daylight and then 56
wait for whatever was going 77
wait his approach and then 55
wait with patience for its 43
wait with patience for that 180
walk and converse with each 41
walk and converse with men 115
walk has extended too far 50
wall and therefore can not 65
wall that incloses them are 43
want and calamity are not 82
want and consumes them with 40
want for yourself and for 169
want her anywhere near him 98
want him anywhere near her 188
want him anywhere near you 58
want him yourself you can 122
want our children and our 121
want that evidence that can 155
want them whiskers and that 49
want you anywhere near her 81
want you anywhere near him 102
want you anywhere near that 124
want you anywhere near them 49
want you anywhere near this 118
want you tormenting him any 61
ward off sickness and death 65
warm and friendly and she 48
warm and friendly but not 64
warm and friendly man who 68
warm with blankets and hot 92
warn his visitors that they 42
warn them solemnly and let 53
wars that followed his death 77
wars with pakistan and one 64
wars with scotland and with 60
wash its entrails and its 95
ways and therefore can not 78
ways that conflict with our 58
ways that indicate that they 124
ways that students can use 64
ways they interact with each 145
ways they interact with one 77
ways too numerous and too 43
wealth and grandeur are too 44
wealth and greatness are got 84
wealth and greatness than any 344
wealth and property and thus 138
wealth and property now bring 43
wearing his baseball cap and 85
wearing his overcoat and hat 61
wearing red breeches and tying 41
weary and footsore that they 41
weary but beautiful path that 42
weary with ransacking his own 76
week and holidays with pay 266
week and vacations with pay 45
week for furnishing him with 101
week she reported that she 58
week that followed was one 189
well and decorous that each 67
well and entirely set for 55
well and manfully did big 52
well and provided him with 92
well and provided them with 67
well and serenely and with 166
well and therefore can not 166
well and therefore did not 190
well and therefore does not 90
well bet yourself they are 44
well for children who are 65
well for students who are 70
well for yourself that you 69
well how personal all this 46
well say straight off that 85
well say straight out that 106
well that catherine did not 82
well with children who are 108
well with students who are 92
went and returned with his 63
went and whatever she did 162
went and whatever they did 113
went his separate way and 55
went off scratching his head 51
were all accorded that they 48
were all animated with one 46
were all arrested and put 86
were all attacked and had 67
were all attended with two 113
were all beautiful and all 45
were all children who had 66
were all conscious that they 62
were all entirely new and 40
were all equipped with new 48
were all examined and put 100
were all executed for not 133
were all infected with this 47
were all intended for his 74
were all military men who 40
were all officers who had 52
were all patients who had 70
were all prepared for her 43
were all prepared for him 55
were all prepared for this 40
were all prepared for you 47
were all punished with death 111
were all silenced now and 59
were all students who had 53
were all threatened with death 47
were any branches and you 43
were any commands for him 44
were any messages for her 84
were any messages for him 207
were any objection you had 51
were bad stewards and bad 42
were being attacked and that 71
were being complied with and 56
were being depleted and that 40
were being divested with ease 71
were being exported each year 116
were being followed and that 248
were being imported each year 136
were being observed and that 106
were being prepared and that 104
were being prepared for all 40
were being prepared for her 77
were being prepared for him 249
were being prepared for his 123
were being prepared for that 202
were being prepared for them 253
were being prepared for this 123
were being prepared for use 113
were being prepared for war 65
were being produced and that 48
were being produced each day 47
were being produced each year 470
were being produced per year 56
were being punished for being 170
were being punished for his 52
were being punished for not 100
were being punished for our 67
were being punished not for 41
were being repaired and new 62
were being replaced with new 93
were being squeezed out and 43
were being tampered with and 55
were being threatened and that 86
were being threatened with death 60
were both immediate and far 55
were both immediate and long 122
were both mentally ill and 84
were both possible and real 131
were both protesting that they 159
