wage countries in southeast asia 59
wage moderation in exchange for 163
wage restraint in exchange for 437
want carefully to examine any 48
want democracy to survive for 195
want historians to confirm our 73
week throughout the college year 44
well contrived to procure him 43
well developed in infants and 46
well explained by supposing that 258
well insulated to prevent heat 99
well justified in asserting that 43
well justified in believing that 187
well positioned to compete for 51
well positioned to compete with 73
well positioned to exploit this 42
well preserved the decorum and 54
well qualified to analyze and 177
well qualified to discuss this 93
well qualified to examine them 45
well qualified to grapple with 67
well qualified to observe and 73
well qualified to perform all 51
well qualified to perform this 115
well qualified to present this 56
well qualified to protect thee 70
well qualified to provide this 42
well qualified to succeed him 64
well qualified to support and 75
well qualified to sustain his 46
well represent the species and 64
well satisfied in holland with 62
well sometimes to imitate this 81
well supported by research and 102
well sustained as regards one 57
well tolerated by infants and 107
well tolerated in infants and 70
went instantly to solicit his 48
were acquitted of charges that 56
were addressed to persons who 84
were altogether at variance with 214
were announced in advance and 84
were announced the following day 70
were announced the following year 49
were appointed or elected for 46
were appointed to assault and 71
were appointed to collect all 44
were appointed to collect and 129
were appointed to command them 145
were appointed to command this 40
were appointed to conduct him 70
were appointed to conduct them 83
were appointed to consult with 277
were appointed to control and 57
were appointed to enforce and 82
were appointed to enforce them 96
were appointed to enforce this 63
were appointed to examine all 172
were appointed to examine and 400
were appointed to examine him 129
were appointed to examine his 75
were appointed to examine them 188
were appointed to execute them 43
were appointed to inspect all 50
were appointed to inspect and 129
were appointed to perform that 43
were appointed to perform this 79
were appointed to prepare and 180
were appointed to prepare for 54
were appointed to prepare this 52
were appointed to present this 52
were appointed to proceed with 51
were appointed to protect and 59
were appointed to protect them 43
were appointed to provide for 127
were appointed to receive and 229
were appointed to receive him 52
were appointed to receive them 162
were appointed to replace him 41
were appointed to replace them 105
were appointed to signify this 45
were appointed to succeed him 116
were appointed to succeed them 207
were approaching the defiles that 76
were approaching to assault him 68
were assembled to discuss this 47
were assembled to receive him 306
were assembled to receive them 127
were assembled to welcome him 106
were assembled to welcome them 44
were assembled to witness his 111
were assembled to witness our 56
were assembled to witness this 51
were associated in achieving our 71
were attracted to judaism and 76
were authorized by congress and 69
were authorized by congress for 53
were authorized by statute and 56
were authorized to abandon this 92
were authorized to acquire and 45
were authorized to appoint and 50
were authorized to appoint one 47
were authorized to appoint two 78
were authorized to capture all 44
were authorized to capture and 54
were authorized to capture any 78
were authorized to declare that 99
were authorized to examine all 54
were authorized to examine and 83
were authorized to proceed with 224
were authorized to promise that 48
were authorized to provide for 154
were authorized to receive and 87
were authorized to receive his 45
were available in exchange for 41
were available in spanish and 44
were available to account for 43
were available to compare with 54
were available to provide for 62
were available to replace them 114
were available to support them 59
were available to support this 113
were basically at variance with 54
were basically in sympathy with 66
were broadened to include all 133
were broadened to include not 50
were celebrating the occasion with 55
were certainly in contact with 143
were certainly in general use 42
were certainly no grounds for 74
were collected by himself and 48
were collected in january and 101
were collected in october and 103
were collected on filters and 43
were collected the following day 42
were collected the following year 50
were commanded by colonel guy 85
were commanded by colonel van 48
were commanded by general lee 42
were commanded by general sir 77
were commanded to deliver them 116
were commanded to destroy all 80
were commanded to prepare for 59
were commanded to worship but 58
were commanded to worship him 76
were committed by persons who 174
were committed to custody for 44
were compelled to abandon all 285
were compelled to abandon and 45
were compelled to abandon her 104
were compelled to abandon him 69
were compelled to abandon one 59
were compelled to abandon our 209
were compelled to abandon that 180
were compelled to abandon them 228
were compelled to abandon this 220
were compelled to account for 85
were compelled to bargain with 72
were compelled to believe her 100
were compelled to believe that 937
were compelled to combine and 97
were compelled to compete for 80
were compelled to compete with 199
were compelled to concede that 152
were compelled to confess that 802
were compelled to contend with 164
were compelled to declare that 141
were compelled to declare war 75
were compelled to dismiss him 50
were compelled to grapple with 78
were compelled to observe that 85
were compelled to perform all 85
were compelled to perform this 57
were compelled to prepare for 44
were compelled to proceed with 202
were compelled to promise that 133
were compelled to provide for 281
were compelled to receive all 67
were compelled to receive him 59
were compelled to receive them 106
were compelled to respect his 51
were compelled to restore them 61
were compelled to retrace our 143
were compelled to subsist for 40
were compelled to support him 46
were compelled to support them 51
were compelled to venture out 49
were compelled to withdraw and 125
were compelled to withdraw with 85
were compelled to wrestle with 107
were completed by parents and 52
were completed in october and 60
were completed the following day 59
were completed the following year 353
were concerned in matters that 83
were concerned the problem was 51
were concerned to prevent any 79
were condemned to confine his 246
were condemned to eternal death 40
were condemned to instant death 87
were condemned to poverty and 61
were condemned to receive two 51
were condemned to slavery and 40
were condemned to slavery for 51
were condemned to torture and 58
were conducted as priests and 54
were conducted by persons who 66
were conducted by teachers who 72
were conducted in chinese and 50
were conducted in germany and 41
were conducted in january and 133
were conducted in october and 61
were conducted in private and 111
were conducted in secrecy and 77
were conducted in spanish and 218
were conducted so quietly that 99
were conducted to address this 60
were conducted to confirm that 150
were conducted to control for 50
were conducted to develop and 51
were conducted to examine how 85
were conducted to examine this 70
were conferred on masters and 101
were confident of success and 82
were confident of victory and 229
were confirmed the following day 67
were confirmed the following year 70
were connected by bridges and 44
were connected by marriage and 142
were connected by marriage with 1122
were connected by tunnels and 41
were consulted in compiling this 49
were consulted in preparing this 181
were contented to traffic with 82
were continued in command for 75
were continued the following day 65
were continued the following year 105
were converted to civilian use 79
were converted to dollars using 67
were converted to judaism and 67
were converted to natural gas 90
were converted to pasture and 51
were convicted of assault and 185
were convicted of assault with 52
were convicted of bribery and 140
were convicted of perjury and 53
were convicted of robbery and 138
were convicted of sedition and 122
were convinced in advance that 144
were corrected to account for 236
were decidedly at variance with 188
were dedicated to bacchus and 44
were dedicated to jupiter and 40
were deficient in protein and 50
were delighted to observe that 229
were delighted to receive him 41
were delighted to receive his 42
were delighted to receive them 74
were delighted to receive this 61
were delighted to welcome her 81
were delighted to welcome him 135
were delighted to welcome them 46
were delivered in january and 54
were delivered the following day 64
were delivered the following year 122
were denounced as tyrants and 72
were dependent on charity for 109
were dependent on friends and 74
were dependent on germany for 41
were dependent on imports for 90
were deposited in ancient seas 81
were deposited in shallow seas 188
were deposited the mummies that 69
were described as persons who 73
were described in chapter iii 419
were described in chapter one 145
were described in chapter six 60
were described in chapter two 192
were described in chapter vii 75
were described in chapter xii 52
were described in language that 104
were destitute of courage and 108
were destroyed or carried off 189
were destroyed or damaged and 252
were destroyed to prevent them 109
were developed by lawyers and 82
were developed by subtler and 49
were developed by teachers and 51
were developed in america and 71
were developed in britain and 76
were developed in concert with 96
were developed in contact with 41
were developed in dialogue with 44
were developed in germany and 225
were developed in harmony with 69
were developed or adapted for 47
were developed to account for 622
were developed to achieve this 90
were developed to address this 210
were developed to compete with 59
were developed to correct for 43
were developed to explain and 58
were developed to explain how 79
were developed to explain this 66
were developed to explain why 67
were developed to provide for 162
were developed to support this 97
were different in content and 58
were different in language and 43
were difficult to account for 189
were difficult to achieve and 100
were difficult to achieve with 55
were difficult to acquire and 53
were difficult to capture and 40
were difficult to collect and 160
were difficult to combine with 52
were difficult to compare with 69
were difficult to compute them 46
were difficult to contend with 91
were difficult to control and 482
were difficult to control with 52
were difficult to develop and 64
were difficult to diagnose and 61
were difficult to discern and 44
were difficult to enforce and 331
were difficult to explain and 72
were difficult to imagine any 67
were difficult to isolate and 48
were difficult to observe and 45
were difficult to operate and 89
were difficult to perform and 78
were difficult to predict and 81
were difficult to prepare and 72
were difficult to procure and 95
were difficult to produce and 109
were difficult to program and 50
were difficult to recruit and 67
were difficult to replace and 42
were difficult to resolve and 55
were difficult to sustain and 56
were diminishing in numbers and 45
were discussed in advance with 61
were discussed in chapter iii 818
were discussed in chapter one 516
were discussed in chapter six 131
were discussed in chapter two 714
were discussed in chapter vii 462
were discussed in chapter xii 165
were discussed in chapter xiv 59
were discussed in chapter xvi 94
were discussed in congress and 65
were dismissed on grounds that 43
were dismissed the service and 47
were dissolved in acetone and 182
were dissolved in alcohol and 85
were dissolved in benzene and 100
were dissolved in methanol and 137
were dissolved in toluene and 57
were disturbed by reports that 211
were doubtless an inferior and 88
were empowered to appoint all 66
were empowered to appoint and 108
were empowered to consult him 46
were empowered to examine all 98
were empowered to examine and 125
were empowered to provide for 82
were empowered to receive all 79
were empowered to receive and 86
were encouraging the patriots with 47
were estimated at between one 41
were estimated at between two 40
were estimated to account for 1013
were evaluated by comparing them 82
were evidently in sympathy with 130
were excellent in quality and 70
were exhausted by fatigue and 387
were exhibited the following year 65
were expensive to install and 101
were expensive to operate and 198
were expensive to produce and 271
were explained by supposing that 169
were explained in chapter iii 63
were expressed in bacteria and 50
were expressed in congress and 42
were expressed in dollars and 45
were expressed in language that 168
were forbidden to acquire any 61
were forbidden to acquire real 57
were forbidden to cohabit with 40
were forbidden to compete with 106
were forbidden to consort with 47
were forbidden to destine him 56
were forbidden to discuss any 56
were forbidden to inflict any 46
were forbidden to perform any 85
were forbidden to possess any 84
were forbidden to proceed with 46
were forbidden to publish any 116
were forbidden to receive any 284
were forbidden to shelter him 43
were forbidden to worship god 80
were forgotten in sympathy for 79
were fortunate in obtaining for 68
were fragments of pottery and 83
were fruitless to discuss this 49
were fruitless to protect with 75
were furnished to prevent our 47
were generally at variance with 78
were generally in alliance with 48
were generally in harmony with 77
