waft its owner back to 47
wage and usury laws as 91
wail all night along the 54
wait and watch from the 93
wait and watch till the 171
wait for about half an 361
wait for anything else to 55
wait for hours just to 154
wait for input from the 367
wait for nearly half an 179
wait for seven years to 99
wait for thirty years to 46
wait for tidings from the 50
wait six months from the 173
wait with bated breath to 198
walk and crawl upon the 112
walk and would have to 123
walk for about half an 156
walk for hours along the 190
walk for miles along the 818
walk for miles just to 41
walk for miles over the 128
walk for nearly half an 83
walk one block north on 62
walk one block north to 124
walk one block south on 129
walk one block south to 191
walk one block west on 57
walk one block west to 221
walk out alone into the 82
walk than dance down the 60
walk this morning along the 156
walk this morning over the 51
wall all round bears the 54
wall and enter into the 59
wall and gazed down at 59
wall and getting into the 42
wall and gives rise to 262
wall and headed down the 48
wall and leaned over the 52
wall and leaves upon the 85
wall and looking down at 177
wall and lower part of 114
wall and opening into the 49
wall and opens into the 106
wall and running down the 43
wall and seize hold of 71
wall and stood next to 53
wall and stood there as 86
wall and thence into the 48
wall and upper part of 110
wall being built upon the 54
wall head first into the 69
wall now built into the 63
wall that forms part of 52
wall that holds back the 71
wall that opens into the 69
wall that rises from the 75
wall was built along the 422
wall was built during the 135
wall was built from the 142
wall was built into the 54
wall was built over the 119
wall was built upon the 64
wall was given over to 220
wall was taken down in 72
wall was taken down to 89
wall was taken from the 42
wall was thrown down by 66
wall was thrown down to 46
want all human beings to 62
want and avoid what we 54
want and never gain an 51
want and never have to 74
want and never seem to 51
want and would like to 132
want any money from me 71
want any money from the 54
want are found among the 71
want being taken care of 55
want for others what we 83
want for which there is 92
want her taken care of 82
want him taken care of 126
want our first time to 199
want our loved ones to 168
want that could make me 64
want them falling into the 43
want them taken care of 47
want this getting back to 42
want this taken care of 81
want was found even of 78
want with pride amid the 77
want you getting lost in 40
want you getting sick on 81
want you sitting next to 40
ward and watch over the 79
ward off blows from the 165
ward off danger from the 298
ward off threats from the 64
ware was first made by 53
ware was first made in 61
warm air blowing from the 81
warm air comes from the 45
warm air flowing from the 78
warm air flows from the 46
warm air flows over the 49
warm air moves over the 48
warm air passing over the 87
warm air rises from the 243
warm air rises into the 68
warm air rises over the 283
warm and balmy from the 49
warm and breathing truth of 81
warm and fresh from the 238
warm and fresh into the 90
warm and fuzzy kind of 53
warm and glowing from the 134
warm and happy when it 40
warm and humid areas of 58
warm and humid during the 117
warm and humid from the 49
warm and moist areas of 42
warm and moist during the 144
warm and moist from the 141
warm and others cold to 43
warm and solid diet of 40
warm and sunny days in 62
warm and sunny days of 57
warm and sunny during the 79
warm and sunny most of 56
warm and sweet from the 56
warm and taken care of 40
warm her hands over the 74
warm his hands over the 459
warm our hands over the 46
warm sun shining down on 56
warm sun shone down on 103
warn all others from the 69
warn him about what he 48
warn you about some of 88
wars and civil wars in 95
wars and civil wars of 59
wars and every kind of 48
wars and feuds among the 44
wars for forty days in 180
wars had given rise to 92
wars than anything else in 66
wars that raged among the 45
wars that raged during the 46
wash her guilt away the 57
wash her hands clean of 60
wash his hands clean of 101
wash his hands from the 76
wash his hands prior to 47
wash his hands when he 197
wash its hands clean of 48
wash our hands clean of 117
wash our hands clear of 65
wash our hands from the 50
wash our hands when we 46
wash with water from the 44
wave and gives rise to 42
wave can exist only in 42
wave had swept over the 140
wave has swept over the 64
wave his magic wand to 56
wave that breaks over the 51
wave that breaks upon the 131
wave that broke over the 201
wave that broke upon the 62
wave that comes from the 54
wave that gives rise to 68
wave that moves along the 91
wave that moves down the 43
wave that spread over the 49
wave that swept away the 59
wave that swept over the 271
wave was passing over the 42
wave was passing over us 45
waving and smiling from the 86
waving her hands over the 88
waving her right hand in 45
waving his hands over the 119
waving his index finger at 46
waving his index finger in 48
waving his right hand as 92
waving his right hand in 272
waving his right hand to 61
waving with every breath of 102
ways and adopt those of 54
ways and false ideas of 92
ways and never trip or 123
ways and words upon the 63
ways and would like to 41
ways are known only to 63
ways are truly said to 53
ways for human beings to 347
ways for which there is 208
ways she acted like an 71
ways she could think of 73
ways she could think on 47
ways she would like to 62
ways that cause harm to 71
ways that could make it 59
ways that could only be 268
ways that might help to 54
ways that might help us 56
ways that might make it 93
ways that might make the 65
ways that might well be 44
ways that often seem to 60
