we add another layer of 68
we all agreed about the 50
we all became aware of 329
we all become aware of 140
we all called again to 184
we all forgot about it 81
we all forgot about the 84
we all joined hands in 75
we all learned about in 117
we all learned about the 51
we all parted after the 54
we all talked about it 288
we all talked about the 228
we all thought about it 80
we all thought about the 120
we all thought would be 153
we all waited until we 42
we any jewish blood in 44
we are accusing others of 180
we are agreed about the 345
we are almost alone in 58
we are almost bound to 843
we are almost moved to 53
we are almost never in 70
we are almost sorry to 64
we are almost tired of 77
we are almost under the 47
we are almost willing to 103
we are already above the 52
we are already aware of 866
we are already bound by 81
we are already bound to 72
we are already close to 276
we are already feeling the 101
we are already given the 42
we are already looking at 97
we are already ruled by 115
we are already short of 102
we are already speaking of 159
we are already talking of 94
we are already thinking in 44
we are already thinking of 326
we are already tired of 65
we are already under the 129
we are already willing to 51
we are already within the 281
we are already working in 48
we are already working on 416
we are always about to 59
we are always alert to 58
we are always asked to 113
we are always aware of 1991
we are always bound by 61
we are always bound to 627
we are always changing the 124
we are always close to 93
we are always copying it 62
we are always drawn to 64
we are always faced by 46
we are always given the 81
we are always given up 43
we are always happy to 566
we are always learning to 183
we are always liable to 673
we are always looking at 605
we are always looking to 232
we are always moved by 53
we are always prone to 572
we are always proud to 65
we are always quick to 87
we are always reacting to 43
we are always right in 74
we are always running up 54
we are always seeking the 93
we are always seeking to 303
we are always seeming to 62
we are always setting up 41
we are always short of 220
we are always speaking in 40
we are always speaking of 201
we are always taken by 45
we are always talking of 120
we are always talking to 49
we are always thinking in 74
we are always thinking of 467
we are always under the 283
we are always wanting to 136
we are always where we 45
we are always willing to 1227
we are always within the 126
we are always working at 41
we are always working in 167
we are always working on 154
we are always working to 48
we are always working up 556
we are anxious about is 58
we are anxious about it 64
we are anxious about the 317
we are barely aware of 393
we are becoming aware of 1244
we are better aware of 86
we are buried under the 57
we are busily trading in 41
we are called again to 145
we are called happy or 116
we are caught again in 45
we are caught within the 80
we are clearer about the 112
we are clearly asked to 57
we are clearly aware of 421
we are clearly bound to 164
we are clearly given to 122
we are clearly looking at 83
we are clearly shown by 64
we are clearly shown the 41
we are clearly speaking of 43
we are clearly thinking of 41
we are clearly within the 82
we are curious about is 41
we are curious about the 464
we are debating about the 55
we are deemed worthy of 65
we are deeply aware of 235
we are deeply moved by 326
we are doomed never to 166
we are doubly bound to 211
we are doubly false to 96
we are doubly liable to 52
we are driven again to 123
we are driven either to 76
we are dubious about the 121
we are dwelling above on 133
we are engaged today is 95
we are fairly close to 121
we are fairly happy so 129
we are fairly within the 71
we are fighting under the 57
we are forced again to 174
we are forced either to 430
we are further asked to 93
we are greatly aided by 269
we are greatly aided in 77
we are greatly lacking in 54
we are greatly liable to 139
we are greatly moved by 51
we are greatly wanting in 63
we are groaning under the 58
we are hardly aware of 2252
we are hardly aware we 41
we are hardly willing to 90
we are hardly worthy to 41
we are hedged about by 77
we are hereby still as 54
we are highly aware of 92
we are honest about it 337
we are honest about the 166
we are indeed aware of 91
we are indeed bound to 345
we are indeed happy to 59
we are indeed looking at 329
we are indeed lucky to 56
we are indeed proud of 96
we are indeed proud to 68
we are indeed speaking of 63
we are indeed willing to 61
we are indeed worthy of 49
we are inviting people to 61
we are justly liable to 61
we are justly proud of 918
we are keenly alive to 277
we are keenly aware of 1084
we are laboring under the 84
we are lifted above the 470
we are likely either to 93
we are likely never to 189
we are likely still to 43
we are little aware of 139
we are little moved by 98
we are little nearer to 50
we are little short of 66
we are mainly aware of 69
we are mainly looking at 54
we are mainly thinking of 50
we are merely asked to 47
we are merely aware of 136
we are merely changing the 50
we are merely engaging in 113
we are merely given the 40
we are merely lending to 135
we are merely looking at 218
we are merely playing at 50
we are merely seeking to 147
we are merely setting the 47
we are merely speaking of 63
we are merely stating the 129
we are merely thinking of 72
we are merely willing to 50
we are mighty lucky to 69
we are mighty proud of 156
we are mostly aware of 40
we are neither aware of 108
we are placed above the 50
we are placed under an 50
we are placed under the 283
we are placed within the 105
we are pretty close to 274
we are pretty quick in 68
we are raised above the 343
we are rarely asked to 66
we are rarely aware of 694
we are rarely given the 55
we are rarely willing to 47
we are reasoning about the 79
we are safely within the 47
we are seldom asked to 51
we are seldom aware of 1042
we are seldom thinking of 44
we are seldom willing to 119
we are serious about it 230
we are serious about the 1251
we are silent about the 72
we are simply asked to 108
we are simply aware of 151
we are simply begging the 47
we are simply bound to 48
we are simply changing the 57
we are simply engaging in 54
we are simply failing to 69
we are simply given the 66
we are simply looking at 264
we are simply passing on 41
we are simply reacting to 40
