wags derided the poor fellow 64
wait millions of years before 62
wait pinioned at your master 53
walk soberly in dark attire 59
walk together on these elysian 70
want congress to take charge 114
warm regards to your family 44
wars against the more inland 79
wars between the arab states 81
wars between the city states 50
wars between the great barons 136
wars between the great nations 55
wars between the great powers 415
wars involving the great powers 53
wave carries the boat before 45
waving towards us what seemed 66
ways according to their nature 86
ways according to their various 103
ways according to their wishes 54
ways similar to those already 83
wealth becomes the only source 65
wearing exactly the same clothes 239
wearing exactly the same height 89
wearing exactly the same outfit 92
well according to their honest 44
well according to their lights 102
well adapted to have weight 138
well adapted to high school 76
well adapted to their habits 163
well adapted to their native 47
well adapted to their object 72
well adapted to their special 65
well adapted to their tastes 47
well adapted to their various 147
well advised in their choice 56
well advised to give serious 61
well advised to keep abreast 174
well advised to learn something 46
well advised to look beyond 83
well advised to seek advice 113
well advised to seek another 43
well advised to seek expert 71
well advised to shop around 43
well advised to take special 42
well advised to think through 60
well advised to work through 116
well assured of some better 54
well brought up young ladies 219
well brought up young person 281
well content the eager learner 41
well covered by other authors 44
well defined is half solved 343
well deserving the most serious 42
well exposed at many places 59
well exposed in many places 105
well indulge the whim without 87
well justify the most gloomy 80
well mounted on fine horses 87
well outside the city limits 643
well settled in life without 118
well trained in their duties 79
well watered by many rivers 46
well watered by many streams 114
went according to plan except 130
went according to their wishes 43
went according to your lights 44
went forward in their course 69
went outside to look around 615
went outside to walk around 200
went together in high school 71
went towards the open window 56
went towards the spot whence 97
were according to their wisdom 99
were accused by their fellow 91
were accused of having become 71
were accused of having bought 67
were accused of having broken 96
were accused of having caused 264
were accused of having engaged 78
were accused of having failed 135
were accused of having forged 44
were accused of having formed 201
were accused of having helped 52
were accused of having joined 60
were accused of having killed 305
were accused of having robbed 108
were accused of having sought 41
were accused of having stolen 530
were accused of having turned 41
were accused of having worked 42
were accused of high treason 2326
were accused of many crimes 79
were accused of such crimes 42
were accused of taking bribes 291
were adamant in their belief 193
were adamant in their demand 144
were adamant in their desire 108
were adamant in their opinion 44
were adapted to these sounds 53
were adopted by many states 120
were adopted by most states 76
were adopted by other groups 49
were adopted by other nations 69
were adopted by other states 82
were adopted by their foster 108
were adopted in many places 48
were adopted in many states 104
were adopted in most states 51
were adopted in other states 82
were adopted in your county 61
were adopted to some extent 131
were adorned in like manner 44
were advancing in great strength 59
were advancing in north africa 47
were advised by their leaders 145
were advised of their rights 106
were advised to form another 341
were advised to plead guilty 62
were affixed to these trunks 45
were alarmed at what seemed 56
were alarmed by what seemed 60
were alleged to have agreed 100
were alleged to have arisen 44
were alleged to have become 99
were alleged to have broken 129
were alleged to have caused 242
were alleged to have created 63
were alleged to have engaged 241
were alleged to have failed 110
were alleged to have fallen 48
were alleged to have formed 98
were alleged to have joined 55
were alleged to have killed 143
were alleged to have passed 60
were alleged to have played 99
were alleged to have signed 54
were alleged to have stolen 204
were alleged to have worked 52
