wag its tail and another 79
war and during its course 94
war and kill one another 89
war and peace had become 47
war and peace has become 152
war and peace with england 47
war and peace with france 61
war and post war periods 73
war and their own grants 118
war and there was little 143
war and those who fought 103
war and those who sought 45
war and those who stayed 40
war and those who wanted 128
war and will not permit 67
war for more than twenty 199
war for their own profit 134
war for their own reasons 70
war had been bad enough 40
war had been won without 45
war had gone far enough 108
war had left him without 44
war may have had something 69
war not only with austria 50
war not only with france 42
war not only with greece 40
war than bows and arrows 41
war that ever was fought 50
war that there was little 57
war was also being fought 70
war was having its effect 51
war was over and before 85
war was over and england 54
war was over and france 41
war was over long before 58
war was over they should 52
war was over they wanted 41
war was part and parcel 47
war was raging all around 215
war was raging with france 43
war was wrong and should 41
war with bows and arrows 323
war with peru and bolivia 581
war with their own forces 45
war with their own prince 200
war with their own troops 41
war with these two kingdoms 56
war with these two powers 57
was all bits and pieces 77
was all bone and muscle 409
was all bows and smiles 45
was all clear and simple 168
was all dark and silent 104
was all done and dusted 97
was all done for effect 67
was all fair and square 185
was all fire and energy 45
was all fire and passion 72
was all fire and spirit 57
was all fire and strength 41
was all gold and silver 146
was all gone long before 120
was all high and heroic 61
was all hire and salary 49
was all hugs and kisses 45
was all laid out before 97
was all life and bustle 49
was all life and energy 164
was all life and gaiety 107
was all life and spirit 92
was all over for another 101
was all over gay little 61
was all over his clothes 61
was all over long before 94
was all over with england 46
was all over with ernest 61
was all part and parcel 2407
was all soft and tender 164
was all soon and eagerly 40
was all spit and polish 330
was all stir and bustle 51
was all there for anyone 45
was all there was except 41
was all torn and bleeding 167
was all torn and bloody 42
was all wrong and should 42
was and what had become 171
was and what had caused 44
was and what his mission 118
was and what she looked 110
was and what she needed 111
was and what she should 118
was and what she thought 124
was and what she wanted 1408
was and what they should 53
was and what they thought 62
was and what they wanted 162
was and what was needed 40
was and what was wanted 57
was any need for further 146
was any other than rosario 41
was bad news all around 93
was being dealt with justly 65
was being done and thought 54
was being done with regard 79
was being held for murder 98
was being held for ransom 502
was being laid for dinner 47
was being left far behind 98
was being less than candid 783
was being less than honest 354
was being made all around 149
was being made with regard 67
was being more than polite 46
was being open and honest 93
was being paid for something 58
was being said and thought 143
was being told and retold 56
was being used and abused 151
was being used for another 104
was being used for carrying 42
was being used for lighting 54
was being used for public 148
was being used for something 175
was being used for training 126
was being used for various 48
was being used not merely 41
was both able and anxious 70
was both angry and afraid 83
was both angry and amused 110
was both angry and anxious 50
was both angry and scared 45
was both bold and active 59
was both born and buried 40
was both clear and simple 68
was both cook and waiter 49
was both eager and anxious 56
was both firm and gentle 49
was both gold and silver 170
was both home and office 42
was both hurt and angered 122
was both just and lawful 44
was both just and proper 46
was both just and unjust 52
was both like and unlike 445
was both lord and christ 206
was both male and female 2828
was both open and closed 42
was both rich and famous 93
was both rich and varied 105
was both sane and honest 131
was both slow and costly 121
was both true and untrue 195
was both used and abused 100
was both wife and sister 45
was both wise and proper 46
was both young and comely 116
was both young and pretty 210
was but fair they should 52
was but five and twenty 69
was but four and twenty 105
was but just and decent 61
was but just and proper 69
was but just she should 77
was but just they should 121
was but part and parcel 212
was but there was something 81
was but three and twenty 67
was but wall and window 163
was cut down and buried 123
was cut down and burned 430
was cut down and killed 379
was cut down and placed 154
was cut from her moorings 44
was cut from its moorings 52
was cut into long strips 275
was cut into six pieces 70
was cut into thin slices 374
was cut into thin strips 421
was cut into two halves 234
was cut into two pieces 561
was cut just low enough 43
was dead when she reached 40
was dead when they picked 159
was dead when they pulled 52
was dead when they reached 147
was doing from any secret 63
was doing life for murder 41
was doing more than anyone 89
was doing more than enough 47
was doing more than merely 365
was doing more than simply 607
was doing nothing but standing 43
was doing time for murder 51
was doing well and enjoying 47
was doing well and seemed 46
was doing what god wanted 280
was doing what she always 131
was doing what she called 61
was doing what she needed 66
was doing what she should 78
was doing what she thought 342
was doing what she wanted 577
was doing what they wanted 136
was doing what was needed 69
was doing what you wanted 105
was doing when god called 49
was doing when she signed 98
was doing when you called 49
was due back any minute 267
was due back any moment 40
was due home any minute 289
was dying from his wounds 42
was dying from lung cancer 111
was eating bread and butter 94
was eating bread and cheese 134
was eating from her little 41
was eating well and sleeping 49
was far away and almost 54
was far away and seemed 52
was far away and unable 61
was far from any design 51
was far from any desire 67
was far from any thought 357
was far from being abated 41
was far from being afraid 42
was far from being agreed 45
was far from being always 561
was far from being amused 58
was far from being another 77
was far from being anxious 72
was far from being asleep 91
was far from being averse 345
was far from being barren 61
was far from being beyond 90
was far from being broken 412
was far from being clearly 191
was far from being closed 166
was far from being common 150
was far from being cordial 93
was far from being deemed 76
was far from being devoid 218
was far from being elated 49
was far from being enough 652
was far from being entire 131
was far from being evenly 49
was far from being exempt 104
was far from being filled 146
was far from being firmly 224
was far from being highly 47
