wages above the going rate 79
wages after the war were 54
wages earned by him during 201
wages earned by them during 117
wages would be too heavy 63
wages would in this case 64
wagon drawn by six oxen 54
wagon drawn by six yoke 47
wagon drawn by ten oxen 44
wagon drawn by two oxen 203
wagon drawn by two yoke 189
wagon where it had been 40
wailing child in his arms 56
waiting about is too much 44
waiting alone or with other 58
waiting lists to get into 167
waiting people of god were 43
waiting period of not more 131
waiting period of one month 136
waiting period of one week 966
waiting period of six days 199
waiting period of ten years 106
waiting period of two days 187
waiting period of two years 419
waiting rooms of new york 49
waiting stood up with their 49
waiting until he got back 42
waiting until he got home 61
waiting until he had been 56
waiting until he had done 90
waiting until he had gone 49
waiting until he had made 44
waiting until he had seen 71
waiting until he was ready 156
waiting until he was sure 239
waiting until he was well 71
waiting until it had been 42
waiting until it has been 53
waiting until it was dark 113
waiting until it was late 41
waiting until it was over 149
waiting until it was ready 47
waiting until it was safe 141
waiting until it was time 661
waiting until the due date 48
waiting where he had left 134
waiting where we had left 58
waits until it has been 62
walking about as her aunt 57
walking about at that time 70
walking about at this time 52
walking about in her room 46
walking about in his room 165
walking about on dry land 42
walking about on two legs 110
walking about or lying down 90
walking alone up and down 89
walking close by his side 65
walking close to each other 82
walking erect on its hind 126
walking erect on two legs 64
walking miles to and from 48
walking staff in his hand 165
walking stick in her hand 279
walking stick in his hand 2479
walking stick in his left 271
walking stick in one hand 1128
walking tours in this book 111
walking tours of new york 148
walking tours of old town 47
walks about on two legs 46
walks alone up and down 97
walks erect on two feet 60
walks which he was wont 109
walls built on that side 62
walls eight or ten feet 72
walls eight to ten feet 49
walls fence it off into 48
walls shall be not less 1252
walls shall he bring down 217
walls which do not have 50
walls which he had seen 57
walls would be not only 48
wants anything he has only 42
wants either of them will 135
wants method in his book 42
wants money to buy some 51
wants which we may hope 46
warmth creep up her neck 43
warmth pulsing in her face 52
warning echoed in her mind 183
warning echoed in his mind 95
warning given by our lord 126
warning glint in his eyes 50
warning signs of too much 123
warning which no man will 65
warring ideals in one dark 7142
waste after it has been 399
waste every thing with fire 102
waste lands in new south 102
watch apart to see what 111
watch chain on his vest 135
watch close to his eyes 158
watch close to his face 60
watch spoke to her from 41
watch still in his hand 229
watch until it was time 134
watch which he had been 41
watch which he had left 54
watch which he had lost 66
water after he has been 59
water after it had been 317
water after it has been 1477
water after it has done 55
water after it has gone 45
water after it has left 93
water after it has lost 40
water after it was used 64
water after we had been 55
water after we had left 94
water began to run cold 52
water began to run down 270
water began to run from 48
water began to run into 68
water began to run over 129
water boils up and rain 43
water broke in riot over 45
water could be fed into 42
water could be got from 51
water could be got only 68
water could be had from 108
water could be had only 119
water could be let into 59
water could be put into 40
water craft of any kind 71
water eight or ten feet 108
water eight to ten feet 43
water equal to its bulk 73
water equal to that lost 90
water equal to that used 107
water first on one side 53
water flowing at his feet 42
water flowing at our feet 43
water flowing by his land 77
water flows to and from 47
water front in new york 50
water front of new york 130
water froze on our oars 48
water given in his name 686
water glass in her hand 52
water glass in his hand 161
water glass to her lips 110
water glass to his lips 114
water lapping at her feet 89
water lapping at his feet 124
water lapping at our feet 53
water level at any time 47
water level at low tide 331
water level at that time 171
water level in each well 88
water level in this well 163
water level is going down 190
water level is not high 50
water level is not more 93
water level is not very 46
water level is too deep 43
water level is too high 643
water level of this lake 62
water level on one side 205
water level so that there 86
water level up and down 40
water lodging in her hold 89
water mills of any kind 158
water moves up and down 716
water needs of new york 115
water picks up heat from 60
water power is being used 58
water power or any other 68
water power to run their 76
water rates in any city 59
water right in his face 53
water rises in each tube 55
water rises in this tube 45
water route to new york 185
water running at his feet 50
water running at our feet 50
water shall be not less 78
water since it has been 40
water since we had left 70
water sprang in his mouth 40
water stole my way back 370
water stood in her eyes 262
water stood in his eyes 393
water table at this site 50
water table is going down 119
water table is not flat 46
water table is not very 89
water table is too deep 226
water table is too high 532
water thrown in her face 149
water thrown in his face 254
water until he can swim 41
water until it had been 66
water until it has been 210
water until it was clean 41
water until it was cold 71
water until it was just 61
water until it was soft 81
water until it was time 82
water until it was warm 44
water vapor it can hold 821
water washing in her hold 42
water where he had been 99
water where he had last 46
water where he had seen 117
water where it had been 169
water where it has been 83
water where it hath least 41
water where it was least 105
water where it was most 60
water where we had been 55
water which at one time 68
water which he had been 113
water which he had just 53
water which he had left 68
water which he had seen 51
water which he had used 64
water which he has been 67
water which is being used 150
water which is fed into 66
water which is not only 76
water which is not used 181
water which is not very 134
water which is put into 163
water which is set free 43
water which is then used 151
water which is too deep 97
water which it can hold 49
water which it has been 56
water which it has lost 66
water which we had left 73
water while we are bathing 48
water would be far more 88
water would be icy cold 50
water would be too cold 122
water would be too deep 144
water would be too great 54
water would be too much 41
water would do them good 50
waves breaking at our feet 88
waves falling on them when 93
waves lapping at her feet 64
waves lapping at his feet 58
waves reaching the earth from 58
waves rolling at her feet 56
waves running up and down 98
waves which do not break 47
waxen hearts to set their 303
waxen taper in his hand 57
weaker party in all other 59
weakly aware of this living 42
weakly bound to each other 62
weakly yield to them will 83
wealthy began to use their 47
wealthy people at that time 43
wealthy people do not have 56
wealthy people in new york 96
wealthy people of new york 55
wealthy state of new york 58
wealthy woman in new york 48
wealthy women in new york 42
weapon broke in his hand 74
weapon still in his hand 303
weapon which he had been 98
weapon which he had held 48
weather began to get cold 112
weather began to get warm 104
weather shore as his busy 52
weather until we got into 54
weather which is now past 58
weather would be too cold 46
weaver might do him some 112
weaver sitting at his loom 42
weaver working at his loom 162
wedding party to and from 42
wedding party to new york 48
wedding where he had been 76
weeks after he got back 120
weeks after he got home 113
weeks after he got there 119
weeks after he had been 1527
weeks after he had come 112
weeks after he had died 40
weeks after he had gone 192
weeks after he had left 706
weeks after he had lost 56
weeks after he had made 208
weeks after he had seen 101
weeks after he had sent 189
weeks after he has been 110
weeks after he was born 475
weeks after he was gone 109
weeks after he was shot 134
weeks after it had been 1920
weeks after it had left 92
weeks after it has been 766
weeks after it was born 92
weeks after it was made 144
weeks after it was over 167
weeks after it was sent 143
weeks after my due date 42
weeks after the act came 43
weeks after the day when 121
weeks after the due date 259
weeks after the new moon 86
weeks after the new york 740
weeks after the red army 74
weeks after the then next 84
weeks after we got back 177
weeks after we got home 83
weeks after we got there 137
weeks after we had been 124
weeks after we had left 315
weeks after we had made 45
weeks later he had been 148
weeks later he had come 40
weeks later he had gone 41
weeks later he had made 49
weeks later he was able 458
weeks later he was back 2283
weeks later he was even 57
weeks later he was gone 134
weeks later he was home 40
weeks later he was less 71
weeks later he was made 119
weeks later he was more 117
weeks later he was once 41
weeks later he was ready 49
weeks later he was saying 40
weeks later he was seen 70
weeks later he was sent 229
weeks later he was shot 112
weeks later he was told 91
weeks later he was well 50
weeks later in new york 545
weeks later it had been 46
weeks later it was back 44
weeks later it was clear 43
weeks later it was time 80
weeks later the new york 264
weeks later the red army 66
weeks short of two years 56
weeks since he had been 479
weeks since he had come 99
weeks since he had gone 44
weeks since he had heard 145
weeks since he had last 628
weeks since he had left 312
weeks since he had made 49
weeks since he had seen 442
weeks since he had told 42
weeks since he has been 82
weeks since he was here 46
weeks since it had been 51
weeks since we had been 86
weeks since we had last 99
weeks since we had left 167
weeks since we had seen 132
weeks spent in new york 61
weeks until he was able 76
weeks until it was time 55
weeks while he was away 54
weeping about it and trying 72
weeping child in her arms 119
weeping child in his arms 69
weeping round me for bread 248
weeping under the rod when 45
weeping woman in his arms 47
weird smile on her face 60
weird smile on his face 287
welding torch or any open 66
whale after it had been 55
wharf where he had left 73
wheel after it has been 63
wheel drive to get there 105
wheel moves up and down 383
wheel turning on its axis 84
wheel turning on its axle 55
wheel turns on its axis 40
wheel turns on its axle 101
where alone at that time 50
where alone he can find 125
where alone it can find 65
where alone it can rest 107
where alone it had been 50
where alone it has been 146
where alone it not only 50
where alone we are able 76
where alone we can find 167
where alone we can know 87
where blood is being shed 42
where cases of this kind 44
where change is not only 45
where eight of them were 60
where either of them were 102
where every thing had been 146
where every thing has been 138
where every thing was done 207
where firms do not have 62
where first he had seen 70
where folks do not know 44
where force is not used 93
where girls do not have 42
where goods or things lost 85
where learning is too heavy 63
where lived at that time 51
where looms the dim port 80
where money is being made 90
where money is not used 91
where others do not have 70
where others of his kind 75
where parts of this book 87
where parts of this work 54
where people do not care 309
where people do not come 75
where people do not dare 42
where people do not even 268
where people do not feel 294
where people do not have 1727
where people do not just 110
where people do not know 1642
where people do not like 390
where people do not live 342
where people do not look 88
where people do not make 78
where people do not mind 76
where people do not move 56
where people do not need 167
where people do not pass 47
where people do not seem 95
where people do not speak 228
where people do not take 87
