warm world 241 warm world 68
weary labor 53 weary night 91
well books 107 well allow 143
well carry 60 well unity 491
well allow 215 well finding 46
well trust 52 were period 81
were whole 44 were roman 58
were cause 48 were first 316
were beards 166 were clothing 237
were money 71 were trees 42
were every 72 were shape 56
were terms 81 were anything 98
were fight 74 were denying 52
were favor 312 were feeling 132
were finding 93 were holding 66
were stating 149 were thinking 394
were viewing 43 were wanting 83
were favor 44 were walls 51
were front 52 were islam 43
were every 81 were breaking 41
were terms 93 were fresh 42
were order 101 were learning 115
were women 44 were calling 43
were carry 85 were judge 273
were store 45 were later 56
were nation 47 were period 169
were region 158 were roman 212
were state 111 were whole 161
were world 108 were serve 53
were world 41 were order 383
were avoid 42 were build 52
were carry 63 were social 60
were enter 126 were visit 111
were trade 44 were danger 66
were roman 57 were whole 46
were world 531 were kingdom 45
were nation 108 were state 222
were world 123 were state 92
were later 43 were later 60
were store 48 were finding 43
were local 53 were state 115
were trade 81 were point 49
were change 40 were change 98
were price 49 were anything 45
were jesus 44 were jesus 53
were which 41 were author 46
were showing 50 were avoid 55
were adopt 43 were landing 54
were house 65 were sober 58
were writing 45 were large 44
were which 70 were dress 81
were spain 46 were writing 63
were evening 85 were water 63
were region 43 were world 97
were house 49 were order 114
were recur 40 were often 44
were stand 43 were water 101
were terms 55 were running 45
were steer 55 were hurting 46
were small 59 were small 74
were space 165 were stone 63
what ought 43 what state 115
what might 43 what might 134
what still 43 what first 41
what asked 57 what stealing 42
what human 118 when water 124
when order 46 when state 78
when world 43 when state 87
when could 55 when added 152
when added 352 when about 50
when given 48 when siege 44
whom holding 43 whom anything 44
will added 65 will asked 397
will aware 103 will based 221
will beaten 179 will below 113
will biased 54 will built 76
will drawn 69 will easier 75
will either 96 will faced 89
will fatal 115 will found 1380
will given 245 will known 51
will longer 43 will looking 52
will lower 220 will quite 93
will right 102 will shown 42
will small 89 will spent 40
will taken 255 will taxed 44
will times 97 will under 168
will unfit 61 will willing 70
will within 57 will working 55
will worse 58 will based 44
will found 2247 will found 50
will first 93 will rocks 56
will shown 90 will lines 140
will keeping 45 will every 51
will lower 41 will others 50
will others 64 will april 56
will later 303 will order 194
will adopt 53 will apply 58
will change 67 will create 41
will place 49 will raise 59
will refer 53 will repeat 40
will value 50 will title 108
will terms 56 will danger 52
will heaven 60 will whole 206
will world 41 will growth 42
will child 74 will final 84
will speed 50 will cases 61
will carry 44 will value 82
will which 63 will bound 44
will others 44 will water 345
will small 45 will moral 46
