wagging of incurious heads and 51
walking in richmond park with 48
walls or wherever else they 72
wants to continue living with 43
wants to separate from her 52
wants to separate from his 54
warmth of applause upon this 102
warmth of christian love and 55
washing the affected areas with 51
washing the affected part with 48
waste by domestic wars and 71
waste is probably less than 45
waste of computer time and 40
waste of unguarded health and 49
waste of valuable time and 1761
waste of valuable time for 103
waste of valuable time that 172
watch the children play and 75
watch the children when they 64
watch the football game and 51
watch the football game with 84
water be inverted over him 57
water is actually used for 42
water is admitted into them 43
water is commonly used for 131
water is conveyed from one 44
water is diverted from its 166
water is divorced from its 44
water is excreted along with 45
water is normally used for 58
water is obtained from two 90
water is probably less than 47
water is produced along with 49
water is produced from air 90
water is resolved into its 42
water is slightly less than 90
water is somewhat less than 86
water is somewhat more than 43
water is withdrawn from them 76
water of salinity less than 56
water the cabbages when she 100
water to irrigate more than 258
water to irrigate their own 52
waved the american flag and 42
waved the waitress over and 96
waves of migration from asia 146
weaken the affection felt for 61
weather is bitterly cold and 54
weather the roughest gale that 390
wedding of princess anne and 94
weeks of complete rest and 42
weeks of relative calm and 54
weeks of treatment there was 104
weeks of valuable time and 45
where an american flag was 48
where an american ship was 88
where an enormous fire was 47
where an organism ends and 41
where he achieved fame and 44
where he acquired land and 54
where he admitted none but 42
where he alighted from his 223
where he believed there was 213
where he crouched down and 86
where he departed from his 82
where he designed sets for 42
where he differed from him 47
where he differed from his 148
where he differed from them 96
where he expected nothing but 50
where he imagined there was 44
where he numbered among his 192
where he presided over his 55
where he presided till his 48
where he proposed taking them 46
where he received from him 106
where he received from his 103
where he received more than 49
where he received news that 208
where he received those who 61
where he received word that 201
where he remained during his 208
where he remained during that 47
where he remained during two 45
where he remained four and 45
where he remained from his 80
where he remained from may 99
where he remained less than 136
where he remained more than 592
where he remained only for 57
where he remained only long 44
where he remained only one 153
where he remained only two 130
where he remained over two 54
where he remained some six 54
where he remained some two 69
where he remained three and 57
where he remained till death 73
where he remained till his 4490
where he remained till may 184
where he remained till near 42
where he remained till our 127
where he reported what had 95
where he squatted down and 65
where he survived only two 180
where it branched into two 65
where it branches into two 178
where it contains more than 63
where it crumbled away and 70
where it differed from his 51
where it differed from that 60
where it diverges into two 85
where it occupies more than 77
where it produces more than 47
where it remained more than 73
where it remained till his 85
where it remained till its 82
where no property other than 61
where no straight road was 62
where the american army had 129
where the american army was 224
where the american flag had 46
where the american flag has 51
where the american flag was 463
where the ancients left off 57
where the assembly held its 147
where the assembly line was 47
where the atlantic ocean and 118
where the atlantic ocean now 107
where the auditions were being 66
where the bankrupt owns real 111
where the bathrooms were and 42
where the boulders shut out 52
where the boundary line was 192
where the boundary line with 70
where the captives were being 58
where the carbonic acid gas 45
where the caucasian race has 74
where the children have had 94
where the children have not 154
where the children live and 179
where the children live with 62
where the children play and 131
where the children play with 79
where the children were all 444
where the children were and 231
where the children were being 282
where the children were eating 42
where the children were fed 62
where the children were going 97
where the children were lying 127
where the children were not 322
where the children were now 69
where the children were put 56
where the children were singing 40
where the children were too 46
where the children will not 150
where the children will see 41
where the christian army was 77
where the christian faith and 53
where the christian faith had 75
where the christian faith has 87
where the christian faith was 211
where the christian name was 68
where the churches were not 52
where the citizens came out 103
where the citizens rose and 61
where the citizens were not 48
where the colonizing race has 44
where the colorado fuel and 63
where the constant term has 44
where the curtains were not 70
where the customer pays for 96
where the customer will not 71
where the decisions have not 47
where the decisions were being 87
where the decisive blow was 115
where the distance from one 125
where the dutchman left his 41
where the economic base was 53
where the edifices were not 51
where the elections were not 47
where the electors were few 49
where the elements dealt with 40
where the employer acts with 62
where the employer paid for 66
where the employer pays for 48
where the employer will not 46
where the encircling moat was 42
where the entrance door was 48
where the esteemed lady with 48
where the faintest breath that 47
where the federals were now 51
where the frontier left off 52
where the gardener kept his 49
where the governor gave them 53
where the handsome young man 43
where the heretics were too 294
where the highland army did 109
where the hostages were being 570
where the incident rays are 67
where the inflation rate has 58
where the inflation rate was 96
where the interest rate and 114
where the interest rate can 44
where the interest rate has 124
where the interest rate may 59
where the interest rate was 160
where the invaders were now 54
where the japanese army had 43
where the japanese army was 67
where the japanese have not 40
where the japanese were dug 69
where the japanese were not 58
where the lanterns were hung 101
where the liqueurs were set 51
where the literacy rate was 138
where the littlest boys and 72
where the majority held that 340
where the majority will not 40
where the marginal cost and 250
where the materials used are 70
where the materials were not 42
where the militant type has 50
where the military band was 42
where the mischief will end 110
where the mortgage debt was 40
where the mountain peaks are 51
where the mourners left them 46
where the narrator says that 167
where the negative sign has 68
where the observed data are 67
where the officers were men 84
where the officers were not 47
where the opposite bank was 57
where the original ball was 88
where the original bill was 87
where the original data are 154
where the original debt was 61
where the original form has 48
where the original lease was 47
where the original left off 136
where the original plan was 44
where the original suit was 53
where the original taking was 199
where the original text had 47
where the original text has 99
where the original text was 120
where the original town was 50
where the original work has 65
where the original work was 94
where the partners have not 75
where the patients have not 44
where the patients were being 45
where the patients were not 103
where the pavement ends and 149
where the personal data are 68
where the physical ends and 55
where the pictures were being 55
where the pictures were hung 63
where the pilgrims rest and 52
where the positive laws are 151
where the premises were not 52
where the prevailing mood was 47
where the prevailing view was 52
where the problems were and 63
where the products sold are 40
where the promised view was 56
where the property line was 43
where the property sold was 56
where the questions were put 49
where the relative risk for 43
where the relevant data are 117
where the religious life was 51
where the required data are 96
where the response rate was 104
where the salvation army had 52
where the salvation army was 81
where the scottish army lay 54
where the scottish army was 73
where the services were being 74
where the services were not 63
where the settlers were few 42
where the settlers were not 46
where the shutters were not 70
where the sidewalk ends and 40
where the soldiers were and 83
where the soldiers were being 59
where the soldiers were going 67
where the soldiers were not 69
where the spaniards have not 66
where the spaniards were and 46
where the specific heats are 55
where the strongest hand was 50
where the struggle ends and 47
where the students have had 55
where the students have not 42
where the students live and 86
where the students were all 227
where the students were and 40
where the students were being 42
where the students were not 139
where the subjects from that 56
where the subjects were not 51
where the sunlight fell all 60
where the sunlight fell and 42
where the supplies were being 49
where the survival rate was 42
where the symptoms were not 50
where the taxpayer must not 57
where the testator gave his 83
where the teutonic race was 41
where the trenches were dug 43
where the tribunal held that 396
where the tribunal sits can 185
where the trustees have not 48
where the ultimate goal was 49
where the underlying data are 70
where the underlying rock has 42
where the underlying rock was 65
where the villages were not 57
where we alighted from our 42
where we formerly knew one 45
where we imagined there was 46
where we intended making our 43
where we remained during our 73
where we remained till near 40
where we remember nothing and 69
where we sanctify some new 43
where we servants were all 45
where we shivered during two 49
where we suffered much for 62
where we supposed there was 260
which an abstract truth now 40
which an ambitious mind can 95
which an ambitious young man 161
which an american flag was 61
which an analysis digs out 86
which an employer must pay 118
which an essential part was 40
which as everyone knew was 68
which do properly make him 50
which he absorbed during his 50
which he absorbed from his 79
which he abstains from doing 196
which he accepted from his 135
which he accounts also for 163
which he acquired during his 466
which he acquired from his 680
which he acquired over him 56
which he acquired over his 52
which he acquires among his 52
which he acquires from his 77
which he actually made with 82
which he admitted into his 65
which he admitted none but 56
which he admitted were not 64
which he advanced were not 55
which he asserted were not 49
which he attacked those who 65
which he attacked were not 45
which he attended along with 72
which he attended during his 85
which he attended from his 83
which he believed best for 102
which he believed gave him 85
which he believed there was 236
which he believed were being 125
which he believed were due 107
which he believed were his 48
which he believed were not 225
which he believed were too 52
which he believes have not 50
which he believes there are 64
which he believes will bring 180
which he believes will lead 227
which he believes will not 100
which he bestowed upon all 82
which he bestowed upon her 245
which he bestowed upon him 212
which he bestowed upon his 970
which he bestowed upon them 659
which he bestowed upon this 119
which he borrowed from his 474
which he borrowed from one 126
which he borrowed from them 52
which he combined into one 43
which he commonly pays for 129
which he compiled from his 43
which he composed during his 397
which he composed during this 61
which he composed more than 57
which he concealed from all 46
which he concealed from her 77
which he concealed from his 236
which he condemns those who 44
which he conveyed into her 59
which he deceived those who 444
which he declared made him 44
which he declared null and 45
which he declared there was 108
which he declared these things 54
which he declared were his 93
which he declared were not 47
which he declares upon oath 152
which he delights great and 156
which he demanded from her 46
which he demanded from his 104
which he demanded from them 56
which he departed from his 224
which he departed from this 117
which he deserves from all 115
which he detested more than 57
which he dictated during his 61
which he dictated from his 104
which he differed from all 63
which he differed from both 172
which he differed from him 84
which he differed from his 477
which he differed from them 150
which he directed from his 71
which he discerns good and 60
which he disliked more than 76
which he diverged from his 45
which he elicited from them 53
which he embarked upon his 73
which he employed more than 48
which he employed upon them 71
which he employed were not 100
which he employed when his 40
which he enforced upon his 58
which he enjoined upon his 104
which he enjoined upon them 83
which he enlarged into his 46
which he excelled most men 62
which he excluded from his 97
which he excludes from his 106
which he executed during his 96
which he executed more than 81
which he expanded into his 46
which he expected from her 64
which he expected from him 73
which he expected from his 608
which he expected from that 52
which he expected from them 290
which he expected from this 96
which he expected great things 110
which he expected nothing but 47
which he expended upon his 48
which he explains from his 41
which he extorted from his 133
which he extorted from them 44
which he extracts from his 55
which he followed during his 93
which he foresees from this 40
which he formerly made use 74
which he governed more than 41
which he governed till his 48
which he imagined there was 71
which he imported into his 54
which he imprints upon them 50
which he included among his 43
which he indulged during his 47
which he inflicts upon his 104
which he inherits from his 815
which he injected into his 67
which he inserted into his 242
which he insisted upon being 83
which he insisted upon doing 53
which he insisted upon his 160
which he insisted upon was 55
which he insisted were not 61
which he inspired among his 112
which he inspired into all 104
which he inspired those who 63
which he inspires those who 55
which he intended only for 66
which he intended some day 42
which he lavished upon her 186
which he lavished upon his 200
which he lavished upon them 128
which he lavishes upon his 53
which he normally used for 44
which he observed among his 72
which he observed during his 109
which he observed from his 61
which he obtained during his 135
which he obtained from all 54
which he obtained from her 56
which he obtained from him 67
which he obtained from his 776
which he obtained from one 75
which he obtained from that 46
which he obtained from them 153
