war indemnity the sum of 95
was abandoned as far as 72
was abandoned by all the 465
was abandoned by both the 52
was abandoned by him in 109
was abandoned by him on 42
was abandoned by one of 47
was abandoned by them at 56
was abandoned by them in 99
was abandoned so far as 69
was abandoned so that the 43
was abandoned to all the 131
was abandoned to die of 49
was abandoned to win it 164
was abhorrent to him as 69
was abhorrent to him in 47
was abolished as far as 96
was abolished as one of 42
was abolished as was the 50
was abolished by act of 1865
was abolished by law in 570
was abolished by law of 57
was abolished by one of 73
was abolished in all of 51
was abolished in all the 434
was abolished so far as 140
was abolished so that the 525
was absolution so long as 59
was acclaimed as one of 1345
was acclaimed by all as 238
was acclaimed by all the 183
was acclaimed by both the 43
was accordingly an act of 45
was accounted an act of 209
was accounted as low as 44
was accounted as one of 107
was accounted by far the 49
was accounted by law to 59
was accounted the son of 64
was accounted to him as 535
was acquitted by them on 119
was acquitted in all the 46
was acquitted of all the 413
was acquitted on all of 51
was acquitted on all the 221
was additional to that of 46
was addressed by all as 41
was addressed by all the 98
was addressed by both the 46
was addressed by her to 62
was addressed by him as 100
was addressed by him in 225
was addressed by him to 705
was addressed by men of 54
was addressed by one of 707
was addressed by that of 76
was addressed by them as 123
was addressed by them to 130
was addressed by using the 74
was addressed by way of 41
was addressed in one of 58
was addressed to all of 179
was addressed to all the 1336
was addressed to both of 259
was addressed to both the 192
was addressed to each of 242
was addressed to her as 137
was addressed to her at 151
was addressed to her by 275
was addressed to her in 811
was addressed to her on 50
was addressed to him as 912
was addressed to him at 534
was addressed to him by 1968
was addressed to him he 72
was addressed to him in 804
was addressed to him on 381
was addressed to him or 117
was addressed to him to 64
was addressed to men of 43
was addressed to one in 49
was addressed to one of 1043
was addressed to them as 248
was addressed to them by 230
was addressed to them in 144
was addressed to them on 72
was addressed to you at 44
was addressed to you by 144
was addressed to you in 49
was addressed to you on 94
was adjourned so that the 126
was admirable as far as 77
was admirable in all the 55
was admirable in that it 65
was admirable so far as 48
was admirable so long as 42
was admirable to see the 227
was advisable or not to 57
was advisable to bring it 46
was advisable to bring the 54
was advisable to get the 78
was advisable to let the 73
was advisable to try to 67
was advisable to use the 94
was advocated as one of 54
was advocated by all the 95
was advocated by both the 63
was advocated by him in 40
was advocated by one of 95
was affiliated to one of 59
was afflicted by all the 61
was afflicted by one of 92
was afterward of use to 91
was agreement to set up 42
was allegedly the son of 54
was alleviated as far as 56
was allocated an area of 47
was allocated the sum of 56
was allocated to all the 53
was allocated to each of 318
was allocated to him by 59
was allocated to one of 400
