wandering old man pointed out 131
warfare are not worldly but 433
warrant for one hundred and 121
warrant his being charged with 42
warrant then our opinions and 121
warrant was out against him 209
watched and not allowed his 129
watched her and studied her 45
watched her and watched her 62
watched her for several long 56
watched her she lowered her 63
watched him and studied him 56
watched him and watched him 112
watched him lean forward and 45
waybill does not contain all 193
weakness did not prevent him 52
weekday and one weekend day 261
weekend with her husband and 63
weekend with her parents and 40
weighed all its minutiae with 43
weighed but one hundred and 231
weighed out and diluted with 86
weighed out and measured with 40
weights and two measures for 56
welcome both for himself and 42
welcome him and conduct him 51
welfare does not require that 97
western sky was streaked with 95
whereby all its members can 41
whereby men may rectify and 110
whereby they are enabled not 44
whereby they both allured and 42
whereby they may require and 70
whereby you can account for 71
wherein all are equally dead 42
wherein she had desired that 42
wherein she has refused him 45
wherein they are charged with 125
wherein they are similar and 52
whipped him and whipped him 47
whipped off her glasses and 77
whipped off his glasses and 116
whipped them all soundly and 365
whipped with bad thoughts and 123
whisked off our cravats and 43
willows that had checked its 87
windows read with delight that 129
windows that are covered with 47
winters and hot summers and 97
winters and hot summers are 73
winters and hot summers with 86
witness and has accused his 76
witness can not refresh his 56
witness can not testify that 147
witness did not testify that 125
witness may not testify that 235
witness this day against you 99
witness who can testify that 363
witness who was familiar with 59
witness who was present and 98
witness with our spirits that 2352
wondering who this stranger was 61
wondering why her husband did 57
wondering why her husband had 67
wondering why her husband was 82
wonders god had wrought for 118
wonders god has wrought for 45
wonders that his friends did 85
workers and one hundred and 56
workers are not familiar with 98
workers can not compete with 145
workers did not believe that 312
workers did not believe them 40
workers did not compete with 55
workers did not observe any 52
workers did not qualify for 50
workers did not receive any 126
workers who are charged with 78
workers who are familiar with 416
workers who are married and 48
workers who are skilled and 76
workers who are trained and 54
workers who are unhappy with 49
workers who had applied for 84
workers who had carried out 41
workers who had contact with 119
workers who had dropped out 85
workers who had elected them 55
workers with low incomes and 59
workman and his fitness for 112
worried that her husband had 40
worried that her husband was 227
worries that had plagued him 42
worship does not question nor 51
worship god and declare that 306
worship god with devotion and 43
worship god with justice and 156
wounded and one hundred and 170
wounded and one officer and 52
wounded and two hundred and 96
wounded and was carried off 84
wounded man and brought him 106
wounded man and carried him 422
wounded man and dragged him 88
wounded man who appealed for 70
wounded men and carried them 40
wounded was one hundred and 134
wounded was one officer and 70
wounded was two hundred and 80
wrapped them all together with 46
wrestle with this problem and 116
wrestling with his thoughts and 41
wrestling with this problem and 61
wrestling with this problem for 203
wrestling with this question for 51
writers are not content with 71
writers are not familiar with 88
writers did not believe that 242
writers that this country has 51
writers who are familiar with 188
written and then crossed out 419
written for and against him 59
written for and against this 288
written for both parents and 51
written for one machine can 43
written for our comfort and 61
written for our example and 49
written for that purpose and 73
written for this purpose and 119
written for this purpose are 59
written his own history and 89
written out and printed with 49
written that his counsel was 118
written them off quietly out 44
written with both insight and 42
written you two letters and 51
