wage that each industry can 402
wait and cry earnestly for 57
wait and see attitude and 122
waking man not remember nor 111
walk that she confided her 73
walk with you wherever you 43
wall and its contents are 43
wall with his shoulder and 60
want all you officers and 42
want for our children and 459
want for our families and 55
want you going anywhere near 195
ward off any suspicion that 55
warm air was fragrant with 54
warn you and instruct you 143
warn you that whatever you 57
wars was being followed day 65
wash him and sanctify him 246
wash them and sanctify them 59
wave does not coincide with 61
wave that was hopeless and 42
ways and for purposes that 196
ways and his delicacy that 184
ways are they selected and 158
ways can you identify with 109
ways god has provided for 55
ways that all citizens can 49
ways that are accurate and 45
ways that are authentic and 57
ways that are challenging and 45
ways that are coherent with 41
ways that are concrete and 42
ways that are congruent with 1101
ways that are critical for 67
ways that are essential for 77
ways that are ethically and 43
ways that are indirect and 42
ways that are positive and 157
ways that are positive for 46
ways that are possible and 42
ways that are possible for 67
ways that are probably not 66
ways that are realistic and 42
ways that are relevant and 139
ways that are relevant for 137
ways that are satisfying and 83
ways that are suitable for 113
ways that god intended for 79
ways that may conflict with 62
ways that may surprise you 74
ways that one operates with 145
ways that they interact with 140
ways that this computer can 62
ways that you interact with 60
ways too far surpassing our 64
ways you can approach this 169
ways you can interact with 119
wealth let him preserve his 53
week and rob somebody and 41
week and you complete this 77
week for one academic year 52
well and are suitable for 116
well and are therefore not 48
well and was friendly with 57
well and was rewarded with 144
well fed and provided for 81
well fed and provided with 92
well fed and supplied with 135
well for his services and 89
well off and occupied with 113
well that his presence was 50
well that this accident had 48
well they are designed and 45
well they are employed for 111
well they are performing and 212
well they are prepared for 115
well they had silenced and 55
well with his affected air 50
well with that expected for 98
well with that observed for 63
well with that obtained for 63
well with that obtained using 57
well with that obtained with 48
well with that reported for 79
well won and fortunes ill 44
well you are prepared for 92
went and was received with 104
went her way homeward with 51
went his own separate way 94
went his way therefore and 44
went its own separate way 71
went off and returned with 510
went out and accosted him 44
went out and attacked him 71
went out and attacked them 70
went out and entreated him 61
went out and followed him 314
went out and followed them 44
went out and inquired our 53
went out and reappeared with 58
went out and received him 51
went out and remained out 93
went out and reported that 45
went out and reproved them 245
went out and returned with 2172
went out and whistled for 45
went out for baseball and 46
went out for breakfast and 157
went out for breakfast with 50
went out for football and 276
went out with lanterns and 111
went out with timbrels and 64
went she was received with 52
went with her wherever she 116
went with his officers and 61
went with them wherever they 107
wept for her children and 110
were all being punished for 42
were all but deserted and 41
were all that faltered and 40
were all that mattered and 128
were all that mattered now 107
were all that remained and 49
were all that remained for 257
were all that remained now 42
were all that remained one 44
were all that remained out 65
were all that remained with 86
were all too apparent and 60
were all too conscious that 106
were all too frequent and 96
were all too occupied with 44
were any real evidence that 113
were bad for business and 102
were bed and breakfast and 52
were being led barefoot and 67
were big and powerful and 47
were both his accusers and 60
were both too fatigued and 60
were both too numerous and 67
were but few compared with 51
were but his servants and 66
were but ill prepared for 87
were but ill provided for 91
were but ill provided with 322
were but ill supplied with 138
were cut and polished and 44
were cut and polished for 72
were cut and polished with 61
were cut and prepared for 67
were cut for firewood and 84
were cut with scissors and 74
were doing and followed him 59
were far too advanced for 192
were far too ambitious and 47
were far too ambitious for 78
were far too dangerous for 80
were far too engrossed with 62
were far too involved with 58
were far too numerous and 270
were far too numerous for 281
were far too occupied with 218
were far too powerful and 51
were far too powerful for 137
were far too valuable for 70
were fat and worthless with 46
were fed and provided with 76
were fed and supplied with 60
were few who believed him 51
were few who believed that 461
were fit for immediate use 63
were for his personal use 176
were gay and bisexual men 49
were gay with streamers and 54
were going for military use 207
were her own children and 69
were her own daughter and 54
were her own property and 126
were her own trinkets and 48
were his own business and 76
were his own children and 109
were his own daughter and 61
