wager that you have never 162
wages and all other costs 62
wages and all other working 60
wages and long work hours 52
wages and low living costs 52
wages are but four cents 45
wages are not paid within 45
wages can not fall below 378
wages can not rise above 192
wages can not take place 66
wages than any other nation 56
wages that are well above 95
waist with one hand while 62
waiting all this time holding 55
waiting for all their lives 101
waiting for all these crazy 67
waiting for all these months 134
waiting for all these weeks 44
waiting for god only knows 62
waiting for her ever since 66
waiting for her next words 142
waiting for him down below 164
waiting for him ever since 257
waiting for his next order 160
waiting for his next words 319
waiting for them ever since 44
waiting for this ever since 112
waiting for you down below 158
waiting for you ever since 381
waiting for you here since 52
waiting for you last night 59
waits for you next after 116
walking and not think about 64
walking out with your staff 60
walking thus for some hours 76
walking with him last night 235
walking with his eyes fixed 120
walking with his legs apart 41
walking with this very woman 74
walks with his chin erect 50
walks with his eyes fixed 135
walks with his hand thrust 102
walks with his legs apart 95
walls and red tile roofs 360
walls are hung from ceiling 59
walls does not take place 42
walls had not been built 140
walls that had been built 482
walls that you have built 45
walls with his bare hands 80
wanting her all over again 83
wants you for your money 51
wares but for ready money 72
warmth for her poor child 73
warmth she had been feeling 86
warmth that had been missing 58
warning had not been given 199
warning had not been taken 107
warning has not been given 98
warning him that there would 84
warning that had been given 321
warning that has been given 65
warning that his life would 47
warning that they were about 129
warts that had been shown 61
washing out with warm water 45
washing them with cold water 79
washing them with warm water 128
watch and his gold snuff 85
watch and see what would 320
watch and they will begin 48
watch how you talk about 90
watch out for other people 120
watch out for these people 121
watch out for when working 49
watch out for your fingers 42
watch out for your mother 98
watch out for your souls 180
watch she had been given 83
watch that did three hours 91
watch that had been given 179
watch that had been taken 47
watch with her sick mother 42
water and add cold water 82
water and air flow rates 116
water and cut into small 91
water and for some reason 40
water and has been found 108
water and has been shown 41
water and his eyes began 70
water and how much water 76
water and let cook until 51
water and let soak until 57
water and let your child 50
water and mean high water 121
water and mix well until 52
water and mud were again 75
water and one part black 70
water and run cold water 45
water and sat down again 62
water and then back again 54
water and then cold water 120
water and then steam power 43
water and then three times 93
water and was just about 60
water are not well known 47
water bath and stir until 111
water bath for five hours 91
water bath for four hours 106
water bath for three hours 369
water can not rise above 343
water can not take place 74
water did not come above 67
water did not give reason 65
water did not reach above 72
water did not rise above 181
water did not take place 68
water does not boil until 95
water does not come within 52
water does not fall below 184
water does not rise above 491
water does not stop boiling 413
water does not take place 437
water doth not much enter 46
water far off there black 47
water far out from shore 43
water for all their needs 107
water for this test shall 64
water for two days after 51
water had far other springs 185
water had had more power 41
water had not been taken 48
water has long been known 168
water has not been added 81
water has not been found 98
water has not been fully 51
water has not been shown 49
water has not been taken 97
water has yet been found 57
water not far from shore 110
water not far from where 118
water out with your hands 69
water than any other human 86
water than any other place 46
water than any other region 49
water than any other river 579
water than any other state 356
water that had been added 43
water that had been boiling 47
water that had been drawn 153
water that had been heated 241
water that had been mixed 49
water that had been sitting 100
water that had been taken 170
water that had been thrown 94
water that had been warming 42
water that has been added 174
water that has been boiling 75
water that has been drawn 180
water that has been drunk 115
water that has been flowing 40
water that has been freed 94
water that has been heated 703
water that has been mixed 194
water that has been sitting 129
water that has been taken 232
water that has been thrown 44
water that one reads about 45
water use and crop yield 216
water was his only drink 203
water was not only running 59
water was now only about 98
water was our only drink 44
water with all their might 141
water with both their hands 94
water with her foot hither 161
water with his bare hands 102
water with its clear image 43
water with one hand while 329
water with one side stove 78
waved his hat three times 90
waved his long arms about 73
waves and that these waves 63
waves they had been dashing 41
waxen tinge had left colin 58
weaker one has been bound 48
weaker sex with fair words 42
wealthy man for those times 40
wealthy men and their wives 64
wealthy men who have every 48
weapon and put your hands 76
weapon but his good sword 68
weapon had not been fired 52
weapon had not been found 122
weapon has not been found 116
weather can mean more money 53
weather did not clear until 53
weather did not help either 105
