wage master 94 ward nurses 115
wave warnings 54 well cattle 60
well through 64 well follow 216
well forgot 41 well trusty 177
well christ 51 well through 51
well through 43 well enough 49
well taught 43 well cattle 104
well streams 97 went toward 45
went before 48 went beside 77
went before 107 went beside 82
went around 56 were guilty 174
were another 67 were changes 54
were boughs 61 were another 73
were should 45 were before 57
were broken 56 were another 87
were through 62 were another 206
were aerobic 54 were direct 42
were normal 92 were orders 48
were static 71 were strict 94
were vacuum 87 were various 248
were proved 46 were showed 112
were guilty 190 were degree 154
were pieces 80 were carved 49
were expect 125 were clouds 52
were cotton 86 were gloves 42
were velvet 215 were forest 125
were masses 57 were plates 91
were velvet 75 were flocks 103
were pieces 62 were sheets 41
were stones 49 were stones 59
were fallen 40 were groves 62
were pieces 48 were stones 61
were plates 56 were canvas 73
were cotton 108 were marble 46
were muslin 49 were powder 82
were sheets 195 were stucco 100
were masses 41 were anxious 156
were carrying 82 were hurrying 85
were standing 52 were watching 145
were broken 86 were masses 76
were another 64 were another 150
were abroad 60 were itself 41
were another 41 were another 44
were before 49 were suffer 86
were periods 49 were periods 56
were periods 41 were another 43
were detail 98 were another 82
were broken 49 were little 58
were periods 51 were cheers 119
were feelings 51 were watson 44
were before 42 were before 53
were scalps 58 were enamel 47
were result 41 were forget 71
were spaces 44 were another 134
were waters 45 were another 45
were another 133 were greater 77
were through 48 were greater 58
were became 92 were another 60
were excess 56 were another 52
were bright 40 were morals 94
were favors 58 were little 44
were should 41 were should 80
were periods 43 were around 264
were through 66 were killed 62
were another 74 what derive 61
what groups 40 what muster 105
what muster 51 what muster 715
what muster 139 what called 44
what bestow 67 what before 92
what farther 41 what needed 71
what afford 81 what answer 130
what safely 77 what expect 71
what render 95 what behind 43
what expect 51 what expect 52
what through 78 what through 82
when troops 58 when orders 56
when called 43 when forces 86
when around 197 when around 93
when rights 61 when signed 57
when consul 152 when stress 136
when another 83 when enough 80
wide coursing 69 wide number 260
wife before 53 wild scenes 53
wild waters 58 wild around 45
will design 95 will further 223
will through 54 will enough 75
will further 61 will places 48
will christ 553 will struck 40
will custom 49 will special 174
will further 154 will further 1040
will further 913 will further 206
will further 164 will martin 81
will further 459 will further 81
will further 78 will periods 83
will effect 48 will effect 53
will organs 204 will before 78
will shanks 87 wise feelings 112
wore frames 40 wore waists 68
work number 183 work recent 40
work police 156 work should 61
work common 140 work toward 89
