wad drive the screw through 107
war begun to wrest silesia 50
war could be ended before 58
war could be ended without 77
war could be waged without 157
war facts in black marker 49
war party of osage indians 42
war party of thirty indians 97
war shall be under united 79
war where the civil courts 58
war within the armed forces 53
war within the first circle 65
war would be ended before 72
war would be fully twenty 83
was about an equal amount 41
was about an equal chance 50
was about an equal number 172
was about as badly scared 682
was about the first person 114
was about the right amount 109
was about the right height 132
was about the right number 80
was about the small garden 85
was about the stock market 41
was about the usual number 60
was about the whole affair 72
was about the worst insult 40
was about to appear before 1433
was about to argue further 125
was about to begin another 477
was about to begin building 155
was about to begin school 44
was about to begin shooting 211
was about to begin studying 54
was about to begin without 55
was about to build another 40
was about to burst through 527
was about to change course 66
was about to climb aboard 334
was about to climb inside 63
was about to climb through 152
was about to close behind 40
was about to crash through 95
was about to crawl through 81
was about to create another 53
was about to drive through 167
was about to empty itself 55
was about to engulf europe 58
was about to enter another 369
was about to enter england 49
was about to enter france 51
was about to enter school 58
was about to enter through 82
was about to fight without 47
was about to grasp something 49
was about to issue another 64
was about to issue orders 145
was about to kneel before 87
was about to light another 135
was about to lower myself 47
was about to march through 175
was about to marry another 421
was about to marry should 119
was about to marry someone 167
was about to occur before 47
was about to offer another 42
was about to offer itself 41
was about to offer myself 55
was about to order another 203
was about to place another 48
was about to place before 62
was about to place myself 81
was about to plunge headlong 142
was about to plunge through 121
was about to plunge without 60
was about to probe further 95
was about to prove itself 52
was about to renew itself 61
was about to repeat itself 2227
was about to repeat myself 56
was about to reply angrily 185
was about to reveal itself 184
was about to reveal something 260
was about to serve dinner 55
was about to serve honest 103
was about to share something 54
was about to shoot another 40
was about to shout something 141
was about to solve itself 41
was about to stand before 96
was about to start across 109
was about to start another 727
was about to start building 162
was about to start climbing 81
was about to start dinner 48
was about to start laughing 77
was about to start school 329
was about to start screaming 112
was about to start shooting 245
was about to start shouting 61
was about to start something 66
was about to start toward 73
was about to sweep across 107
was about to sweep through 98
was about to utter another 46
was about to utter something 264
was about to visit berlin 61
was about to visit england 433
was about to visit europe 130
was about to visit france 62
was about to visit london 175
was about to visit moscow 70
was about to weigh anchor 848
was about to write another 104
was about to write something 105
was above or below normal 44
was above the usual height 59
was added an equal amount 58
was added an equal volume 348
was added in large excess 88
was added in small pieces 96
was after the evening prayer 73
was again in short supply 79
was again on solid ground 45
was again the chief speaker 54
was again the first person 44
was agape in yokel fashion 136
was aimed in large measure 51
was alert to every nuance 61
was alive as never before 116
was asked at short notice 80
was asked he would refuse 123
was asked in court whether 43
was asked in reply whether 45
was asked on short notice 53
was asked to appear before 1154
was asked to check whether 110
was asked to guess whether 54
was asked to judge whether 329
was asked to preach before 104
was asked to stand before 50
was asked to state whether 568
was asked to write another 184
was asked to write something 575
was awake or still sleeping 41
was aware as never before 265
was aware of every detail 157
was aware of every muscle 60
was aware of every nuance 62
was aware of people around 40
was aware of people watching 50
was aware of vague sounds 45
was based in large degree 41
was based in large measure 1017
was based on caste system 49
was based on equal rights 58
was based on greek models 91
was based on human nature 48
was based on human rights 45
was based on social status 74
was based on solid ground 145
was based on sound reasoning 147
was based on sound reasons 49
was basic to human nature 49
was begun in right earnest 49
was begun the night before 218
was below the level reached 45
was booming as never before 378
was bound by every motive 55
was bound in white vellum 42
was bound to appear before 172
was bound to appear sooner 59
was bound to arise sooner 185
was bound to arise whether 111
was bound to carry weight 109
was bound to cause serious 126
was bound to cause tension 47
was bound to create further 41
was bound to create serious 111
was bound to create tension 103
was bound to defeat without 94
was bound to exert itself 55
was bound to force itself 63
was bound to occur before 51
was bound to occur sooner 333
was bound to occur unless 43
was bound to prove futile 60
was bound to raise doubts 92
was bound to raise prices 42
was bound to raise serious 53
was bound to repeat itself 108
was bound to reveal itself 112
was bound to weigh heavily 78
was breaking the fatal pistol 81
was built at coney island 279
was built by funds raised 74
was built by peter cooper 125
was built in large measure 66
was built in orange county 44
was built in seven stages 43
was built of adobe bricks 141
was built of baked bricks 128
was built of burnt bricks 136
was built of large blocks 258
was built of large flints 51
was built of large stones 250
was built of loose stones 88
was built of rough blocks 119
was built of rough boards 107
was built of rough lumber 48
was built of rough stones 252
was built of small sticks 41
was built of small stones 109
was built of solid blocks 68
was built of stone blocks 98
was built of stone instead 51
was built of white marble 707
was built of white stones 87
was built on level ground 183
was built on piles driven 57
was built on shaky ground 47
was built on sloping ground 140
was built on solid ground 83
was built the first church 93
was burnt to ashes before 64
was cased in strong plates 42
was cited to appear before 6779
was cleaning up after dinner 76
