wake of america whose sure 54
wake up several times during 505
waking up several times during 241
walk of several miles along 45
walk of several miles over 40
walk the several miles from 44
walk the streets after dark 818
wall no process could have 67
wall of babylon shall fall 158
wall or rampart which lies 45
wall to prevent people from 51
wall to prevent water from 43
want of fortune would make 185
want of pleasure comes from 73
want of success arose from 44
want to attract every body 41
want to believe anything else 109
want to discuss anything else 129
want to exclude others from 41
want to exclude people from 42
want to exclude women from 47
want to explain about last 40
want to explore every inch 65
want to explore every nook 41
want to inquire about your 54
want to prevent others from 319
want to prevent people from 517
want to prevent users from 507
want to protect people from 90
want to protect women from 57
want to receive anything from 59
want to receive email from 49
want to squeeze every last 104
want to suggest about these 49
want to withdraw money from 184
wars of hostile atoms cease 87
wars of religion which have 56
wars of religion which were 72
wars the southern celts fell 72
wave of anxiety swept over 164
wave of arrests swept over 54
wave of crimson swept over 75
wave of despair swept over 291
wave of disgust swept over 107
wave of euphoria swept over 58
wave of fatigue swept over 285
wave of gadgets swept over 65
wave of hysteria swept over 94
wave of jealousy swept over 80
wave of jealousy would pass 53
wave of migrating people came 48
wave of pleasure swept over 72
wave of pogroms swept over 67
wave of protest swept over 53
wave of remorse swept over 186
wave of sadness sweep over 66
wave of sadness swept over 445
wave of shyness swept over 54
wave of strikes swept over 99
wave of sympathy swept over 171
wave of vertigo swept over 121
wave of violence swept over 59
wave of weakness swept over 110
ways of consoling which were 56
ways of extorting money from 68
ways to collect money from 44
ways to extract money from 51
ways to prevent others from 112
ways to prevent people from 120
ways to protect people from 115
wealth of britain alone were 54
wealth of imagery drawn from 68
wealth of material drawn from 91
wealth of material which lies 45
wealth of material which will 76
weary of attending where nothing 96
week of remorse nearly made 50
well as against every other 88
well as animals which have 41
well as anybody could have 93
well as anybody could know 51
well as between human beings 111
well as capital gains from 60
well as details about their 65
well as elegant books ever 45
well as himself would join 91
well as several dozen other 42
well as several minor ones 201
well as several others from 125
well as several others have 53
well as several others were 40
well as several people from 44
well as several small ones 60
well as several times during 58
well as slavery would have 55
well as smaller items such 51
well as stories about their 50
well he himself would lose 47
well of charity springs here 44
well on towards evening when 42
went on quietly playing among 41
went to beverly hills high 76
went to college after high 61
went to inquire about those 53
