wakeful eyes may weep but 81
wandering along she knew not 75
wandering bears may come with 42
wandering here and there and 178
wandering here and there for 62
wandering here and there with 94
wanders here and there and 49
warders must bring their own 56
warriors show how well they 64
watched over her during her 41
watched over her from her 103
watched over her when she 66
watched over him during his 144
watched over him from his 75
watched over his health and 68
watched over one pale lad 58
watched over with care and 59
watched over with more than 40
watched over you when you 48
watched there six days and 81
watched till they were out 60
watched what they were doing 224
watched what you were doing 42
watches over her when she 52
watches over you when you 154
watches over you will not 1199
wavered back and forth for 97
wavered from his view that 132
weakness from all eyes but 49
weekend came and went and 48
weekend came and went with 43
weighed down with bags and 40
weighed down with care and 79
weighed down with debt and 84
weighed down with gold and 107
weighed down with more than 65
weighed down with their own 105
weighed down with work and 54
weighed down with years and 178
weighed less than five and 44
weighed like lead upon her 53
weighed like lead upon his 142
weighed upon her life was 46
weighed upon him more and 62
weighed upon him more than 62
weighed upon his mind and 164
weighed upon his mind that 147
weighed upon his mind with 58
welcome back his papa and 48
welcome from his wife and 55
welcome here any time you 93
welcome news for those who 72
welcome news that there was 106
welfare more than their own 42
welfare when you know you 98
welfare will they give you 48
western wind was wild and 299
wetness from his eyes and 45
wetness from his face and 40
wetness from his face with 50
whereby good and evil are 42
whereby peace may gain and 63
whereby their own work can 57
wherein bread and wine are 44
wherein good and evil are 117
wherein mind and body are 118
wherein there are many things 143
wherein there are more than 67
wherein there are only two 45
wherein very few wise men 65
wherein were set down all 175
wherein were set those that 55
whipped back and forth and 78
whipped back and forth with 51
whipped cream all over his 41
whipped cream and dust with 63
whipped from her knee her 51
whipped more than once for 45
whipped till you fell dead 50
whisker into his mouth and 100
whistle blew and there was 68
whistle into his mouth and 49
whistling over our heads and 100
whistling sort that nothing but 52
whitest skin you ever saw 42
whitest teeth you ever saw 74
whittle toys and sell them 60
whizzed over our heads and 148
widened those that were too 43
willingly gave her life for 94
willingly gave his life for 197
willingly give her life for 51
willingly give his life for 158
willingly hope that your own 49
willingly into his arms and 76
willingly join with those who 40
willingly look out upon them 154
willingly part with life for 47
willingly risk his life for 57
willingly wake him from his 65
windows along one side and 92
windows along one wall and 70
windows were all dark and 59
windows were all open and 154
windows were all shut and 92
windows were too high for 219
winters were too cold for 100
winters were too much for 55
withdraw from each other and 132
withdraw from his wife and 50
withdraw more and more and 40
withdraw their men from them 67
withdraw upon not less than 190
withdraw young men from due 137
withdrew from her body and 58
withdrew from his arms and 83
withdrew from his wife and 56
withdrew from new york and 51
withdrew from that body and 69
withdrew from this firm and 62
withdrew into her room and 67
withdrew into his room and 44
withdrew into his tent and 46
withdrew more and more and 66
withheld from all those who 56
withheld good things from you 42
withheld nothing but what all 73
withhold from him food and 107
withhold from him more than 54
withhold from them what they 136
withhold from you such aid 64
witness said that there was 79
witness whom you have not 75
wobbled back and forth and 54
wondering eyes this more than 49
wondering just how much she 207
wondering just how much you 48
wondering more and more how 80
wondering more and more why 66
wondering what had been going 86
wondering what had kept him 82
wondering what had made her 216
wondering what had made him 298
wondering what his game was 44
wondering what his wife was 69
wondering what lay ahead for 99
wondering what she will say 83
wondering what they were all 119
wondering what they were and 42
wondering what they were doing 1014
wondering what they were for 105
wondering what they were going 755
wondering what was taking her 134
wondering what was taking him 111
wondering what was taking them 56
wondering what was taking you 99
wondering what was wrong and 63
wondering what was wrong with 1942
wondering what you were doing 735
wondering what you were going 274
wondering what you will say 44
wondering when they were going 339
wondering when you were going 1846
wonders what they were doing 45
wonders what this love may 315
workers earning not more than 120
workers feel that there are 46
workers felt that there was 109
workers felt they were being 93
workers felt they were not 68
workers from being laid off 75
workers from each other and 122
workers from new york and 54
workers hold our view that 113
workers knew they were being 59
workers know that there are 54
workers other than those who 100
workers said they were not 48
workers there was only one 81
workers were being laid off 937
workers were being paid for 40
workers were far from being 82
workers were not laid off 74
workers were not paid for 159
workers were not ready for 124
workers what they were doing 59
workers when they need them 41
workers when they were not 102
workers will earn more than 54
workers will not have any 55
workers will not work for 48
worldly rest hath gone with 45
worried more and more that 107
worried over his health and 54
worried when she heard that 107
worried when they heard that 98
worried when you were not 106
worship other than their own 65
worship their old gods and 51
worship their own gods and 244
worship those who drew new 123
worship time and fate and 127
wouldst have had those who 63
wounded hero who rears his 71
wounded look that fags all 101
wounded were not less than 51
wounded when his ship was 50
wrested from him during his 53
wrested from his hand and 57
wrinkle made him lose his 120
wrinkle upon her soul and 48
writers among them took each 84
writers even yet deny that 53
writers feel that when they 52
writers felt that there was 42
writers from new york and 70
writers held they were his 49
writers there are none who 53
writers there are some who 57
writers well and tree are 46
writers were far from being 40
written down his name and 49
written during his last year 121
written during his stay with 42
written during this time and 46
written during this time are 56
written during this time that 43
written from new york and 58
written from new york that 60
written here and there and 51
written just ten years ago 101
written more than once that 208
written only for those who 155
written only for your own 42
written only ten years ago 51
written over and over and 46
written over and over with 83
written over and torn out 53
written over ten years ago 413
written over two years ago 151
written plan for dealing with 50
written some few years ago 123
written some six years ago 46
written some ten years ago 438
written unto you young men 55
written upon his coat all 41
written upon his face and 46
written upon his tomb this 151
written upon that soul thou 160
written when his mind was 80
written when they were both 100
written years and years ago 272
wrought into its form and 53
wrought iron are used for 45
wrought iron was used for 236
wrought plan for dealing with 43
wrought their own iron with 100
wrought upon her till her 54
wrought upon him from all 67
wrought upon his mind and 40
wrought upon his mind that 187
