wan lucidity of mind against 63
war blunders at last against 93
war materials to great britain 166
war materiel to great britain 44
war materiel to north vietnam 56
war purposes of some supreme 43
war supplies to great britain 80
was absorbed by other matters 41
was absorbed in other matters 90
was absorbed in other objects 64
was absorbed in other thoughts 53
was absorbed in these thoughts 171
was abundant in north america 43
was accepted by great britain 311
was accepted by many european 41
was accepted by many persons 53
was accepted by most members 62
was accepted by other members 42
was accepted by some members 46
was accepted by their defunct 48
was accepted by those present 112
was accepted in full payment 66
was accepted in great britain 58
was accepted in part because 54
was accepted in part payment 59
was accorded the same respect 60
was accosted by these consoling 98
was achieved by bringing together 49
was achieved in early manhood 47
was achieved in great britain 62
was achieved in part because 130
was acquired by great britain 137
was actually in arms against 103
was actually the most popular 55
was actuated by good motives 52
was actuated by high motives 46
was actuated by other motives 156
was actuated by pure motives 53
was actuated by such motives 87
was actuated by these motives 121
was adjusted to give maximum 135
was adjusted to take account 164
was admitted by great britain 66
was admitted to their company 51
was admitted to yale college 144
was affected by many factors 207
was affected by other factors 190
was affected by such factors 136
was affected by these factors 48
was affected by three factors 44
was affirmed on other grounds 144
was afforded to their insulting 89
was agitated by these passions 98
was agreeable to their passions 47
was allotted to great britain 90
was ambitious to make himself 44
was analyzed by karl abraham 43
was appalled to find herself 150
was appalled to find himself 197
was apparent by their dresses 129
was apprised of their arrival 54
was approved by city council 61
was approved by great britain 73
was approved by jove himself 49
was approved by pope clement 172
was approved by pope gregory 151
was approved by those present 109
was arguably the most creative 53
was arguably the most liberal 43
was arguably the most popular 352
was arguably the most radical 79
was arguably the most visible 43
was arrested in great britain 73
was arrested in west germany 86
was arrested on drug charges 375
was arrested on some pretext 63
was assailed by more dreadful 190
was assailed by three galleys 44
was asserted by great britain 55
was asserted by some persons 58
was assessed by their ability 50
was assessed in these studies 48
was assigned the call letters 76
was assigned to five hundred 101
was assigned to great britain 291
was assigned to more arduous 56
was assigned to take command 87
was assigned to work closely 52
was assisted by many friends 48
was assisted by other members 118
was assisted in these efforts 47
was attached by ties stronger 76
was attached to north america 44
was attached to these reports 43
was attacked by dive bombers 60
was attacked by five hundred 86
was attacked by five ruffians 63
was attacked by four hundred 74
was attacked by many critics 73
was attacked by many writers 45
was attacked by nazi germany 129
was attacked by some critics 72
was attacked by some members 68
was attacked by some robbers 43
was attacked by some unknown 60
was attacked by three british 40
was attacked by three hundred 130
was attacked by three persons 40
was attacked by what appeared 50
was attacked by wild animals 46
was attacked on many grounds 51
was attacked on other grounds 45
was attacked on these grounds 50
was attempting to free herself 43
was attempting to free himself 68
was attempting to gain control 289
was attempting to gain support 72
was attempting to hold together 45
was attempting to make contact 110
was attempting to make himself 154
was attempting to take control 103
was attended by five hundred 445
was attended by five members 64
was attended by five thousand 140
was attended by four hundred 303
was attended by four thousand 128
was attended by great numbers 226
was attended by great success 55
was attended by great suffering 41
was attended by leading members 65
was attended by many bishops 47
was attended by many eminent 117
was attended by many foreign 144
was attended by many friends 171
was attended by many members 269
was attended by many notable 49
was attended by many persons 142
was attended by many princes 42
was attended by nine hundred 40
was attended by nine members 68
was attended by some equally 74
was attended by some fifteen 95
was attended by some members 58
was attended by some seventy 147
was attended by such company 49
was attended by such peculiar 71
was attended by three bishops 46
was attended by three hundred 578
was attended by three members 41
was attended by three thousand 249
was awakened by john derrick 52
was awakened by such dreadful 57
was awakened by what sounded 263
was baptized at holy trinity 68
was baptized in holy trinity 98
was beatified by pope clement 99
was beatified by pope gregory 69
was believed by many persons 365
was believed by some persons 82
was believed by such theorists 46
was believed by these persons 40
was believed in some circles 111
was believed to cure diseases 44
was believed to have adopted 53
was believed to have advised 65
was believed to have allowed 44
was believed to have amassed 83
was believed to have appeared 260
was believed to have arranged 80
was believed to have arrived 133
was believed to have assumed 46
was believed to have belonged 181
was believed to have brought 956
was believed to have carried 484
was believed to have certain 81
was believed to have control 45
was believed to have covered 51
was believed to have crashed 73
was believed to have crossed 82
was believed to have defeated 40
was believed to have derived 160
was believed to have designs 70
was believed to have dropped 70
was believed to have drowned 112
was believed to have emerged 109
was believed to have enjoyed 51
was believed to have entered 292
was believed to have escaped 230
was believed to have evolved 59
was believed to have existed 547
was believed to have expired 72
was believed to have fathered 55
was believed to have favored 53
was believed to have founded 211
was believed to have imbibed 45
was believed to have incited 55
was believed to have magical 406
was believed to have married 97
was believed to have offered 69
was believed to have opposed 52
was believed to have ordered 131
was believed to have painted 49
was believed to have planned 55
was believed to have planted 50
was believed to have preached 59
was believed to have reduced 69
was believed to have refused 57
was believed to have reigned 94
was believed to have removed 50
was believed to have resided 74
was believed to have revealed 95
was believed to have secured 94
was believed to have seduced 96
was believed to have settled 133
was believed to have several 57
was believed to have slipped 60
was believed to have started 303
was believed to have stopped 62
was believed to have strongly 95
was believed to have studied 55
was believed to have uttered 47
was believed to have visited 145
was believed to have weakened 45
was believed to have written 436
was believed to have wrought 99
was bemoaned in these following 45
was bestowed by these ancient 52
was betrothed to jane seymour 86
was bordered by deep marshes 84
was bottomed on some remains 115
was captured by great britain 59
was captured by three british 41
was captured by union cavalry 131
was commonly in full uniform 57
was compiled in such leisure 69
was composed by some unknown 58
was composed by their prophet 42
was composed by three hundred 41
was composed of five hundred 477
was composed of five members 1507
was composed of five persons 170
was composed of five sections 70
was composed of five thousand 103
was composed of four benches 46
was composed of four classes 75
was composed of four estates 57
was composed of four hundred 377
was composed of four letters 48
was composed of four members 565
was composed of four persons 159
was composed of four sections 171
was composed of four thousand 107
was composed of good material 51
was composed of heavy timbers 60
was composed of leading members 55
was composed of many diverse 81
was composed of many members 46
was composed of many persons 42
was composed of many smaller 137
was composed of much smaller 42
was composed of nine members 757
was composed of nine persons 85
was composed of nine thousand 41
was composed of some fifteen 64
was composed of some seventy 44
was composed of some unknown 40
was composed of such diverse 68
was composed of such fabrics 51
was composed of such persons 134
was composed of those members 112
was composed of those persons 76
was composed of three bishops 42
was composed of three brothers 40
was composed of three buildings 69
was composed of three classes 427
was composed of three courses 53
was composed of three estates 107
was composed of three factions 49
was composed of three factors 59
was composed of three general 45
was composed of three hundred 774
was composed of three members 1113
was composed of three parties 42
was composed of three persons 242
was composed of three portions 59
was composed of three sections 289
was composed of three strands 47
was composed of three thousand 335
was composed of three vessels 60
was composed of very diverse 56
was computed at five hundred 61
was computed at five thousand 67
was computed at four hundred 107
was computed at four millions 80
was computed at three hundred 95
was computed at three thousand 78
was computed by adding together 123
was conceded by great britain 69
was conceded to great britain 75
was confided the great affairs 43
was confined to great britain 296
was confined to north america 90
was confined to only certain 45
was confined to south america 59
was confined to such matters 62
was confined to such persons 47
was confused to find himself 48
was conscious of having behaved 46
was conscious of having brought 108
was conscious of having entered 42
was conscious of having gathered 43
was conscious of having injured 149
was conscious of having merited 91
was conscious of having preached 60
was conscious of some unworthy 76
was conscious of their superior 78
was consumed in great britain 74
was consumed of those buildings 40
was contingent on their ability 52
was continuing to grow rapidly 67
was continuing to move forward 48
was contrary to their beliefs 85
was contrary to their customs 55
was contrary to their religion 286
was contriving to make himself 54
was credited to their account 93
was credited to your account 118
was critical of many aspects 287
was critical of other aspects 46
was critical of some aspects 290
was critical to their ability 93
was critical to their success 286
was culpable in their conduct 96
was deceived by these popular 69
was declared by great britain 416
was declared on great britain 91
was declared the duly elected 51
was declared the only official 179
was declared the sole official 101
was declared to have arrived 58
was declared to have brought 105
was declared to have existed 43
was declared to have imbibed 46
was declined by great britain 86
was defended by able counsel 101
was defended by five hundred 129
was defended by five thousand 42
was defended by four hundred 117
was defended by four thousand 149
was defended by some persons 48
was defended by three hundred 175
was defended by three thousand 137
was demanded by great britain 73
was deployed to south vietnam 51
was deported to west germany 43
was designed by hans holbein 44
was designed by john russell 219
was designed in three sections 64
was designed to draw together 50
was designed to gain control 50
was designed to gain insight 108
was designed to give congress 90
was designed to give germany 55
was designed to give maximum 232
was designed to give parents 58
was designed to give pleasure 59
was designed to give support 48
was designed to give teachers 46
was designed to give workers 53
was designed to have maximum 49
was designed to help achieve 50
was designed to help clarify 43
was designed to help control 44
was designed to help correct 44
was designed to help develop 101
was designed to help explain 40
was designed to help farmers 81
was designed to help finance 49
was designed to help improve 88
was designed to help members 59
was designed to help parents 160
was designed to help prepare 54
was designed to help prevent 158
was designed to help protect 54
was designed to help provide 77
was designed to help restore 50
was designed to help schools 58
was designed to help teachers 269
was designed to help workers 82
was designed to keep america 43
was designed to keep truthful 59
was designed to last forever 53
was designed to make certain 125
was designed to make germany 81
was designed to make lighter 50
was designed to make maximum 95
was designed to meet certain 150
was designed to meet several 102
was designed to more closely 47
was designed to pull together 65
was designed to seek answers 42
was designed to take account 313
was designed to take maximum 49
was designed to test certain 82
was designed to test several 89
was designed to vary linearly 62
was designed to work against 64
was desirous of making himself 67
was desirous to make himself 190
was desirous to show himself 83
was desirous to wash herself 54
was destined to fail because 740
was destined to find himself 215
was destined to grow rapidly 95
was destined to grow steadily 82
was destined to grow stronger 45
was destined to have results 85
was destined to last forever 82
was destined to live forever 88
was destined to lure reforming 41
was destined to make himself 80
was destined to make history 319
was destined to make trouble 56
was destined to move forward 108
was destined to work wonders 41
was detached to take command 55
was detailed in their sermons 52
was detailed to take command 70
was detected in many sallies 76
was detected in some samples 50
was detected in these samples 79
was detected in these studies 43
was developing in great britain 41
was developing in north america 46
was devoured by wild animals 46
was diagnosed as having anorexia 73
was diagnosed as having bipolar 153
was diagnosed as having chronic 230
was diagnosed as having diabetes 249
was diagnosed as having dyslexia 48
was diagnosed as having hodgkin 116
was diagnosed as having leukemia 540
was diagnosed as having organic 46
was diagnosed as having primary 55
was diagnosed as having stomach 70
was dictated by other factors 45
was dictated by other motives 53
was directed as much against 1459
was directed as much towards 79
was directed as well against 75
was directed at great britain 45
was directed by john gielgud 54
was directed by mike nichols 120
was directed by otto preminger 70
was directed in part against 282
was directed no less against 63
was directed to come forward 43
was directed to give priority 40
was directed to hold himself 176
was directed to join general 115
was directed to make inquiry 139
was directed to move against 133
was directed to move forward 208
was directed to move towards 101
was directed to other matters 91
was directed to other objects 97
was directed to push forward 365
was directed to send forward 54
was directed to send general 151
was directed to take command 546
was directed to take measures 125
was directed to take position 260
was directed to these matters 54
was discussing the same subject 51
was disliked by some members 72
was dismayed to find herself 207
was dismayed to find himself 278
was disposed in three columns 55
was disposed to give himself 48
was disposed to have carried 75
was disposed to live peaceably 40
was disposed to look askance 50
was disposed to make himself 196
was disposed to throw herself 55
was disputed by great britain 79
was disputed by three caliphs 101
was diverted to other matters 147
was diverted to other objects 72
was dominant in north america 42
was educated at city college 231
was educated at eton college 711
was educated at hull grammar 69
was educated at knox college 186
was educated at perth academy 74
was educated at reed college 84
was educated at smith academy 46
was educated at smith college 169
was educated at union college 473
was educated at west virginia 57
was educated at yale college 1338
was educated in great britain 114
was educated in yale college 53
was educated in your country 99
was effected by bringing together 47
was effected by five hundred 93
was effected on such exchange 214
was embraced by some eminent 110
was employed by great britain 51
was employed by pope gregory 69
was employed in making designs 47
was employed in making surveys 44
was employed in taking soundings 72
was employed in their service 52
was employed in these matters 79
was employed in these studies 179
was employed to good purpose 46
was employed to make surveys 47
was enclosed in three coffins 92
was endeavoring to form hostile 41
was endeavoring to make himself 60
was endeavoring to throw himself 40
was engrossed in other matters 49
was enhanced by their ability 69
was enlarged by more liberal 51
was enlarged to five members 93
was enlarged to nine members 69
was enriched by these imposts 69
was entirely at their devotion 81
was entirely at their service 74
was entirely at your service 45
was entirely on your account 83
was entitled to call herself 68
was entitled to call himself 610
was entitled to come forward 53
was entitled to four hundred 41
was entitled to free medical 120
was entitled to free passage 42
was entitled to full payment 74
was entitled to give himself 50
was entitled to great respect 208
was entitled to have counsel 157
was entitled to help himself 47
was entitled to know everything 65
was entitled to lost profits 133
was entitled to more respect 118
was entitled to much respect 136
was entitled to only nominal 58
was entitled to some damages 67
was entitled to some privacy 59
was entitled to some respect 66
was entitled to such damages 58
was entitled to take account 127
was entitled to take judicial 92
was entitled to take measures 76
was entitled to their custody 48
was entitled to their respect 52
was entitled to their support 119
was entitled to their verdict 133
was entitled to these praises 87
was entitled to these remains 55
was entitled to three hundred 44
was entitled to three members 52
was escorted by three hundred 64
was essential to great britain 62
was essential to know exactly 41
was essential to make certain 47
was essential to take account 57
was essential to their ability 67
was essential to their freedom 57
was essential to their national 47
was essential to their purpose 52
was essential to their success 572
was essential to their welfare 113
was essential to those ancient 69
was esteemed an able captain 54
was esteemed the best engineer 92
was esteemed the best preacher 77
was esteemed the most glorious 54
was esteemed the most healthful 135
was esteemed the most perfect 62
was esteemed the most precious 77
was esteemed the most promising 60
was esteemed the most skilful 42
was esteemed the most strongly 86
was examined by many persons 77
was examined by three doctors 61
was examined in three studies 45
was expanded to also include 73
was expanded to nine members 48
was expanded to three volumes 49
was expected to burn herself 42
was expected to come forward 58
was expected to cost between 90
was expected to drop everything 42
was expected to give priority 41
was expected to grow rapidly 222
was expected to have arrived 55
was expected to have claimed 72
was expected to have general 41
was expected to have several 73
was expected to have similar 44
was expected to have studied 42
