war countries 51 war barbarous 269
was somewhere 64 was invisible 103
was mysterious 133 was opposition 41
was concerned 100 was difficult 89
was fortunate 52 was important 82
was reluctant 58 was disturbed 117
was impressed 52 was neglected 61
was opposition 54 was surprised 553
was temporary 64 was hesitation 129
was opposition 123 was different 52
was difficult 427 was diffident 48
was frightful 83 was generally 42
was imperfect 88 was indignant 134
was naturally 42 was obstinate 126
was reasonable 43 was reluctant 291
was skeptical 48 was suspicious 103
was uncertain 52 was unpopular 142
was important 44 was difficult 129
was irritable 47 was california 43
was liverpool 57 was difficult 51
was important 77 was possession 69
was associated 49 was necessary 55
was abandoned 49 was associated 48
was completed 42 was concerned 71
was dependent 288 was destroyed 111
was developed 67 was generated 42
was justified 116 was motivated 283
was preserved 49 was supported 95
was agreement 67 was yesterday 87
was difficult 88 was important 87
was different 127 was difficult 77
was dignified 55 was effective 67
was important 125 was necessary 50
was effective 85 was necessary 97
was nominally 65 was necessary 170
was available 64 was concerned 125
was primarily 63 was medication 47
was exclusive 52 was effective 40
was important 190 was cultivating 44
was gentlemen 44 was considering 44
was masterful 89 was prevalent 42
was generally 42 was blockaded 147
was necessary 55 was organized 53
was published 1042 was presented 59
was conquered 58 was conception 116
was enunciation 52 was exposition 50
was expression 92 was indication 772
was intimation 80 was statement 302
was developed 53 was conducted 46
was delivered 46 was organized 50
was performed 51 was published 186
was professor 47 was statement 65
was collection 90 was adventure 54
was affliction 52 was architect 89
was ascendant 90 was collector 46
was commercial 41 was conqueror 49
was discovery 73 was encounter 47
was englishman 65 was expression 53
was industrial 52 was influence 67
was missionary 154 was organizer 51
was political 382 was practical 62
was principle 70 was proponent 42
was revolution 102 was scientist 80
was statement 44 was statesman 116
was commission 50 was insurance 84
was broadcast 42 was baltimore 45
was political 55 was production 44
was important 57 was expression 45
was indication 65 was performed 104
was presented 58 was broadcast 110
was telescope 47 was excavated 46
was necessary 181 was agreement 266
was collection 73 was commission 65
was convention 42 was exhibition 44
was institute 45 was invitation 56
was statement 70 was structure 119
was undertaking 100 was americans 151
was charlotte 68 was churchill 40
was parliament 61 was president 54
was roosevelt 43 was television 57
was gentleman 138 was successor 42
was developed 49 was president 1669
was performed 40 was published 269
was important 307 was freighted 103
was overlooking 42 was alexander 63
was commission 45 was political 64
was admonition 60 was president 386
was president 52 was important 65
was yesterday 57 was traceries 47
was themselves 49 was conditions 52
was champlain 42 was contracts 55
was possession 169 was influence 202
was influence 41 was influence 50
was influence 60 was countries 43
was miserable 46 was exclusive 64
was alexandria 42 was difficult 383
was effective 118 was important 239
was difficult 65 was effective 62
was important 77 was temporary 108
was different 128 was difficult 217
was effective 71 was important 383
was standards 137 was newcastle 66
was interests 46 was shoulders 64
way trackless 1053 way knowledge 48
way predicted 70 way prevented 113
way advantage 47 way described 109
way preferred 187 way americans 52
way collection 63 way christians 60
way expression 55 way scripture 126
way confronts 84 way insurance 55
way organisms 370 way salisbury 57
