war against deer and bear 99
war against iraq and its 84
war against iraq did not 57
war against iraq was not 139
war against those who are 217
war against those who did 74
war against those who had 347
war against those who put 57
war between arab and jew 68
war between good and bad 82
war between good men and 42
war between heart and head 94
war between john and his 160
war between life and death 198
war between rome and her 226
war between their own and 44
war between those who are 91
war between those who had 51
war between those who say 107
war between west and east 505
war between young and old 56
war carried into her own 63
war strayed from his era 43
was accused unto him that 1205
was adapted from one that 58
was admired here for its 62
was admired more for his 97
was adopted when she was 371
was advancing upon him with 189
was advancing upon his rear 57
was advancing upon them with 82
was against laud and his 42
was against these men that 104
was against those who had 93
was alarmed when she saw 213
was alighting from his car 64
was allowed more than one 583
was allowed more than two 238
was allowed only one day 75
was annoyed when she saw 43
was annoyed when they did 42
was anybody angry with her 69
was anybody like her for 44
was aroused from his bed 235
was arranged among them that 99
was arranged there and then 54
was arranged when she was 98
was arrived there with his 70
was assumed from this that 103
was assured there was not 65
was awaited during that and 57
was awakening from its long 111
was awarded back pay and 73
was awarded back pay for 51
was because some one had 42
was because there did not 51
was because there had not 106
was because there was not 1328
was because there was one 207
was because there was then 41
was because there was this 62
was because there was too 254
was because these men had 70
was because those who had 106
was because when she was 90
was beloved among his own 69
was between five and six 7001
was between five and ten 1007
was between four and six 784
was between four and ten 61
was between high and low 57
was between hope and fear 83
was between jobs and had 43
was between life and death 555
was between nine and ten 3655
was between noon and one 97
was between these two men 221
was between these two that 143
was between those that had 47
was between those who did 71
was between those who had 430
was between those who saw 167
was between three and six 270
was between three and ten 56
was between zero and one 65
was betwixt five and six 64
was blindly making his way 47
was bluntly told that his 71
was bridged over with ice 65
was brought along with him 41
was brought away with him 57
was brought back and put 195
was brought back and was 70
was brought back and with 47
was brought back for his 45
was brought back for that 47
was brought back with his 92
was brought down and got 47
was brought down and put 55
was brought forth and read 57
was brought forth and set 47
was brought forth can not 44
was brought from far and 43
was brought from his bed 98
was brought from his own 43
was brought here and put 46
was brought home and put 136
was brought home one day 92
was brought home was cut 76
was brought home with his 293
was brought into being and 697
was brought into being for 508
was brought into being not 98
was brought into being out 78
was brought into being that 57
was brought into being was 77
was brought into being with 388
was brought into use and 306
was brought into use for 521
was brought into use with 60
was brought more than one 229
was brought more than six 63
was brought more than two 82
was brought over for them 49
was brought unto him one 1051
was brought unto him who 54
was brought very low and 63
was brought very low with 59
was brushed back off his 63
was captain hart who had 50
was carried along with her 128
was carried along with him 172
was carried along with them 207
was carried away and set 48
was carried away and she 53
was carried away and was 44
was carried away too far 48
was carried away with all 56
was carried away with her 220
was carried away with his 439
was carried away with its 52
was carried away with joy 86
was carried away with them 126
was carried away with this 56
was carried down and put 40
was carried from her bed 59
was carried from his bed 137
was carried from his own 64
was carried from off our 141
was carried from one end 115
was carried home and put 154
was carried home for dead 98
was carried home with six 48
was carried into all his 43
was carried into his own 94
was carried more than two 51
was carried much too far 213
was carried over his head 116
was certain from his own 50
was certain only that she 47
was certain sure for all 103
was certain there was going 76
was certain there was not 298
was certain there was one 67
was certain these men had 45
was charged upon him that 83
was charged upon oath with 69
was chiefly busy that day 50
