walk barefoot over burning coals 57
were actually sent thither under 70
were admitted upon equal footing 51
were cherishing very large hopes 55
were clenched into tight fists 276
were commuted into money rents 50
were creatures from outer space 40
were detained till after eight 50
were excluded from craft unions 48
were excluded from every trust 68
were exempted from local taxes 45
were expelled from saudi arabia 105
were expelled from spain after 49
were initiated into kappa delta 69
were isolated from human blood 48
were isolated from whole blood 108
were obtained from monte carlo 64
were operated upon under local 59
were prepared from cells grown 121
were probably only dimly aware 64
were received from every state 52
were scarcely ever found under 88
were visitors from outer space 64
what actually took place after 52
what actually took place later 51
what actually took place within 70
what business have paper money 66
what children know about writing 108
what everyone else thinks about 148
what happened last night after 103
what happened last night would 45
what happened some weeks since 47
what passages have taken place 42
what somebody else thinks about 52
when arkansas best still hoped 50
when chemical union takes place 49
when children were asked about 62
when disputes have never sprung 52
when eighteen great dutch ships 102
when memories were still fresh 127
when positive laws first began 122
when questions were asked about 340
when reginald says anything amusing 93
when students were asked about 104
when subjects were asked about 57
whom corrupting gold would tempt 45
whom frederic ever really loved 100
will consider more fully later 53
will consider only cases where 51
will describe more fully below 48
will describe more fully later 245
will hereafter more fully appear 237
will normally take place within 82
will probably have taken place 214
will probably leave ample scope 53
will probably take place about 88
will probably take place after 99
will probably take place within 285
will scarcely rise above fifty 129
will therefore take place under 45
word hologram from greek roots 60
worth anywhere from fifty cents 93
