we adopt does not result 123
we agree that they should 105
we agree that you should 86
we agree with one another 114
we agree with our fellow 43
we agree with this opinion 48
we allow for this second 40
we alter our real nature 70
we argue that one should 47
we argue that they should 120
we argue with one another 46
we asked him his opinion 47
we blame them for laughing 55
we bless them for choosing 52
we bored our way through 53
we broke our way through 185
we built our own little 48
we cared for any meadows 283
we cared for one another 116
we carry out our duties 96
we carry out our mission 86
we change our eating habits 44
we claim for our polity 82
we claim that our mission 70
we could all sit around 83
we could but ill afford 58
we could dry our clothes 64
we could for one moment 42
we could get any farther 48
we could get any further 91
we could get any number 89
we could get but little 525
we could get far enough 256
we could get near enough 725
we could get off without 40
we could get our clothes 50
we could get our horses 126
we could get out through 44
we could get out without 87
we could get them across 119
we could get them through 58
we could hang our clothes 41
we could hear her screaming 65
we could hear her through 40
we could hear him better 81
we could hear him crashing 43
we could hear him laughing 66
we could hear him screaming 71
we could hear him shouting 203
we could hear one another 143
we could hear our breathings 66
we could hear them before 46
we could hear them cheering 54
we could hear them clearly 64
we could hear them crashing 77
we could hear them giggling 50
we could hear them laughing 191
we could hear them screaming 180
we could hear them shouting 221
we could hear them strike 55
we could hear them through 45
we could lay our course 98
we could not act without 54
we could not and should 345
we could not but accept 67
we could not but admire 983
we could not but become 46
we could not but desire 56
we could not but esteem 176
we could not but expect 232
we could not but grieve 48
we could not but lament 371
we could not but listen 50
we could not but notice 388
we could not but recall 117
we could not but regard 584
we could not but regret 554
we could not but remark 620
we could not but wonder 898
we could not buy enough 100
we could not cut through 93
we could not earn enough 143
we could not get aboard 156
we could not get access 129
we could not get across 516
we could not get another 342
we could not get anyone 416
we could not get around 497
we could not get ashore 220
we could not get before 47
we could not get behind 92
we could not get better 136
we could not get beyond 568
we could not get bottom 76
we could not get closer 198
we could not get credit 45
we could not get enough 3448
we could not get farther 61
we could not get further 153
we could not get horses 126
we could not get inside 437
we could not get mutton 66
we could not get proper 46
we could not get pupils 55
we could not get served 45
we could not get something 105
we could not get through 5000
we could not get without 70
we could not hang around 123
we could not let anyone 70
we could not long endure 171
we could not long remain 122
we could not now afford 89
we could not say openly 63
we could not say whether 366
we could not say without 47
we could not see across 498
we could not see another 49
we could not see anyone 267
we could not see around 112
we could not see before 1079
we could not see behind 90
we could not see beyond 838
we could not see bottom 45
we could not see clearly 268
we could not see enough 132
we could not see farther 74
we could not see further 43
we could not see inside 328
we could not see starve 159
we could not see through 1168
we could not see twenty 278
we could not see whether 371
we could not see whither 44
we could not see without 293
we could not sit around 74
