wall blacks 63 warm terror 93
wars france 385 wars prussia 41
wars martial 71 wars prussia 61
wars turkey 48 wars france 3077
wars french 44 wars austria 245
wars england 2557 wars english 174
wars turkey 53 wars whites 53
wars sweden 53 wars austria 178
wars poland 106 wars nations 40
wars greece 44 wars indians 48
wars england 63 wealth whites 111
wearing carrying 129 well clothes 47
went twelve 40 went showed 50
were deeper 121 were farther 40
were plates 118 were through 55
were whites 114 were medals 183
were whites 53 were ninety 240
were twelve 85 were twenty 49
were twenty 163 were twenty 618
were notice 47 were closer 268
were bounds 46 were farther 71
were further 53 were houses 171
were behind 73 were alfred 50
were scotch 98 were through 162
were oranges 49 were through 47
were deeper 75 were sphere 167
were myself 180 were turgid 50
were active 50 were driven 43
were became 60 were another 77
were ironed 44 were another 82
were houses 43 were reached 113
were common 42 were filled 55
were through 874 were closer 46
were harder 140 were dollar 59
were spoils 74 were through 391
were through 47 were adopting 79
were choosing 263 were chairs 55
were groups 65 were groups 45
were reached 121 were another 59
were twenty 59 were driven 107
were better 81 were farther 57
were should 180 were another 63
were thought 176 what spades 86
what called 231 what should 40
what sidney 46 what called 56
what called 41 what bodies 62
what twenty 48 what called 56
what should 65 what little 152
what curious 154 what lowering 85
what should 46 when cannon 92
when ninety 56 when twelve 41
when judges 99 when reached 45
when alfred 53 when called 56
when whites 44 when seemed 45
when spreads 50 when troops 217
when failed 157 when brother 52
when should 53 when events 71
when joined 42 when entire 43
when little 45 whom warned 66
whom failed 98 whom regaling 58
width strand 52 will greater 57
will demand 174 will demand 43
will adducing 57 will assuring 58
will merely 138 will noticing 119
will offering 110 will pointing 371
will relating 128 will repeating 80
will simply 92 will stands 45
will should 43 will kingdoms 50
will warily 43 will warily 43
will openly 159 will reduce 74
will faster 58 will reduce 56
will another 55 will future 46
will greater 56 will better 98
will losses 47 will reaches 54
will honors 48 will demand 107
will greater 84 will higher 46
will larger 111 will myself 44
wire rubber 41 wore winter 49
wore shingled 70 work common 45
work neither 71 worth ninety 41
