we act towards each other 56
we add together all these 108
we all believe that bats 67
we all believe that some 51
we all believe that there 231
we all enjoyed each other 66
we all fancied they were 67
we all greeted each other 61
we all laughed and said 112
we all laughed and were 108
we all laughed our fill 66
we all laughed our heads 43
we all laughed out loud 146
we all mistake this pious 43
we all mounted and rode 63
we all mounted and went 54
we all profess this form 50
we all realized that there 79
we all respect and love 279
we all respect each other 129
we all resumed our seats 51
we all started for home 83
we all support each other 71
we all trooped out into 80
we all trusted each other 89
we are achieving our goal 42
we are admitting that there 53
we are advancing and making 55
we are advised that some 46
we are advised that there 66
we are against each other 46
we are against war more 45
we are asserting that some 63
we are asserting that there 118
we are assured not only 109
we are assured that among 46
we are assured that even 320
we are assured that from 62
we are assured that many 131
we are assured that none 78
we are assured that nothing 133
we are assured that only 124
we are assured that some 120
we are assured that such 586
we are assured that their 124
we are assured that there 1246
we are assured that these 425
we are assured that those 153
we are assured that what 142
we are assured that when 218
we are assured that your 142
we are assured they have 70
we are assured they were 54
we are assured they will 280
we are assured you will 92
we are attaching too much 55
we are awkward for want 76
we are because they have 47
we are beginning with what 54
we are blessed with good 100
we are blessed with health 159
we are blessed with many 104
we are blessed with more 391
we are blessed with peace 47
we are blessed with some 63
we are blessed with such 106
we are blinded that live 54
we are capable not only 161
we are carried off into 46
we are certain all will 47
we are certain not only 46
we are certain that many 196
we are certain that most 145
we are certain that much 88
we are certain that nothing 127
we are certain that only 41
we are certain that other 41
we are certain that some 253
we are certain that such 402
we are certain that their 149
we are certain that there 1111
we are certain that these 305
we are certain that those 102
we are certain that what 156
we are certain that when 90
we are certain that your 76
we are certain they have 43
we are certain they were 67
we are certain they will 195
we are certain you will 284
we are charged with having 186
we are charged with making 62
we are charmed with such 67
we are charmed with your 78
we are comparing two sets 54
we are competing with other 62
we are consuming too much 129
we are content that such 50
we are content with elba 91
we are content with having 85
we are content with less 107
we are content with only 88
we are content with such 89
we are content with taking 70
we are content with what 645
we are covered with rags 381
we are defeated this time 80
we are demanding too much 201
we are depending too much 49
we are divided all will 77
we are educating too many 90
we are enabled not only 289
we are endowed with free 82
we are endowed with hearing 46
we are endowed with some 48
we are endowed with such 164
we are equally far from 204
we are examining has been 45
we are executing any work 56
we are expecting too much 798
we are faithful and true 89
we are familiar are those 60
