wage law of that state 48
wait but no one shows 189
wait for it any longer 251
wait for me any longer 371
wait for me out front 49
wait for me six months 48
wait for me this evening 65
wait for me this morning 103
wait for the bad weather 45
wait for the big event 113
wait for the bus which 45
wait for the day after 75
wait for the day which 40
wait for the dry season 273
wait for the hot water 194
wait for the new season 92
wait for the old woman 246
wait for the rear guard 48
wait for the red cross 89
wait for the red light 290
wait for the sun again 61
wait for the tow truck 477
wait for the van which 48
wait for us any longer 99
wait one or two hours 70
wait one or two months 100
wait one or two weeks 93
wait one to two hours 70
wait one to two months 42
wait one to two weeks 85
wait out the bad times 110
wait out the bad weather 104
wait out the long night 67
wait out the two weeks 48
wake her if you asked 97
wake out of his sleep 84
wake you in two hours 58
wake you up this morning 179
waking out of her sleep 40
waking out of his sleep 86
waking with the sun shining 54
waking you up and scaring 121
walk all the way round 785
walk and do not faint 178
walk and eat and breathe 197
walk and eat and sleep 64
walk for an old woman 41
walk off the job until 40
walk one or two hours 43
walk one or two miles 176
walk out of her house 342
walk out of his front 137
walk out of his house 890
walk out of its frame 197
walk out of our house 127
walk out of our lives 242
walk out of that house 291
walk out of that meeting 60
walk out of that place 251
walk out of that store 113
walk out of this court 44
walk out of this hotel 146
walk out of this house 1977
walk out of this meeting 47
walk out of this place 1443
walk out of this world 120
walk out on her again 55
walk out on him again 145
walk out on that field 43
walk out on that stage 223
walk out on you again 46
walk out to his place 115
walk that he had taken 108
walk that he may please 53
walk with an old horse 368
walk with me for hours 128
walk with me this evening 148
walk with me this morning 218
walk with my arm about 64
walk with my head erect 46
wall all the way round 228
wall and in old stone 50
wall that he had built 85
wall that is being built 61
wall that no one could 83
wall was of cut stone 72
wall with an air space 188
wall with my own hands 47
want all of our people 64
want all of you people 65
want and do not bother 58
want and do not worry 117
want and is not really 167
want any of her money 66
want any of his money 275
want any of his people 58
want any of our people 132
want any of that money 46
want any of that stuff 273
want any of them getting 91
want any of this getting 44
want any of this stuff 233
want any of you getting 89
want any of you people 51
want any thing that might 66
want but do not really 81
want her at any price 61
want her in his house 116
want her in this house 61
want her to ask about 45
want her to die alone 88
want her to get mixed 57
want her to get upset 208
want her to hear about 171
want her to hear anything 44
want her to say anything 321
want her to see anything 50
want her to see where 68
want her to wear weeds 54
want him at any price 139
want him in her house 146
want him in his house 41
want him in one piece 45
want him in our house 46
want him in this house 95
want him to die alone 181
want him to get drunk 44
want him to get mixed 73
want him to get stuck 42
want him to get tired 46
want him to get upset 193
want him to hear about 193
want him to hear anything 68
want him to lie awake 67
want him to read about 72
want him to run again 74
want him to say anything 366
want him to see anything 59
want him to see where 132
want him to try again 47
want his or her child 120
want not to get worse 51
want one of our people 48
want out of his grace 157
want out of our lives 72
want out of this place 226
want out of this world 115
want them at any price 101
want them in her house 67
want them in his house 44
want them to get dirty 40
want them to get upset 47
want them to hear about 181
want them to hear anything 47
want them to read about 103
want them to run after 41
want them to say about 381
want them to say anything 120
want them to see where 129
want things to get worse 74
want war at any price 73
want with an old woman 215
