wag at solemnly while they 46
war by penances which are 40
war of attrition rather than 138
war of attrition which had 77
war of attrition which they 54
war of attrition which was 85
war of conquest which had 43
war of conquest which was 48
war of movement rather than 58
war of secession broke out 124
war the american people had 99
was an absentee owner who 54
was an absolute proof that 94
was an absolute ruler and 89
was an absolute ruler who 89
was an absolute ruler with 46
was an academic rather than 102
was an accepted dogma that 45
was an accepted maxim that 192
was an accident after all 160
was an accident arising out 223
was an accident looking for 65
was an accident rather than 210
was an accident which did 55
was an accident which had 92
was an accident which was 46
was an acquired rather than 67
was an acquired taste and 66
was an acquired taste for 63
was an activity which had 56
was an activity which was 183
was an adequate basis for 631
was an adequate cause for 129
was an adequate reason for 217
was an adoration which they 67
was an advisory rather than 53
was an advocate rather than 119
was an agnostic rather than 52
was an agreeable change for 117
was an almighty crash and 83
was an ambitious ruler and 93
was an ambitious ruler who 74
was an ambitious woman and 156
was an ambitious woman who 142
was an american actor who 84
was an american agent who 45
was an american author and 342
was an american author who 267
was an american civil war 140
was an american first and 110
was an american indian and 96
was an american indian who 91
was an american negro who 59
was an american pilot who 72
was an american rather than 98
was an american woman and 48
was an american woman who 326
was an american woman with 44
was an approach which had 44
was an approach which was 130
was an argument about how 76
was an argument about who 75
was an argument which had 137
was an argument which our 52
was an argument which they 50
was an argument which was 309
was an artistic rather than 80
was an assembly place for 42
was an assembly point for 155
was an assertion rather than 40
was an attitude rather than 109
was an attitude which did 41
was an attitude which had 110
was an attitude which was 292
was an authority about him 42
was an authority which had 43
was an authority which was 48
was an avocation rather than 102
was an eagerness about him 42
was an eclectic rather than 47
was an economic basis for 120
was an economic rather than 223
was an economic reason for 145
was an ecstatic smile that 50
was an educated woman and 254
was an educated woman who 347
was an educated woman with 109
was an education which was 58
was an electric shock that 44
was an elegance about her 63
was an elegance about him 51
was an eloquent appeal for 179
was an emotional appeal for 45
was an emotional event for 93
was an emotional issue for 110
was an emotional issue that 118
was an emotional meeting for 49
was an emotional night for 40
was an emotional rather than 202
was an emotional wreck and 127
was an employee rather than 188
was an enchanting region for 82
was an enormous asset for 50
was an enormous black bear 48
was an enormous black man 66
was an enormous boost for 82
was an enormous change for 65
was an enormous place with 42
was an enormous price for 109
was an enormous shock for 45
was an enormous woman who 56
was an enormous woman with 58
was an enthusiast about his 55
was an entirely false one 105
was an entirely happy one 92
was an entirely novel and 60
was an entirely novel idea 79
was an entirely novel one 270
was an envelope waiting for 69
was an essential basis for 237
was an essential point for 57
was an essential reason for 84
was an essential skill for 200
was an eventful period for 71
was an evolution rather than 108
was an exception rather than 1036
was an extension rather than 59
was an external force that 41
was an historian rather than 52
was an historic event and 70
was an historic event for 85
was an historic event that 98
was an ignorant woman who 51
was an immediate cause for 75
