wage earners into higher tax 99
walk through fire without being 87
walk through life beside him 132
walk through life without this 139
walk through their fields and 101
want should ever assail you 94
want something more exciting than 73
ware dulled their scalping and 51
warm cooked food before him 44
wave slopes vary little with 57
week passed away without any 51
well enough have passed for 96
well plates were coated with 88
well shaken down before they 104
went behind some bushes and 58
went beyond high school and 49
went further into nature than 160
went through high school and 597
went through high school with 333
went through high street and 55
went through many changes and 240
went through many drafts and 75
went through many perils with 47
went through many phases and 41
went through many stages and 91
went through many twists and 46
were absent from school and 57
were absent from school for 178
were almost four inches long 41
were almost like brother and 138
were already much higher than 101
were already there before them 41
were always coming around and 40
were always free enough with 44
were always good enough for 82
were always good reasons for 74
were always good reasons why 43
were always hanging around her 44
were always just beyond his 42
were always just escaping its 61
were always kept bright and 78
were always kept closed and 44
were always more clumsy and 64
were always more likely than 54
were always more severe than 42
were always most cordial and 57
were always much better than 60
were always much greater than 96
were always much higher than 174
were always much larger than 81
were always some elders who 97
were always very jealous and 72
were always very polite and 89
were always well filled with 72
were always well pleased with 41
were always well thought out 119
were always well turned out 95
were arriving from france and 99
were assuring their readers that 87
were awaiting their return with 41
were barely wide enough for 262
were barred from almost all 60
were barred from applying for 41
were barred from hotels and 46
were barred from oxford and 48
were barred like zebras with 60
were become more violent than 51
were becoming more active and 161
were becoming more common and 261
were becoming more mobile and 45
were becoming more serious and 99
were becoming more severe and 71
were becoming more stable and 51
were becoming more varied and 65
were becoming more violent and 80
were better left behind than 47
were better left unsaid and 45
were broken down before them 86
were broken into pieces and 195
were carrying more sticks and 88
were caught from behind and 40
were changed into holdings for 52
were changed into mortal foes 46
were chosen from amongst them 49
were coursing less freely than 74
were crawling upon plants that 123
were crossing their swords for 71
were deemed good enough for 77
were denied their rights and 76
were denied voting rights and 43
were draped over chairs and 44
were drinking their coffee and 117
were driven back before they 168
were driven forth headlong with 73
were driven from france and 55
were driven from office and 115
were eleven free states and 67
were enjoying their coffee and 51
were exempt from arrest for 44
were exempt from heresy and 133
were exempt from income tax 423
were exempt from normal tax 48
were fairly well agreed that 116
were fairly well clothed and 70
were fairly well filled with 56
were fairly well worked out 43
were formed from plants and 58
were formed into groups and 90
were formed much earlier than 50
were gathering over europe and 104
were gathering their forces and 59
were gathering their forces for 240
were gathering their strength for 202
were ground into powder and 234
were gunned down before they 41
were handed down orally and 127
were handed down orally for 202
were handed over without any 48
were hardly good enough for 47
were hardly less active than 48
were hardly less anxious that 64
were hardly less severe than 74
were hardly less violent than 64
were hardly more edifying than 59
were hardly more futile and 66
were hardly more likely than 73
were hardly more serious than 59
were hardly well alight yet 61
were hardly wide enough for 51
were herded into trucks and 120
were herded like cattle and 55
were higher among blacks than 42
were humped into ridges and 82
