wail over the miserable fate 101
wait till my character will 43
wait till the appointed hour 102
wait till the appointed time 73
wait till the impression your 80
wait till the railroads come 137
walk along the plastered wall 47
walk from the episcopal yard 40
walk into the emergency room 225
walk into the interview room 95
walk over the mountains from 45
wall into the eustachian tube 47
wall must be protected from 59
wall play an important role 118
wall when the fugitives were 62
want were the necessary goad 47
wash down the condenser tube 44
wash upon an irregular band 46
wave away the proffered hand 98
wave will be different from 63
wave will be reflected back 186
wave will be reflected from 221
ways were so different from 149
wears well in different ages 52
week when the disciples came 166
well able to appreciate their 63
well able to determine what 56
well ahead of departure time 87
well during the depression years 41
well form an important part 105
well have an advantage over 124
well have an important bearing 390
well have an important part 60
well have an important role 245
well have an influence upon 43
well into the afternoon when 515
well into the gigahertz range 125
well into the inelastic range 103
well into the megahertz range 123
well into the microwave range 42
well into the preschool years 112
well into the temperate zone 77
well past the appointed hour 55
well past the appointed time 46
well play an important part 491
well play an important role 1224
well worth an overnight stay 48
well worth the additional cost 424
well worth the additional time 86
well worth the occasional stab 45
went back to newspaper work 72
went down the staircase into 72
went down the staircase like 52
went down to periscope depth 113
went home to celebrate their 74
went into the blacksmith shop 199
went into the committee room 118
went into the emergency room 290
went into the forbidden room 45
went into the immutable land 55
went into the intensive care 184
went into the interview room 165
went into the operations room 59
went into the projection room 104
went into the telephone booth 209
went into the television room 98
went north to ellesmere land 50
went over the mountains from 43
went over the mountains into 127
went over the starboard side 76
went over the syllables three 75
wept tears of compassion upon 147
were able to accompany their 87
were able to advertise their 80
were able to appreciate more 44
were able to appreciate such 115
were able to appreciate their 151
were able to appreciate these 46
were able to appreciate what 130
were able to ascertain from 124
were able to ascertain their 46
were able to ascertain what 77
were able to attribute their 84
were able to broadcast their 42
were able to calculate from 75
were able to calculate their 98
were able to calculate these 43
were able to calculate what 77
were able to celebrate their 222
were able to construct more 49
were able to construct some 55
were able to construct such 102
were able to construct their 389
were able to correctly name 108
were able to correlate their 129
were able to correlate these 60
were able to cultivate their 277
were able to determine from 245
were able to determine just 51
were able to determine more 105
were able to determine only 157
were able to determine some 74
were able to determine their 435
were able to determine these 64
were able to determine what 478
were able to determine when 184
were able to discharge only 105
were able to discharge their 415
were able to distinguish among 281
were able to distinguish five 80
were able to distinguish four 166
were able to distinguish from 64
were able to distinguish more 43
were able to distinguish only 217
were able to distinguish some 58
were able to distinguish their 158
were able to distinguish these 123
were able to distinguish those 75
were able to distinguish three 316
were able to distinguish what 96
were able to diversify into 102
were able to diversify their 247
were able to duplicate their 50
were able to elaborate their 59
were able to eliminate many 68
were able to eliminate most 141
were able to eliminate much 43
were able to eliminate some 103
were able to eliminate their 123
were able to eliminate these 67
were able to embellish their 44
were able to emphasize their 40
were able to encourage their 60
were able to entertain more 40
were able to entertain their 78
were able to establish clear 52
were able to establish firm 43
were able to establish from 49
were able to establish good 142
were able to establish many 76
were able to establish more 446
were able to establish only 256
were able to establish some 354
were able to establish such 190
were able to establish their 2844
were able to establish these 43
were able to establish three 52
were able to establish very 66
were able to establish what 103
were able to extricate their 51
were able to formulate some 54
were able to formulate their 234
were able to frustrate these 45
were able to guarantee their 58
were able to harmonize their 46
were able to implement many 45
were able to implement some 65
were able to implement such 50
were able to implement their 419
were able to implement these 93
were able to influence many 44
were able to influence some 61
were able to influence their 399
were able to integrate into 176
were able to integrate their 238
were able to integrate these 73
were able to intensify their 99
were able to interpret their 196
were able to interpret these 76
were able to interpret what 83
were able to interview only 246
were able to interview some 61
were able to introduce into 165
were able to introduce many 64
were able to introduce some 140
were able to introduce their 172
were able to liquidate their 98
were able to modernize their 86
were able to normalize their 63
were able to penetrate deep 131
were able to penetrate even 47
were able to penetrate into 953
were able to penetrate only 61
were able to penetrate their 78
were able to penetrate these 51
were able to propagate their 132
were able to prosecute their 77
were able to publicize their 58
were able to recapture some 53
were able to recapture their 70
were able to recognize many 63
were able to recognize more 124
were able to recognize only 143
were able to recognize some 136
were able to recognize such 43
were able to recognize their 457
were able to recognize these 144
were able to recognize what 93
were able to recognize when 48
were able to reconcile their 479
were able to reconcile these 77
were able to reinforce their 403
were able to reorganize their 187
were able to replenish their 359
were able to replicate their 90
were able to replicate these 98
were able to represent their 205
were able to reproduce many 47
were able to reproduce more 53
were able to reproduce only 69
were able to reproduce some 72
were able to reproduce their 173
were able to reproduce these 85
were able to safeguard their 199
were able to stabilize their 217
were able to structure their 83
were able to sublimate their 56
were able to supervise their 49
were able to synthesize their 69
were able to terminate their 81
were able to transcend their 387
were able to transcend these 51
were able to transform into 116
were able to transform their 634
were able to transform these 42
were able to translate from 58
were able to translate into 180
were able to translate their 549
were able to translate these 99
were able to translate what 61
were able to transport their 153
were able to undersell their 141
were able to undertake more 52
were able to undertake some 46
were able to undertake such 115
were able to undertake their 63
were able to undertake these 54
were able to ventilate their 52
were able to verbalize their 184
were able to vindicate their 51
were also an effective means 53
were also an important food 120
were also an important item 95
were also an important means 135
were also an important part 1312
were also in desperate need 64
were also the formative years 54
were also the responses there 93
were among the delegates from 93
were among the doctrines held 40
were among the fortunate ones 267
were among the principal means 249
were bent on maintaining their 107
were born in countries other 88
were born in different years 142
were born on different days 75
were cast by delegates from 65
were deep in discussion when 55
were done on different days 58
were done to determine what 60
were eager to establish their 237
were eager to introduce their 48
were eager to safeguard their 56
were eager to signalize their 52
were eager to volunteer their 49
were fond of introducing into 43
were fond of multiplying their 138
were free to construct their 86
were free to criticize their 56
were free to cultivate their 125
were free to determine their 466
were free to determine what 41
were free to establish their 298
were free to formulate their 65
were free to implement their 45
were free to propagate their 51
were free to terminate their 75
were full of poisonous filth 57
were full of quotations from 105
were glad to surrender their 113
were gone the blacksmith gave 40
were hard to distinguish from 786
were hard to translate into 48
were having an excellent time 41
were having an increasingly hard 40
were held at intervals during 46
were held in alternate years 64
were held in bangladesh from 42
were held in different areas 57
were held in especially high 79
were held in extremely high 43
were held on alternate days 68
were held on different days 207
were held to determine what 117
were just as dependent upon 59
were just as different from 82
were just as effective when 47
were keen to establish their 145
were kept in continual dread 41
were kind of surprised when 47
were left in possession only 49
were left to cultivate their 81
were left to determine their 55
were left to establish their 50
were left to formulate their 45
were left to speculate upon 45
were left to themselves during 42
were left to themselves there 90
were left to themselves till 45
were living in california when 64
were living in temporary huts 70
were loath to surrender their 102
were lost or destroyed during 624
were lost or destroyed when 115
were lots of different ways 45
were loud in proclaiming their 72
were made an important part 75
were made at different time 58
were made at intervals along 52
were made at intervals during 258
were made at intervals from 87
were made at intervals over 61
were made by consensus among 44
were made by delegates from 130
were made by emigrants from 55
were made in different areas 60
were made in different ways 279
were made in different years 135
were made of different clay 118
were made of laminated wood 47
were made of unpainted wood 57
were made of unseasoned wood 45
were made on alternate days 120
were made on different days 314
were made on specimens from 49
were made to ascertain their 51
were made to ascertain what 151
were made to celebrate their 94
were made to companies from 42
were made to construct such 42
were made to correlate these 97
were made to determine more 86
were made to determine their 213
were made to determine these 54
were made to determine those 45
were made to determine upon 40
were made to determine what 479
were made to determine when 40
were made to eliminate some 42
were made to eliminate such 52
were made to eliminate these 77
were made to establish more 121
were made to establish other 80
were made to establish some 181
were made to establish such 157
were made to establish what 45
were made to implement these 84
were made to integrate these 73
were made to interpret these 60
were made to introduce into 221
were made to introduce more 165
were made to introduce other 83
were made to introduce some 179
