wagging tail and melting brown 65
waiting list for social housing 50
waiting till his father comes 56
walking home one night after 43
walking late one evening about 67
walking late one night alone 43
walls were not built until 53
wants bill and jerry geared 51
warring wind and water never 52
washing soda and boiling water 50
waste steam was thrown after 48
waste time and money sending 95
wasting time and wasting money 56
watch lest his uncle jonah 70
water down his throat until 63
water during its growing season 85
water from her black locks 82
water from its melting snows 52
water from one river basin 211
water here was still fresh 105
water into his minor ditch 53
water into two equal parts 47
water less than thirty miles 119
water more than about thirty 66
water over her gleaming white 67
water runs and grass grows 230
water there are eight parts 45
water used for washing hands 73
waved like that which grows 45
weakly open and laura comes 50
weaned from its mother until 261
weeds when our quick minds 77
weigh down this whole kingdom 63
weigh more than short people 154
where boys and girls could 293
where boys and girls might 44
where boys and girls mixed 43
where boys and girls sleep 69
where boys and girls study 106
where boys and girls would 92
where buying and selling takes 52
where faith and reason utter 42
where firing had taken place 51
where food and drink could 83
where food and drink would 46
where food and lodging could 61
where food and water could 93
where from and where bound 50
where gold was first found 149
where have you lived since 68
where jews and arabs could 55
where jews and arabs lived 64
where jews and arabs would 60
where jews had lived since 71
where land and labor costs 57
where love can never enter 110
where many run small risks 43
where mary and martha lived 94
where mary had first found 63
where milk and honey flows 340
where more than fifty people 117
where much had taken place 151
where nothing but plain reason 126
where pearl had stood still 192
where plus and minus signs 53
where riots had taken place 57
where salt and fresh water 265
where some new scene arose 59
where their own ethnic group 42
where there are about eight 53
where there are about fifty 119
where there are about forty 112
where there are about seven 54
where there are about sixty 99
where there are about thirty 206
where there are black people 45
where there are broad social 60
where there are close links 43
where there are coral reefs 63
where there are eight months 45
where there are equal risks 118
where there are fewer boats 43
where there are fewer large 87
where there are fewer people 323
where there are fewer women 134
where there are found parts 83
where there are fruit trees 47
where there are grand robes 102
where there are handy rocks 64
where there are human hearts 52
where there are large ethnic 45
where there are large flats 55
where there are large herds 94
where there are large indian 83
where there are large lakes 135
where there are large pools 47
where there are large rocks 44
where there are large towns 60
where there are large trees 179
where there are large urban 42
where there are noble trees 41
where there are often large 55
where there are small breaks 45
where there are small farms 55
where there are still about 50
where there are still large 254
where there are still people 91
where there are still strong 48
where there are strong links 42
where there are strong local 71
where there are strong norms 45
where there are strong social 230
where there are strong tidal 81
where there are strong tides 59
where there are strong unions 70
where there are strong winds 99
where there are trees large 40
where there are white people 41
where there are whole woods 77
where there was ample scope 52
where there was ample space 401
where there was ample water 77
where there was doubt about 228
where there was every reason 368
where there was fresh water 208
where there was green grass 81
where there was never anything 89
where there was running water 291
where there was still danger 51
where there was still light 79
where there was still space 118
where there was still water 138
where there was swift water 138
where there was water power 178
where these two lines cross 295
where those who chose could 74
where time had stood still 232
where time has stood still 1001
where truth and honor dwelt 43
where very few people would 49
where wind and water shears 97
where wood and water could 134
where worth and merit would 50
where young men could study 42
which bank they lived under 61
which beast can never enter 43
which bind two souls which 135
which boys and girls alike 155
which boys and girls begin 64
which boys and girls could 215
which boys and girls engage 87
which boys and girls enter 53
which boys and girls might 238
which boys and girls spend 40
which boys and girls would 131
which boys and women could 106
which brings its parts nearer 55
which came near proving fatal 226
which came two months later 61
which came two weeks later 60
which case all facts about 72
which case each party shall 153
which case her mother would 40
which case his mother would 45
which case its value would 53
which case one could argue 45
which case she would never 63
which case they could easily 46
which case they might serve 58
which case they shall abate 303
which case they shall raise 1428
which case they would appear 91
which case they would belong 40
which case they would never 41
which case they would still 53
which cheap and bulky goods 42
which city was named after 41
which code for amino acids 182
which cost but seven weeks 53
which cost him forty cents 51
which data can either enter 178
which days her dower shall 64
which deals with cases where 103
which dies and rises again 46
which drug use takes place 90
which during and after world 55
which during this short reign 51
which ebbs and flows about 44
which ebbs and flows every 115
which even our giddy folly 123
which even red gowns might 52
which ever and again comes 44
which eyes and fingers could 60
which food and drink could 59
which from its first issue 61
which from its title would 52
which from this period began 65
which gave and still gives 109
which gave her fancy scope 49
which gave this white violet 40
which glow and breathe about 91
which great and noble minds 64
which grew and spread until 47
which hangs two spans below 50
which hard and stringy roots 119
which have long since ceased 1213
which have long since faded 139
which have long since found 103
which have long since given 116
which have long since taken 64
which have long waiting lists 41
which have not borne fruit 47
which have not known anything 111
which have not risen above 52
which have not taken place 338
which have now given place 64
which have now taken place 173
which have thus taken place 163
which have two sides equal 47
which have yet taken place 62
which held and still holds 76
which held its first meeting 3764
which held its first sitting 364
which iran has never fully 72
which jews and arabs could 91
which jews and arabs would 337
which julia was fully aware 115
which kept them alive until 46
which lets you easily create 45
which love and skill could 41
which made and still makes 67
which made her laugh again 124
which made her voice sound 191
which made him acute about 41
