well probably supplied water to 53
were actually resident within the 45
were actually reversed under the 48
were assigned randomly either to 87
were commonly attacked under the 71
were declared unlawful under the 52
were expressing concerns about the 43
were formerly included under the 205
were formerly included within the 67
were graduate students working on 51
were inclined downward beneath the 45
were initially selected based on 49
were internal divisions within the 44
were partially restored under the 43
were probably composed about the 74
were probably composed after the 69
were probably executed about the 52
were probably included under the 95
were properly informed about the 99
were randomly assigned either to 1470
were randomly selected based on 56
were randomly selected within the 88
were selected randomly within the 55
were severely punished under the 159
were slightly elevated above the 58
were somewhat confused about the 53
were somewhat doubtful about the 58
were strictly confined within the 63
were strictly enjoined never to 83
were therefore conveyed about the 126
what actually happened after the 257
what actually happened under the 104
what actually happened within the 82
what actually occurred after the 49
what benedict anderson calls an 99
what benedict anderson calls the 121
what economic sanctions might be 43
what everyone believed would be 133
what everyone expected would be 120
what feminine intuition really is 45
what normally innocent people do 76
what patients partially under the 328
what possible interest could it 55
what possible interest could the 63
what possible objection could be 57
what powerful supports would be 140
what relative condition would it 63
when economic activity picks up 52
when trollope suddenly winks at 50
whom physical activity might be 100
will complain bitterly about the 81
will continue unabated until the 72
will discount approved bills of 74
will normally continue until the 307
will probably collapse under the 51
will probably continue after the 55
will probably continue until the 528
will probably disappear within the 44
will therefore consider first the 45
will therefore probably never be 45
word processing programs allow the 77
word processing software makes it 44
work practice controls shall be 50
