warm welcome from people who 49
wealth derived from trade and 92
wealth whereby their wants are 42
webs between their fingers and 62
week besides their board and 50
weep because those sails are 80
well brought into keeping with 70
well married ever since her 49
well phrased your poetry may 53
well provide these people with 82
well refrain from joining his 42
well written these books may 40
went overseas during world war 81
were adopted during world war 41
were allowed full scope they 55
were allured into civil war 124
were beginning their first year 49
were brought back again and 117
were brought from china and 132
were brought from egypt and 159
were brought from guinea and 60
were brought from italy and 121
were brought from persia and 42
were brought from spain and 158
were brought into action and 310
were brought into action for 100
were brought into action with 70
were brought into close and 142
were brought into court and 388
were brought into court for 327
were brought into focus and 62
were brought into focus with 42
were brought into force and 49
were brought into force with 111
were brought into order and 50
were brought into texas with 57
were brought into touch with 733
were chiefly those which can 42
were chiefly those which had 49
were correct more often than 98
were crowded into jails and 75
were damaged during world war 117
were defending their homes and 227
were defending their lives and 45
were defending their wives and 51
were deluded into thinking that 657
were deluded into thinking they 60
were derived from egypt and 57
were derived from greek and 61
were derived from latin and 54
were derived from roman law 47
were divided into bands and 41
were divided into civil and 57
were divided into clans and 116
were divided into first and 127
were divided into junior and 61
were divided into large and 64
were divided into light and 121
were divided into lower and 47
were divided into major and 121
were divided into males and 64
were divided into morning and 62
were divided into older and 50
were divided into pairs and 134
were divided into parts and 43
were divided into plots and 49
were divided into right and 70
were divided into rural and 41
were divided into seven age 129
were divided into small and 78
were divided into thirds and 70
were divided into upper and 290
were divided into urban and 72
were divided into wards and 49
were divided into wards for 61
were divided into white and 72
were drafted during world war 101
were drafted from italy for 40
were dropped during world war 55
were endowed from above with 100
were equally well aware that 102
were equally well cared for 79
were equally well known and 68
were equally well known for 79
were exactly those which had 97
were fifteen years older than 54
were finishing their evening meal 118
were floated into place and 51
were following from getting out 41
were granted their lives and 55
were hoisted into place and 55
were imposed during world war 104
were imposed from above and 121
were increasing their power and 53
were knocked from under her 42
were knocked from under him 107
were largely those which had 70
were letters from people who 77
were lighted upon crags and 62
were loosely shed about her 70
were lowered into place and 41
were married during world war 73
were married soon after and 94
were married soon after her 59
were married soon after his 97
were married soon after that 63
were married soon after they 79
were married three months ago 76
were measured three times and 41
were painted dark brown and 46
