was no longer distinguishable from 382
was the basic organizational unit 73
was the first comprehensive book 250
was the first comprehensive look 55
was the first comprehensive plan 111
was the first comprehensive text 57
was the first comprehensive theory 99
was the first comprehensive work 264
was the first ecclesiastical body 49
was the first indispensable step 49
was the first philosophical work 42
way in which archaeologists have 67
way in which investigators have 77
way in which philosophical ideas 40
way in which psychologists have 125
with an equal representation from 53
with the local comprehensive plan 154
with the nixon administration over 71
with the reagan administration over 198
with the reagan administration were 44
with the state comprehensive plan 87
with the state implementation plan 110
