warn behind 424 went summer 47
went myself 183 were square 187
were england 63 were philip 46
were groups 111 were twenty 42
were various 61 were whether 67
were office 77 were severe 44
were plates 50 were slowly 51
were effect 89 were effect 124
were before 43 were autumn 41
were career 42 were coffee 70
were dinner 142 were supper 62
were boards 87 were native 46
were before 152 were higher 46
were almost 56 were rights 56
were without 47 were raised 55
were effect 40 were mutual 43
were office 89 were mature 75
were desire 394 were little 47
what ensued 51 what always 107
what always 52 what called 108
what called 98 what called 115
what called 70 what fellow 53
what called 140 what called 588
what termed 68 what thought 44
what called 83 what called 76
what called 671 what termed 155
what taught 44 what taught 112
what through 169 what taught 48
what likely 64 what taught 56
when office 97 when passed 50
when killed 55 when submit 42
when office 42 when failed 87
when failed 1781 when proved 49
when failed 45 when signed 79
when espied 69 when visiting 69
when forces 42 when before 56
when deemed 47 when denied 120
when athwart 81 when filled 62
when higher 55 when fierce 110
when supply 43 when become 80
when called 73 when absent 58
when asleep 46 when killed 219
when unable 61 when roused 86
when seemed 66 when simple 49
when languid 45 when almost 47
when tested 40 when failed 43
when before 40 when passed 60
when another 53 when beheld 46
when proved 40 when killed 74
when permit 82 when killed 95
whom french 52 whom militia 79
whom failed 41 whom asleep 105
whom always 40 whom unable 52
whom french 172 whom indians 70
whom prison 59 whom office 55
whom wounds 46 whom placed 58
wife before 61 wife second 40
will assuming 43 will needed 119
will mortal 66 will wishes 45
will memory 50 will itself 51
will limits 207 will limits 315
will covers 110 will lonely 44
will better 51 will before 59
will averse 111 will repaid 148
will another 46 will career 49
will issues 60 will points 71
will disease 181 will memory 147
will without 42 will likely 67
will desire 47 will stress 46
will strength 49 will myself 47
will before 143 will before 1945
will limits 176 will whether 967
will through 164 will whether 56
will preaching 59 wind slight 46
wood flames 41 wool england 44
work forces 123 work french 63
