wandering forever and the earth 291
warlike emperor that the east 60
warrant applied for by one 74
watched sickening for the day 48
wayside because they do not 41
weighting factors for the two 48
welcome awaited him on his 45
welcome because they do not 69
welfare because they do not 93
western germany and the low 118
western horizon and the sky 84
wherein freemen are to deal 146
wherein victory may be had 174
whimper escaped her as she 82
willingly believe that it was 77
willingly exchange for it all 50
willingly exchange one of them 68
willingly exposed her to this 70
windows because they do not 56
witches torment him to death 47
withdraw because they do not 57
witness against him at his 235
witness against his or her 52
witness against one of his 56
witness against you if you 115
witness claimed that he had 82
witness deposed that he had 80
witness deposed that he saw 49
witness himself and no one 92
witness replied that he did 156
witness replied that he had 221
witness replied that he was 76
witness replied that it was 43
witness reports that he saw 41
wondering senates hung on all 122
workers because they do not 375
workers believe that if they 43
workers realized that it was 53
worried because she is not 91
worried because they do not 366
worried because you do not 252
wrapped package out of his 51
wrenching herself out of his 56
wriggle himself out of his 40
writers ascribe things to this 80
writers because they do not 144
writers believe that he was 48
writers believe that it may 49
writers believe that it was 89
writers claimed that it was 57
writers contend that it was 89
writers pretend that he was 74
writers suggest that he had 42
writers suggest that it was 62
writers suppose that it was 75
written because they do not 105
written chiefly for the use 144
written consent for the use 128
written himself out of his 42
written language that is not 48
wrongful quarrel for no law 103
