waddling in their broad shoes 63
walked the five miles back 111
walked the five miles from 210
walked the five miles home 56
walked the five miles into 56
walked the four miles back 131
walked the four miles from 174
walked the four miles home 143
walked the half block from 42
walked the nine miles from 41
walked the three miles back 122
walked the three miles from 304
walked the three miles home 232
walked the three miles into 81
wander as noon rises high 137
wander the wide world over 104
wanted it done right away 65
wanted no spur under such 65
wanted to break loose from 188
wanted to call again during 45
wanted to come right away 113
wanted to come right back 45
wanted to come right over 263
wanted to dive right into 41
wanted to feel every inch 97
wanted to feel quite clean 43
wanted to free people from 83
wanted to free women from 69
wanted to gain entry into 43
wanted to have anything done 45
wanted to have anything more 311
wanted to have input into 52
wanted to have power over 155
wanted to help people like 67
wanted to hide anything from 63
wanted to jump right into 127
wanted to just stand there 42
wanted to keep aloof from 87
wanted to keep anything from 81
wanted to keep costs down 251
wanted to keep people away 56
wanted to keep people from 132
wanted to keep watch over 99
wanted to kiss every inch 74
wanted to know about india 46
wanted to know about jack 44
wanted to know about john 95
wanted to know about life 545
wanted to know about love 76
wanted to know about mind 172
wanted to know about mine 43
wanted to know about miss 57
wanted to know about most 46
wanted to know about other 254
wanted to know about paul 51
wanted to know about some 248
wanted to know about steam 41
wanted to know about such 234
wanted to know about their 1368
wanted to know about these 416
wanted to know about those 335
wanted to know about were 113
wanted to know about what 1233
wanted to know about your 846
wanted to know anything else 138
wanted to know anything more 356
wanted to know every inch 122
wanted to know every last 132
wanted to know every move 53
wanted to know every part 67
wanted to know every single 166
wanted to know every word 64
wanted to know first hand 65
wanted to know first what 274
wanted to know right away 438
wanted to know since when 90
wanted to know still more 86
wanted to know under what 368
wanted to know where john 46
wanted to know where miss 77
wanted to know where their 456
wanted to know where there 44
wanted to know where these 172
wanted to know where those 111
wanted to know where were 82
wanted to know where your 106
wanted to know which ones 130
wanted to know which part 62
wanted to know which side 284
wanted to know which were 101
wanted to know whose side 102
wanted to learn about life 73
wanted to learn about other 92
wanted to learn about their 347
wanted to learn about these 69
wanted to learn about what 218
wanted to learn about your 46
wanted to leave right away 1245
wanted to live apart from 211
wanted to live where there 80
wanted to look after their 119
wanted to look extra nice 41
wanted to make jesus their 60
wanted to make money fast 117
wanted to make money from 307
wanted to make people feel 149
wanted to make people more 46
wanted to make people think 249
wanted to make quite clear 78
wanted to make quite sure 803
wanted to make short work 78
wanted to make small talk 112
wanted to make would have 74
wanted to move right away 50
wanted to play first base 66
wanted to rise above their 40
wanted to rush right over 136
wanted to save people from 58
wanted to save russia from 51
wanted to send money home 84
wanted to show people what 179
wanted to sink roots into 48
wanted to stay aloof from 58
wanted to stay right here 287
wanted to stay right there 344
wanted to stop people from 111
wanted to stop right there 126
wanted to take anything from 70
wanted to take every step 78
wanted to take money from 79
wanted to take power away 41
wanted to take power from 43
wanted to talk about boys 47
wanted to talk about buying 46
wanted to talk about during 55
wanted to talk about even 46
wanted to talk about having 46
wanted to talk about home 104
wanted to talk about ideas 48
wanted to talk about john 77
wanted to talk about last 118
wanted to talk about life 118
wanted to talk about love 141
wanted to talk about making 66
wanted to talk about many 65
wanted to talk about more 268
wanted to talk about most 172
wanted to talk about nothing 205
wanted to talk about other 314
wanted to talk about race 47
wanted to talk about some 430
wanted to talk about such 171
wanted to talk about their 1460
wanted to talk about these 254
wanted to talk about those 164
wanted to talk about were 306
wanted to talk about what 4362
wanted to talk about when 206
wanted to talk about will 234
wanted to talk about work 106
