wage and premium pay for 68
wage for himself and his 104
wage gap between men and 4997
wage gap between them and 64
wage war against all that 50
wage war against god and 358
wage war against him and 146
wage war against his own 366
wage war against its own 131
wage war against them and 270
wage war against them for 49
wage war against them with 49
wage war because they are 88
waging war against god and 165
waging war against his own 69
waging war against its own 84
waging war against them and 58
wait for rewards that may 45
wait ten minutes and then 143
wait two minutes and then 53
wall and channel that ran 61
wall and covered them with 43
wall and silence them with 98
wall was between them and 56
wall was covered with ivy 164
wall was covered with them 88
want and poverty that they 140
want any contact with her 50
want any contact with him 74
want any contact with them 60
want any trouble with her 48
want any trouble with him 151
want any trouble with them 64
want any trouble with you 462
want for himself and his 43
want her because she was 213
want them because they are 211
want them because they can 48
want you because you are 190
warm and genuine than her 118
warm his courage than his 110
warm wet winters and hot 167
warn all prudent men not 69
warn you against any one 145
warn you against being too 43
warn you against two things 58
wars and diseases and any 129
wast not present with them 74
ways and degrees they may 313
ways and replace them with 83
ways and thoughts are not 207
ways but because they are 53
ways that animals can not 43
ways that prepare them for 70
ways that provide them with 95
ways that reflect how they 47
ways that reflect our own 45
ways that science can not 56
ways that suggest that they 353
ways that suggest they are 195
ways that teachers can use 151
ways with hatchet and with 44
wealth and leisure for all 47
wealth and position are not 54
wealth and position can not 49
wealth and position did not 69
wealth and position who had 60
wealth and poverty are both 42
wealth and poverty are not 168
wealth and poverty can not 72
wealth and poverty that are 79
wealth and provide for his 56
wealth for herself and her 49
wealth for himself and for 78
wealth for himself and his 650
wealth they brought with them 81
wearing his glasses and his 61
wearing his uniform and his 51
wearing long sleeves and long 62
wearing out himself and his 43
wears than settled age his 122
weary and baffled and sat 45
weary and withered age may 306
weary and wounded men had 125
week and crammed for dear 62
week for herself and her 70
week for himself and his 197
week for married men and 72
week has offered two new 88
week was charged with its 47
week was planned out and 42
weep and rejoice with them 54
well and happily with her 83
well and pointed out that 92
well and politic that our 44
well and provide them with 72
well and squeeze out any 46
well for herself and her 75
well for himself and for 303
well for himself and his 606
well for himself and was 43
well for himself with his 101
well for liberty and for 91
well for mankind that this 49
well for persons who are 118
well for society that this 40
well his country and his 41
well not because they are 45
well our schools are doing 51
well put together that they 63
well that germany can not 64
well that science and art 40
well they perform and who 44
well was company for kings 95
well was drilled for oil 92
well with cracked ice and 262
went and brought him out 43
went and resumed his seat 59
went and saluted that poet 50
went and stopped his ears 70
went and whipped him for 129
went off together and had 56
went out against him and 63
went out against him with 186
went out against his own 123
went out against them and 183
went out against them with 227
went out between two long 56
went out himself with one 42
went out together and got 63
went out together and had 153
went out together and sat 40
went out together one day 49
went they brought with them 61
went they carried with them 370
went too quickly for her 43
went two hundred men out 95
wept and laughed for joy 59
wept and mourned for her 77
wept and mourned for him 122
wept and shouted for joy 66
wept for herself and for 54
were all against him and 105
were all against them and 43
were all brought out and 78
were all carried out for 52
were all carried out using 139
were all carried out with 464
were all certain that they 54
were all charged with being 78
were all charmed with her 128
were all charmed with him 92
were all charmed with his 53
were all competing with each 72
were all covered with ice 109
were all covered with mud 481
were all covered with red 86
were all crowded with men 40
were all dressed out for 66
were all factors that had 67
were all factors that led 100
were all familiar and dear 279
were all familiar and long 49
were all familiar with each 52
were all familiar with his 99
were all familiar with this 110
were all friends and had 53
were all friends and they 40
were all friends with him 42
were all married and all 50
were all married and had 333
were all married men and 43
were all married men with 58
were all painted with red 78
were all persons who had 175
were all present and all 49
were all spirits and are 918
were all stained red with 95
were all stained with his 45
were all stopped and out 61
were all straining our ears 48
were all swollen and red 46
were all together and all 53
were all together and had 54
were all together and that 62
were all together with one 43
were all trembling with fear 52
were any grounds for his 43
were any grounds for this 53
were any letters for her 134
were any letters for him 420
were any letters for them 50
were any present who had 140
were bad because they did 46
were bad because they had 55
were being brought out and 96
were being brought out for 66
were being carried out all 49
were being carried out and 590
were being carried out for 346
were being carried out had 40
were being carried out near 52
were being carried out that 74
were being carried out was 60
were being carried out with 1452
were being carried too far 102
were being dragged out and 46
were being ignored and that 292
were being offered for his 47
were being offered for them 48
were being searched for and 42
were being shipped each year 105
were being trained for this 52
were being trained for war 97
were being violated and that 296
were being watched and that 236
were being written and read 49
were both certain that they 44
were both covered with mud 50
were both familiar with and 66
were both married and had 242
were both priests and kings 41
were but endowed with one 57
were but pleasure and not 202
were dead because they had 77
were doing because they had 85
were doing everything that they 67
were doing everything that was 82
were dying because they had 157
were each charged with one 52
were each following his own 81
were far fiercer than his 99
were far happier than they 64
were far smaller than had 46
were far smaller than his 42
were far smaller than they 150
were far stronger than any 204
were far stronger than had 43
were far stronger than his 82
were far stronger than they 241
were fed alfalfa hay and 60
were few artists who did 46
were few persons who did 82
were few persons who had 74
were few present who did 96
were for everything you did 96
were for herself and her 40
were for himself and his 92
were for torturing and then 71
were going because they had 49
were going between her and 67
were going nowhere and that 121
were her friends and her 92
were her friends and she 122
were her friends and that 130
were her friends and they 55
were her friends and who 86
were her husband and her 237
were her husband and his 62
were her husband and son 99
were her parents and her 134
were her thoughts that she 99
were his ambition and his 42
were his brothers and his 157
were his courage and his 56
were his delight and his 57
were his efforts that his 50
were his enemies and his 45
were his enemies and that 86
were his enemies and who 50
were his friends and had 81
were his friends and his 241
were his friends and not 70
were his friends and that 351
were his friends and they 121
were his friends and who 424
were his friends who had 56
were his motives for doing 44
were his motives for this 81
were his parents and his 138
were his pleasure and his 51
were his religion and his 62
were his sisters and his 100
were his talents and his 67
were his teachers and his 45
were his thoughts and his 69
were ill trained and ill 45
were its friends and who 44
were long married and had 41
were long overdue and that 58
were mad because they did 48
were mad because they had 61
were men perhaps that had 56
were new members who had 42
were new wonders and new 80
were new yorkers who had 76
were not adapted for any 41
were not adapted for use 63
were not advised that they 44
were not affairs for him 50
were not alarmed for him 53
were not aligned with any 93
were not allowed and that 44
