wage or salary rates paid 53
wail of anguish broke from 62
wail of anguish burst from 69
wait in anxious grief till 113
wait the powers which erring 66
wake the drowsy water rats 43
walk the street after dark 102
want an active social life 54
want an answer right away 157
want of another legal body 235
want of talent still more 47
want or expect anything from 52
want to accept anything from 176
want to accept money from 62
want to answer about your 40
want to borrow anything from 105
want to borrow funds from 57
want to borrow large sums 40
want to borrow money from 1513
want to chance running into 132
want to conceal anything from 114
want to convey about your 65
want to double check your 40
want to enable large disk 54
want to extort money from 51
want to forget about their 64
want to forget about what 59
want to forget about your 48
want to remain aloof from 60
want to remove items from 43
warm the flakes could find 44
warn of dangers which were 79
wars in africa would cease 40
wars in france arose from 127
wars in modern times have 88
wars in recent times have 41
wars of modern times have 125
wars of modern times were 41
wars the longest purse must 69
wash the dishes after meals 40
wash the dismal stain away 72
wash the soiled world clean 42
wave of anguish swept over 92
wave of deeper souls into 276
wave of desire swept over 150
wave of elation swept over 48
wave of emotion sweep over 68
wave of emotion swept over 1427
wave of horror swept over 252
wave of memory swept over 141
wave of misery swept over 82
wave of passion swept over 91
wave of reaction swept over 60
wave of reform swept over 195
wave of regret swept over 86
wave of relief broke over 56
wave of relief spread over 73
wave of relief sweep over 177
wave of relief swept over 1337
wave of relief washing over 115
wave of sorrow swept over 171
wave of terror swept over 312
wave of unrest swept over 64
waving or spiral lines bears 135
ways of applying words more 120
ways of behaving which have 98
ways of behaving which were 51
ways of behaving which will 84
ways of deriving words from 85
ways of handling missing data 76
ways of spending spare time 127
ways of thought which have 87
ways of thought which were 68
ways to better serve their 74
ways to prolong human life 43
ways to reduce cycle time 171
wealth of europe would have 54
wealth or energy could ever 52
week or almost every week 90
well as almost anything else 40
well as almost every kind 42
well as almost every other 1259
well as almost every text 41
well as another might have 62
well as anyone could have 518
well as anyone could hope 46
well as anyone could know 110
well as anyone could wish 70
well as bishop laval threw 51
well as bodies after their 68
well as energy costs need 47
well as entire check soon 70
well as issues arising from 71
well as luxury goods such 49
well as luxury items such 79
well as remote rural areas 62
well as salmon would have 89
well as something about their 100
well as virtue flown away 58
well at vienna thirty years 82
well be gently swept into 43
well be something about mars 43
well in almost every case 41
well in almost every part 50
well in places where there 51
well of twenty fathom deep 93
well on sunday night when 60
well the fierce blood lust 49
well the latter would have 40
well the system would work 63
went by special train from 82
went in without looking back 51
went on strike after their 49
went on without looking back 147
went on without pause till 48
went the little green frog 114
went to borrow money from 97
went to church every single 56
went to church every time 147
went to church every week 374
went to england after bonn 52
went to england after having 69
went to london about five 42
went to london every week 50
went to places where there 97
went to school about four 42
went to school about three 111
went to school right here 69
went up another notch when 40
went up through spain make 58
went up toward heaven from 314
were an actual total loss 355
were an agreed point among 768
were as serious about their 62
were at various times during 106
were at various times made 59
were at various times sent 64
were he asleep seven years 40
were he twenty times more 87
were in active motion among 54
were in almost every case 970
were in almost every city 85
were in almost every other 46
were in another world from 95
were in battle array when 61
were in common usage among 65
were in earnest about their 250
were in effect until john 97
were in former times made 46
were in former times when 54
were in greater danger from 203
were in little danger from 116
were in mortal danger from 110
were in number about five 82
were in number about four 59
were in number about three 50
were in places where there 65
were in reality based upon 83
were in reality bound hand 62
were in serious danger from 126
were no doubts about what 41
were no lights showing from 53
were no safety belts back 83
were no sooner freed from 110
were no sooner within shot 43
were of almost equal size 192
were of course based upon 56
were of course drawn from 105
were of course still less 42
were of course still more 99
were of course still very 44
were of course swept away 59
were of course taken from 96
were of course taken into 56
were of course thrown into 54
were of course times when 81
were of little avail when 155
were of little value when 177
were of neither party fell 145
were of repute added nothing 141
were of various sizes from 71
were on almost every side 122
were on parole could have 50
were so anxious about their 100
were so called after their 46
were so clever about making 49
were so curious about what 42
were so deeply woven into 44
were so serious about their 63
were so stupid about such 58
were the actual words used 98
were the apples which juno 47
were the causes which gave 45
were the causes which have 46
were the causes which made 134
were the causes which were 59
were the cement which held 44
were the changes since their 45
were the changes which took 157
were the changes which were 158
were the county horse only 46
were the curses heaped upon 42
were the errors which have 43
were the events which gave 60
were the events which have 51
were the events which took 198
were the events which were 60
were the fashion forty years 46
were the feelings which were 47
were the forces which made 65
were the forces which were 247
were the glinting stars high 83
were the greeks freed from 53
were the groups which were 45
were the issues which were 66
were the magnet which drew 57
were the places where most 198
were the places where there 44
were the places where these 68
were the places which were 55
were the points which were 88
were the reasons which made 207
were the reasons which were 51
were the riches heaped upon 68
were the scenes which used 47
were the scenes which were 57
were the simple rules ever 43
were the starting point from 72
were the stores where your 43
were the theories which were 69
were to become still more 342
were to borrow money from 52
were to follow close upon 131
