wafer is ready for the 65
waged by land and by 69
waged by land and sea 87
waged on land and sea 142
wager it will not be 214
wager my life that he 104
wager my life that the 120
wages as other men of 42
wages as paid out of 54
wages at home and the 40
wages at less than the 234
wages be paid out of 42
wages by more than the 118
wages in cash and in 88
wages in cash and the 78
wages in full for the 69
wages in kind and the 42
wages in land was so 75
wages in line with the 497
wages in step with the 54
wages in truth has no 77
wages is less than the 195
wages is only one of 94
wages of from ten to 40
wages of from two to 50
wages of their sin is 71
wages of those who do 126
wages so high that an 70
wages so high that the 93
wages to keep them in 44
wages to rise and the 56
wages to rise with the 63
wages to those who do 69
wagon on their way to 116
wagon to haul them to 49
wagon to pick them up 58
wagon to take her to 92
wagon to take him to 180
wagon to take them to 238
wailing is heard out of 122
wailing of some one in 88
waist to draw her to 60
waist to help her up 83
waist to hold her in 49
waist to hold her up 54
waist to hold him in 44
waist to hold them up 50
waist to knee being the 45
waist to lift her up 41
waist to pull her to 52
waist to ward off the 46
waiting an hour for an 61
waiting an hour for me 47
waiting an hour for the 432
waiting at home for me 444
waiting at home for my 40
waiting at home for the 500
waiting at home for us 84
waiting at home with the 52
waiting at your own or 50
waiting in camp for the 48
waiting in dread for the 91
waiting in faith for the 79
waiting in hope for the 169
waiting in hope that the 44
waiting in line and the 152
waiting in line for an 385
waiting in line for it 57
waiting in line for me 45
waiting in line for my 101
waiting in line for the 3647
waiting in line with the 333
waiting in pain for the 57
waiting in rome for the 45
waiting in there for me 64
waiting in turn for the 40
waiting in vain for an 674
waiting in vain for it 111
waiting in vain for me 133
waiting in vain for my 85
waiting in vain for the 7691
waiting is over and the 54
waiting my turn for the 51
waiting on deck for the 46
waiting on from year to 44
waiting on line for the 109
waiting the next day at 43
waiting to break out of 65
waiting to come out at 40
waiting to come out in 55
waiting to come out of 220
waiting to find out if 3049
waiting to find out the 773
waiting to give her the 96
waiting to give him an 56
waiting to give him the 173
waiting to give them the 59
waiting to give them to 53
waiting to give you the 319
waiting to help her to 48
waiting to help him to 51
waiting to help with the 95
waiting to help you in 54
waiting to join him in 68
waiting to join them in 70
waiting to join with the 94
waiting to jump out at 223
waiting to jump out of 60
waiting to jump out on 71
waiting to kill him as 103
waiting to know how the 49
waiting to learn how the 72
waiting to learn how to 107
waiting to leave for the 263
waiting to make use of 145
waiting to meet her at 84
waiting to meet her in 214
waiting to meet him at 171
waiting to meet him in 121
waiting to meet him on 68
waiting to meet one of 43
waiting to meet them at 114
waiting to meet them in 53
waiting to meet with me 49
waiting to meet with the 207
waiting to meet you at 61
waiting to meet you in 259
waiting to move out of 48
waiting to pick her up 526
waiting to pick him up 804
waiting to pick off the 93
waiting to pick out the 57
waiting to pick them up 992
waiting to pick you up 489
waiting to play with us 51
waiting to pour out the 55
waiting to pull out of 56
waiting to rush them to 46
waiting to sail for the 63
waiting to sail with the 53
waiting to send you the 50
waiting to show her the 97
waiting to show him the 147
waiting to show him to 43
waiting to show them the 71
waiting to show them to 49
waiting to show you the 134
waiting to show you to 47
waiting to snap them up 49
waiting to speak with me 425
waiting to speak with the 396
waiting to spring out at 161
waiting to spring out of 42
waiting to spring out on 67
waiting to take any of 62
waiting to take her in 101
waiting to take her on 72
waiting to take her to 1212
waiting to take her up 47
waiting to take him by 44
waiting to take him in 195
waiting to take him on 547
waiting to take him to 5889
waiting to take him up 51
waiting to take off at 72
waiting to take off in 77
waiting to take off my 59
waiting to take off on 140
waiting to take off or 49
waiting to take off the 90
waiting to take one of 47
waiting to take out the 50
waiting to take them by 67
waiting to take them in 183
waiting to take them on 494
waiting to take them the 84
waiting to take them to 3585
waiting to take them up 311
waiting to take this to 131
waiting to take you in 178
waiting to take you on 271
waiting to take you to 2951
waiting to take you up 48
waiting to talk with me 138
waiting to talk with the 163
waiting to talk with us 47
waiting to tell him of 61
waiting to tell him the 74
waiting to tell you the 47
waiting to throw off the 43
waiting to trip him up 42
waiting to trip you up 317
waiting to turn off the 44
waiting to turn out the 57
waiting to urge him to 73
waiting to walk with me 45
waiting up there for me 47
waiting up there for the 66
waits at home for me 60
waits at home for the 73
waits in hope for the 51
waits in line for the 125
waits in vain for an 168
waits in vain for the 1329
waits of more than an 45
waits the good and the 53
waits to know who it 62
waits to take you up 150
waive my rank and my 42
waive the fact that the 46
wakes to find that he 217
wakes to find that the 170
walking as fast and as 83
walking in line with the 153
walking in step with the 457
walking in time with the 47
walking is good for me 46
walking is good for the 143
walking on deck six or 87
walking on eggs all the 73
walking on their way to 70
walking or riding was the 117
walking so fast that he 100
walking so fast that it 61
walking the deck with the 103
walking the other day in 106
walking the poop and the 60
walking the same path as 195
walking the same way as 59
walking to town with me 53
walks in step with the 57
walks of life and an 49
walks of life and at 360
walks of life and by 89
walks of life and he 67
walks of life and in 1611
walks of life and is 179
walks of life and it 132
walks of life and of 1087
walks of life and on 139
walks of life and the 707
walks of life and to 421
walks of life and we 55
walks of life are at 43
walks of life are in 59
walks of life are the 156
walks of life are to 82
walks of life both in 43
walks of life can be 292
walks of life for the 215
walks of life had to 199
walks of life may be 172
walks of life than in 58
walks of life than the 85
walks of life that he 52
walks of life that it 73
walks of life that the 194
walks of life who do 70
walks of life with an 49
walks of life with the 250
walks we four had at 96
walls in line with the 52
walls is less than the 69
walls is such that the 67
walls of fungi and the 73
walls of home and the 46
walls of home are the 46
walls of oran lying in 52
walls of rock and the 131
walls of rome and the 144
walls of rome near the 62
walls of rome than the 48
walls of rome with the 125
walls of troy and the 199
walls of troy for king 49
walls of what may be 64
walls of what was to 96
walls of wood and the 45
walls on their way to 69
walls so high that the 75
walls so thick that it 57
walls so thick that no 58
walls so thick that the 211
walls to hold them in 94
walls to keep off the 98
walls to keep out the 1387
walls to keep them in 48
walls to shut out the 129
walls to treat with an 63
walls to ward off the 60
waned at last with the 59
wanting in care for the 40
wanting in love for the 53
wanting in nothing that the 60
wanting in some one of 45
wanting in some way to 94
wanting in their own or 78
wanting in what may be 73
wanting is only that he 189
wanting my baby and so 48
wanting no more than to 97
wanting the best for me 93
wanting the best for the 185
wanting the free use of 40
wanting to back out of 51
wanting to break off the 99
wanting to break out of 230
wanting to break with the 89
wanting to call out to 103
wanting to care for the 67
wanting to come off as 45
wanting to come out of 196
wanting to come out to 103
wanting to come with me 84
wanting to come with us 107
wanting to cope with the 42
wanting to drag out the 41
wanting to draw out the 87
wanting to drop out of 127
wanting to ever let go 71
wanting to feel all of 77
wanting to feel that the 76
wanting to fill out the 71
wanting to find out if 386
wanting to find out the 250
wanting to give her an 53
wanting to give her the 300
wanting to give her up 84
wanting to give him an 99
wanting to give him as 44
wanting to give him the 532
wanting to give them the 201
wanting to give them up 47
wanting to give way to 72
wanting to give you the 54
wanting to have all the 63
wanting to have sex at 41
wanting to help with the 125
wanting to hold her in 85
wanting to hold him in 57
wanting to hurt her as 44
wanting to hurt him as 266
wanting to join him in 41
wanting to jump off the 46
wanting to jump out of 188
wanting to keep all the 82
wanting to keep her in 51
wanting to keep him in 103
wanting to keep out of 198
wanting to keep them in 130
wanting to keep things as 160
wanting to kill all the 48
wanting to know all of 73
wanting to know all the 371
wanting to know and to 67
wanting to know for the 41
wanting to know how he 556
wanting to know how it 417
wanting to know how my 76
wanting to know how the 763
wanting to know how to 1265
wanting to know how we 188
