waged war not only against 87
wages had not been reduced 77
wages than they were receiving 41
wages they had been receiving 63
wages they pay their workers 67
waiting for her just outside 353
waiting for her next command 140
waiting for her next question 49
waiting for him just outside 645
waiting for his good fortune 43
waiting for his next command 124
waiting for his next question 74
waiting for them just outside 268
waiting for you just outside 140
walking with her till tuesday 120
walking with his back towards 73
walls being not only massive 43
walls had not been painted 215
walls hung with cheap stripes 51
walls that had been erected 134
walls that had been painted 86
walls that now give shelter 54
waltz with you till sunrise 47
wanting fit and able persons 53
wants that with three thousand 44
wards and each ward returns 43
warmth that had been kindled 48
warning for all time against 60
watch and see what happens 1152
watch had any other purpose 60
watch out for side effects 127
watch out for their welfare 94
watch out for wild animals 42
watch out for your friends 85
watch that had once belonged 66
watch with his name engraved 44
water and all other liquids 61
water and one part vinegar 40
water and see what happens 271
water and with most organic 57
water bath for five minutes 1106
water bath for three minutes 276
water can not pass between 54
water does not move forward 65
water for any other purpose 214
water has not been applied 43
water has not been removed 70
water has not been studied 60
water ice and dust deposit 58
water than any other country 72
water that had been allowed 76
water that had been blessed 315
water that had been brought 315
water that had been carried 63
water that had been exposed 55
water that had been shipped 40
water that had been spilled 94
water that had been trapped 57
water that has been allowed 313
water that has been applied 47
water that has been blessed 498
water that has been brought 294
water that has been carried 136
water that has been charged 68
water that has been colored 165
water that has been diluted 56
water that has been exposed 222
water that has been freshly 210
water that has been released 45
water that has been removed 120
water that has been stirred 78
water that has been touched 63
water that has been trapped 70
water that may have entered 163
water that they were obliged 85
water that was just visible 41
water with low salt content 145
waves are but puny ripples 68
weapon that was used against 68
wearying out his best friends 43
weather can not last forever 130
weather did not help matters 47
weather did not look promising 196
weather was not very promising 52
weather was now very pleasant 44
wedding rings and other jewelry 60
weeks and see what happens 239
weeks she had been removed 70
weeks she had been suffering 47
weeks they had been indulging 43
weeks they had been together 196
weeks they had seen provide 41
weeping for her lost husband 42
weeping with his face covered 85
weird things that were happening 47
wells that had been drilled 173
where all can live together 57
where all had been comfort 88
where all may seek justice 123
where all men were brothers 80
where all men will respect 167
where all things come together 77
where all things work together 42
where and for what purpose 1346
where and how your worship 42
where and with what results 40
where are all these fellows 43
where are all these vessels 45
where are all your friends 42
where are all your sorrows 51
where his old self revives 45
