wade through snow to get 42
wait another five or six 58
wait another five or ten 70
wait another hour or two 225
wait another month or two 281
wait another week or two 332
wait another week to see 98
wait around till the old 89
wait awhile till we are 47
wait twenty years to get 52
wait twenty years to see 64
waking reality what he was 112
walk abroad during the day 46
walk abroad save on his 65
walk abroad upon the earth 140
walk around during the day 391
walk before trying to run 95
walk pretty fast if you 50
walk slowly along the path 133
walk slowly back the way 85
walk slowly back to her 63
walk slowly back to his 79
walk slowly down the long 149
walk slowly down the path 299
walk through fire to get 114
walk through mobs to get 65
walk through some of our 61
walk uphill from the bus 44
wall across from my bed 85
wall across from the bar 83
wall across from the bed 298
wall looked like it was 42
wall pushes back on you 44
want another look at that 54
want anyone coming in and 72
want anyone else to die 233
want anyone else to get 631
want anyone else to hear 876
want anyone else to read 207
want anyone else to see 1203
want anyone else to use 74
want someone else to get 167
want someone else to hear 52
want someone else to pay 221
want someone else to read 75
want someone else to see 177
want something from me and 247
want something from me that 123
want something from the bar 44
want without having to ask 83
want without having to pay 103
warm breeze from the sun 42
warm colors such as red 279
warm enough during the day 102
warm kisses back to thee 121
warm little body in her 56
warm little hand in his 99
wave closed over the man 46
wave energy from the sun 94
ways enough open to death 66
wealth dammed back so long 56
wealth poured upon the head 77
wealth second only to that 48
wearing almost nothing at all 45
week before when he had 97
week before when he was 46
week earlier when he had 46
week passed when he did 48
week periods during the year 42
week without loss of pay 705
well agreed upon by all 66
well before most of his 57
well before there is any 260
well better come up with 44
well beyond those of any 67
well beyond what he had 67
well beyond what is now 60
well beyond what it had 52
well beyond what it was 49
well beyond what the law 47
well beyond what we are 46
well beyond what we can 123
well beyond what we had 49
well depend upon the way 46
well differ from the one 87
well driven into the earth 40
well enough amid thy sex 40
well enough during the day 112
well enough during the war 46
well enough from my own 49
well enough made if not 58
well enough were it not 99
well enough what he did 64
well enough what he had 236
well enough what he was 774
well enough what is going 93
well enough what it was 661
well enough what to say 49
well enough what we are 135
well enough what we mean 323
well enough when he had 117
well enough when he was 302
well enough when it was 190
well enough when we are 94
well hidden during the day 47
well marked case of this 67
well packed away in his 48
well pleased when he had 50
well pleased when he saw 92
well pleased when it was 56
well shaded from the sun 524
well through lack of foes 43
well treated there is not 94
well whether there be any 44
well wonder what is going 40
well wonder what it was 44
well wonder what on earth 138
went abroad during the war 43
went abroad upon the earth 66
went abroad when he was 61
went across town to see 52
went around back to get 60
went around back to see 51
went around saying he was 40
went around saying to each 51
went around trying to get 138
went ashore told us that 75
went astray from the path 72
went beyond most of his 150
went beyond those of any 63
went beyond those of his 103
went beyond what he had 193
went beyond what he was 59
went beyond what the law 178
went beyond what we had 61
went calmly back to his 126
went creeping away on our 82
went deeper into the earth 193
went deeply into the red 53
went farther along the path 72
