wait upon these other matters 42
walk away from their marriage 69
walk away from your marriage 40
wall must have been breached 45
wall must have been erected 55
wall must have been removed 43
want from your kind majesty 107
wars have been lost because 58
wars have very much weakened 56
ways back into their valleys 61
ways must have been superior 50
ways were well worth unusual 65
wealth must have been derived 41
weary years their case dragged 40
week will have been deluged 50
well away from other buildings 75
well forth from their abysses 45
well have been even happier 41
well have been five hundred 117
well have been four hundred 55
well have been lost forever 61
well have been made against 64
well have been more closely 43
well have been more complex 64
well have been other factors 79
well have been three hundred 58
well have been three thousand 53
well have been used against 69
well have been very similar 73
well have come into contact 155
well have cost three thousand 44
well have felt some anxiety 40
well have made angry remarks 61
well into their late thirties 43
well stay away from science 113
well will make life happier 48
well worth taking into account 139
well worth taking some trouble 53
went away very much excited 59
went away very much shocked 55
went back into their ancient 41
went back into their bedroom 75
went back unto their captain 55
went down there very willingly 50
went into camp just outside 143
were also among these earliest 65
were also among those present 214
were also making great strides 55
were also many other factors 68
were also many other smaller 69
were also sold into slavery 111
were also some great lawyers 46
were also some other species 74
were also very good friends 99
were also very much lighter 65
were also very much present 107
were among those most closely 41
were among those most strongly 56
were away from their offices 75
were away from their parents 112
were away from their village 54
were banging their heads against 92
were beating their heads against 97
were born here have unusual 118
were born when their parents 102
were busy among these several 54
were come from their friends 57
were come into their torture 64
were coming back from america 67
were coming back from vietnam 129
were coming home from vietnam 48
were coming into more general 87
were coming into their country 60
were even these more ancient 42
were felt even more strongly 57
were held only during pleasure 140
were just coming into blossom 81
were just coming into general 105
were just coming into service 82
were just over three hundred 47
were just three other buildings 44
were just very good friends 93
were laying their heads together 303
were left over from previous 53
were losing their jobs because 98
were lost over north vietnam 99
were made even more complex 109
were made even more stringent 163
were made from high quality 42
were made from living material 43
were made from more ancient 84
were made much more stringent 89
were made sure unto abraham 563
were made taking into account 124
were making their best efforts 65
were making their last efforts 81
were many other great offerings 107
were many other worth recording 42
were more jews living outside 41
were more like best friends 51
were more like those between 68
were moving from their stations 44
were moving much more quickly 43
were moving much more rapidly 58
were much less well defined 50
were much like those between 41
were once very good friends 87
were only five years between 70
were only four years between 56
were only some five hundred 61
were only some five thousand 53
were only some four hundred 202
were only some three hundred 94
were only three days together 66
were only three high schools 62
were only three years between 69
were only young folk present 53
were paid from other sources 67
were poring over their missals 83
were reaping their wheat harvest 183
were rising even more rapidly 192
were rising much more rapidly 86
were safe among their friends 51
were safe from their attacks 75
were safe from their enemies 110
were seen moving down towards 42
were sent back into slavery 44
were sent from great britain 198
were sent into south vietnam 41
were sent into their country 44
were sent over from america 52
were sent over from holland 50
were sent over from ireland 52
were sent over into holland 66
were shot down like rabbits 145
were shot down over britain 46
were shot down over germany 66
were shot from their saddles 111
were shut only once between 46
were sold back into slavery 72
were soon very good friends 111
were such very good friends 49
were sunk into their sockets 46
were taking their meals together 194
were those great wits present 43
were tied much more closely 52
were told there were several 51
were torn from their african 41
were torn from their anchors 102
were torn from their context 143
were torn from their country 109
were torn from their friends 51
were torn from their natural 89
were torn from their parents 771
were torn from their sockets 215
were very much like himself 84
were very much more careful 45
were very much more complex 56
were very much more liberal 55
were very much more limited 52
were well into their careers 54
were well into their fifties 90
were well into their forties 166
were well into their sixties 155
were well into their thirties 220
were well over five hundred 107
were well over five thousand 41
were well over four hundred 73
were well over four thousand 40
were well over three hundred 328
were well over three thousand 41
were what their name implied 164
were what their name implies 63
what else will your worship 73
what ends were their several 201
what even their sins deserve 69
what felt like five minutes 86
what gets very rife outside 105
what have been their effects 83
what have been their results 47
what have been your thoughts 44
what ideas have been affixed 65
what laws have been enacted 65
what must have been agonizing 50
what must have been endured 71
what must have been equally 82
what must have been evident 41
what must have been extreme 52
what must have been familiar 65
what must have been fifteen 78
what must have been happening 330
what must have been intense 87
what must have been millions 56
what must have been minutes 48
what must have been painful 90
what must have been present 115
what must have been several 549
what must have been similar 45
what must have been typical 52
what must have been written 73
what must once have existed 98
what those laws have settled 48
what will give most pleasure 61
what your heart most desires 49
what your rising sign happens 80
when also taking into account 45
when away from their parents 64
when five years have elapsed 152
when from their hard pursuit 58
when laws have been written 162
when laws were once violated 81
when made upon such weighty 81
when many years have elapsed 53
when nothing else will incline 116
when rome came into contact 45
when slow time brings justice 51
when some glib youth chanced 97
when such laws were enacted 64
when their eyes were covered 47
when their great army marched 74
when their heads were covered 75
when there came from outside 159
when there have been previous 181
when there have been repeated 161
when there have been several 274
when there were five hundred 75
when there were five thousand 93
when there were four hundred 62
when there were four parties 41
when there were four thousand 52
when there were great numbers 58
when there were great stirrings 41
when there were none present 42
when there were only fifteen 71
when there were only seventy 100
when there were only sixteen 86
when there were only thirteen 130
when there were other persons 46
when there were those present 139
when there were three hundred 109
when there were three sisters 69
when these come into contact 89
when these data were gathered 81
when these days were expired 158
when these have been allowed 41
when these have been applied 47
when these have been brought 88
when these have been carried 49
when these have been reduced 72
when these have been removed 229
when these have been studied 48
when these ideas were applied 42
when these laws were enacted 191
when these laws were repealed 49
when these laws were written 51
when these poems were written 207
when these three were together 59
when those laws were enacted 48
when three days flow together 100
when three years have elapsed 179
when three years were expired 51
when torn from their context 180
when torn from their friends 55
whom have been here several 46
whom have been most helpful 65
whom nothing less will content 78
whom their sins have pierced 65
whom there have been several 101
whom there were four hundred 67
whom there were four present 85
whom there were great numbers 568
whom there were many besides 53
whom there were many present 76
whom there were three hundred 102
whom these were living thoughts 40
